Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Cell Type Signatures,7,M39203,HAY BONE MARROW NEUTROPHIL,,-59,13,29,30337,449,400,75,19,2,240|366|929|978|1089|1378|1441|2069|2180|2219|2316|2352|2353|2357|2358|3142|3557|3576|3684|3936|4084|4210|4332|4689|5329|5552|5743|5791|5997|6279|6280|6283|6402|6515|6556|7099|8291|8825|8875|9051|9535|9586|9770|10326|11025|11240|22918|23569|23601|25797|26253|51311|53829|54210|55911|60675|64092|79168|79930|91662|115727|122402|123041|124599|126014|140885|144423|146225|150372|199675|284415|338339|653361|100049587|115891964,ALOX5|AQP9|CD14|CDA|CEACAM4|CR1|CSF3R|EREG|ACSL1|FCN1|FLNA|FOLR3|FOS|FPR1|FPR2|HLX|IL1RN|CXCL8|ITGAM|LCP1|MXD1|MEFV|MNDA|NCF4|PLAUR|SRGN|PTGS2|PTPRE|RGS2|S100A8|S100A9|S100A12|SELL|SLC2A3|SLC11A1|TLR4|DYSF|LIN7A|VNN2|PSTPIP1|GMFG|CREB5|RASSF2|SIRPB1|LILRB3|PADI2|CD93|PADI4|CLEC5A|QPCT|CLEC4E|TLR8|P2RY13|TREM1|APOBR|PROK2|SAMSN1|LILRA6|DOK3|NLRP12|RASGRP4|TDRD9|SLC24A4|CD300LB|OSCAR|SIRPA|GLT1D1|CMTM2|NFAM1|MCEMP1|VSTM1|CLEC4D|NCF1|SIGLEC14|MIR223HG,-56,DEGs
Cell Type Signatures,7,M41697,TRAVAGLINI LUNG EREG DENDRITIC CELL,,-59,11,27,30337,579,400,82,20,2,597|719|728|929|944|1230|1839|2012|2069|2180|2204|2207|2212|2219|2268|2353|2354|2357|2358|3055|3162|3274|3383|3553|3557|3576|3586|3678|3687|3937|4084|4327|4973|5008|5142|5209|5328|5329|5341|5552|5791|5997|6347|6364|6515|6556|6688|7056|7099|7378|7462|7850|7940|8140|8870|9021|9308|9770|9839|10135|10288|10437|10501|11025|22918|23135|23533|23601|25797|26253|30817|50486|53831|54210|64092|64581|64651|114548|140885|200315|342510|100506115,BCL2A1|C3AR1|C5AR1|CD14|TNFSF8|CCR1|HBEGF|EMP1|EREG|ACSL1|FCAR|FCER1G|FCGR2A|FCN1|FGR|FOS|FOSB|FPR1|FPR2|HCK|HMOX1|HRH2|ICAM1|IL1B|IL1RN|CXCL8|IL10|ITGA5|ITGAX|LCP2|MXD1|MMP19|OLR1|OSM|PDE4B|PFKFB3|PLAU|PLAUR|PLEK|SRGN|PTPRE|RGS2|CCL2|CCL20|SLC2A3|SLC11A1|SPI1|THBD|TLR4|UPP1|LAT2|IL1R2|LST1|SLC7A5|IER3|SOCS3|CD83|RASSF2|ZEB2|NAMPT|LILRB2|IFI30|SEMA6B|LILRB3|CD93|KDM6B|PIK3R5|CLEC5A|QPCT|CLEC4E|ADGRE2|G0S2|GPR84|TREM1|SAMSN1|CLEC7A|CSRNP1|NLRP3|SIRPA|APOBEC3A|CD300E|PELATON,-56,DEGs
PaGenBase,36,PGB:00008,Tissue-specific: spleen,,-58,12,28,30337,499,400,77,19,2,101|399|838|951|963|1084|1089|1230|1378|2015|2124|2215|2529|3055|3162|3577|3579|4046|4050|4318|4542|4778|5473|5788|5880|6279|6283|6374|6402|6503|7099|7133|7454|7852|7940|8477|8530|8794|8807|8809|8843|9437|9473|10235|10288|10603|11024|11025|11027|11314|26253|27036|27128|30817|51311|53829|55843|58484|60675|64386|64407|79168|79865|79930|81793|84658|91662|115350|126364|140706|199675|285852|338339|353514|388512|653361|100049587,ADAM8|RHOH|CASP5|CD37|CD53|CEACAM3|CEACAM4|CCR1|CR1|ADGRE1|EVI2B|FCGR3B|FUT7|HCK|HMOX1|CXCR1|CXCR2|LSP1|LTB|MMP9|MYO1F|NFE2|PPBP|PTPRC|RAC2|S100A8|S100A12|CXCL5|SELL|SLA|TLR4|TNFRSF1B|WAS|CXCR4|LST1|GPR65|CST7|TNFRSF10C|IL18RAP|IL18R1|HCAR3|NCR1|THEMIS2|RASGRP2|LILRB2|SH2B2|LILRA1|LILRB3|LILRA2|CD300A|CLEC4E|SIGLEC7|CYTH4|ADGRE2|TLR8|P2RY13|ARHGAP15|NLRC4|PROK2|MMP25|RGS18|LILRA6|TREML2|DOK3|TLR10|ADGRE3|NLRP12|FCRL1|LRRC25|CCM2L|MCEMP1|TREML4|CLEC4D|LILRA5|CLEC17A|NCF1|SIGLEC14,-55,DEGs
Cell Type Signatures,7,M40244,DESCARTES FETAL LUNG MYELOID CELLS,,-56,23,34,30337,176,400,53,13,1.7,597|719|838|929|1089|1230|1959|2015|2204|2219|2357|3055|3274|3553|3687|4210|4318|4332|5743|6688|7850|8778|9308|10288|10326|10437|11024|11025|11027|23601|27036|27128|30817|51311|53829|56729|58484|64581|79168|84658|114548|123041|124599|126014|126364|150372|284415|284759|342510|353345|353514|388387|100049587,BCL2A1|C3AR1|CASP5|CD14|CEACAM4|CCR1|EGR2|ADGRE1|FCAR|FCN1|FPR1|HCK|HRH2|IL1B|ITGAX|MEFV|MMP9|MNDA|PTGS2|SPI1|IL1R2|SIGLEC5|CD83|LILRB2|SIRPB1|IFI30|LILRA1|LILRB3|LILRA2|CLEC5A|SIGLEC7|CYTH4|ADGRE2|TLR8|P2RY13|RETN|NLRC4|CLEC7A|LILRA6|ADGRE3|NLRP3|SLC24A4|CD300LB|OSCAR|LRRC25|NFAM1|VSTM1|SIRPB2|CD300E|GPR141|LILRA5|LINC00671|SIGLEC14,-53,DEGs
Cell Type Signatures,7,M39305,CUI DEVELOPING HEART C8 MACROPHAGE,,-56,17,30,30337,275,400,61,15,1.8,240|241|719|728|752|929|951|963|1441|1839|2124|2207|2212|2354|2357|3055|3576|3684|3687|3689|3936|3937|4046|4332|4542|4689|5329|5341|5552|5788|5791|5880|5997|6279|6280|6503|6515|6688|7133|7454|7462|7538|7852|7940|8870|9308|9473|9535|10135|10288|10437|11314|27128|54518|56729|57580|64092|64581|114548|140885|170954,ALOX5|ALOX5AP|C3AR1|C5AR1|FMNL1|CD14|CD37|CD53|CSF3R|HBEGF|EVI2B|FCER1G|FCGR2A|FOSB|FPR1|HCK|CXCL8|ITGAM|ITGAX|ITGB2|LCP1|LCP2|LSP1|MNDA|MYO1F|NCF4|PLAUR|PLEK|SRGN|PTPRC|PTPRE|RAC2|RGS2|S100A8|S100A9|SLA|SLC2A3|SPI1|TNFRSF1B|WAS|LAT2|ZFP36|CXCR4|LST1|IER3|CD83|THEMIS2|GMFG|NAMPT|LILRB2|IFI30|CD300A|CYTH4|APBB1IP|RETN|PREX1|SAMSN1|CLEC7A|NLRP3|SIRPA|PPP1R18,-52,DEGs
Cell Type Signatures,7,M40210,DESCARTES FETAL INTESTINE MYELOID CELLS,,-54,19,31,30337,227,400,56,14,1.7,597|719|728|929|1230|1378|1441|2015|2207|2212|2219|2357|3055|3274|3553|3576|3586|3687|4210|4318|4332|4689|5341|6688|7850|8843|9308|9473|10135|10288|10437|11024|11025|11027|30817|51311|53829|54210|56729|58484|64407|64581|79168|81793|84658|114548|115727|123041|124599|126014|284759|342510|353345|353514|653361|100049587,BCL2A1|C3AR1|C5AR1|CD14|CCR1|CR1|CSF3R|ADGRE1|FCER1G|FCGR2A|FCN1|FPR1|HCK|HRH2|IL1B|CXCL8|IL10|ITGAX|MEFV|MMP9|MNDA|NCF4|PLEK|SPI1|IL1R2|HCAR3|CD83|THEMIS2|NAMPT|LILRB2|IFI30|LILRA1|LILRB3|LILRA2|ADGRE2|TLR8|P2RY13|TREM1|RETN|NLRC4|RGS18|CLEC7A|LILRA6|TLR10|ADGRE3|NLRP3|RASGRP4|SLC24A4|CD300LB|OSCAR|SIRPB2|CD300E|GPR141|LILRA5|NCF1|SIGLEC14,-51,DEGs
Cell Type Signatures,7,M40168,DESCARTES FETAL CEREBRUM MICROGLIA,,-52,11,26,30337,505,400,72,18,1.9,597|728|752|838|944|951|1118|1230|1439|1441|1959|1960|2124|2204|3101|3162|3310|3552|3553|3557|3586|3684|3687|3689|4210|4332|4542|4689|5008|5265|6279|6280|6556|6688|6696|7099|7462|8477|9308|9595|10288|10326|10437|10894|11024|11025|11027|23533|27128|53829|53831|54210|54518|55843|55911|57817|58484|64092|64333|64581|79168|115727|117289|126014|126364|150372|283587|388387|388512|653361|100049587|100289061,BCL2A1|C5AR1|FMNL1|CASP5|TNFSF8|CD37|CHIT1|CCR1|CSF2RB|CSF3R|EGR2|EGR3|EVI2B|FCAR|HK3|HMOX1|HSPA6|IL1A|IL1B|IL1RN|IL10|ITGAM|ITGAX|ITGB2|MEFV|MNDA|MYO1F|NCF4|OSM|SERPINA1|S100A8|S100A9|SLC11A1|SPI1|SPP1|TLR4|LAT2|GPR65|CD83|CYTIP|LILRB2|SIRPB1|IFI30|LYVE1|LILRA1|LILRB3|LILRA2|PIK3R5|CYTH4|P2RY13|GPR84|TREM1|APBB1IP|ARHGAP15|APOBR|HAMP|NLRC4|SAMSN1|ARHGAP9|CLEC7A|LILRA6|RASGRP4|TAGAP|OSCAR|LRRC25|NFAM1|HISLA|LINC00671|CLEC17A|NCF1|SIGLEC14|ADAMTSL4-AS2,-48,DEGs
Cell Type Signatures,7,M40221,DESCARTES FETAL KIDNEY MYELOID CELLS,,-46,17,28,30337,213,400,49,12,1.6,366|719|1230|2219|3055|3101|3162|3576|3586|4210|4332|4973|5329|5743|5997|6279|6688|6696|7850|8685|8778|8870|10288|10326|10437|11024|11027|23601|27128|27180|51311|53829|53831|54210|56729|64581|79168|81793|114548|123041|126014|126364|150372|196410|284759|342510|388387|653361|100506115,AQP9|C3AR1|CCR1|FCN1|HCK|HK3|HMOX1|CXCL8|IL10|MEFV|MNDA|OLR1|PLAUR|PTGS2|RGS2|S100A8|SPI1|SPP1|IL1R2|MARCO|SIGLEC5|IER3|LILRB2|SIRPB1|IFI30|LILRA1|LILRA2|CLEC5A|CYTH4|SIGLEC9|TLR8|P2RY13|GPR84|TREM1|RETN|CLEC7A|LILRA6|TLR10|NLRP3|SLC24A4|OSCAR|LRRC25|NFAM1|TMT1B|SIRPB2|CD300E|LINC00671|NCF1|PELATON,-42,DEGs
Cell Type Signatures,7,M39051,MANNO MIDBRAIN NEUROTYPES HMGL,,-43,8.9,22,30337,577,400,68,17,1.9,240|241|597|719|929|951|963|969|1230|1441|1959|1960|2124|2207|2212|2354|2357|3162|3310|3383|3553|3576|3656|3689|3718|3861|3936|4332|4354|4542|4689|4973|5328|5329|5341|5552|5743|5788|5791|5866|6347|6503|6531|6688|6696|7099|7133|7462|7538|8477|9308|9535|9595|11027|27128|53346|53829|54518|55824|55911|64092|64581|64651|83706|114548|117289|140885|100049587,ALOX5|ALOX5AP|BCL2A1|C3AR1|CD14|CD37|CD53|CD69|CCR1|CSF3R|EGR2|EGR3|EVI2B|FCER1G|FCGR2A|FOSB|FPR1|HMOX1|HSPA6|ICAM1|IL1B|CXCL8|IRAK2|ITGB2|JAK3|KRT14|LCP1|MNDA|MPP1|MYO1F|NCF4|OLR1|PLAU|PLAUR|PLEK|SRGN|PTGS2|PTPRC|PTPRE|RAB3IL1|CCL2|SLA|SLC6A3|SPI1|SPP1|TLR4|TNFRSF1B|LAT2|ZFP36|GPR65|CD83|GMFG|CYTIP|LILRA2|CYTH4|TM6SF1|P2RY13|APBB1IP|PAG1|APOBR|SAMSN1|CLEC7A|CSRNP1|FERMT3|NLRP3|TAGAP|SIRPA|SIGLEC14,-40,DEGs
Cell Type Signatures,7,M39120,AIZARANI LIVER C18 NK NKT CELLS 5,,-43,24,30,30337,121,400,39,9.8,1.5,240|597|719|728|951|1230|1839|2124|2207|2212|2219|2268|2357|3055|3101|3310|3553|3576|3687|4332|5329|5341|5791|5997|6279|6280|6556|7133|7940|8870|9308|9839|10288|11025|30817|64581|200315|221692|653361,ALOX5|BCL2A1|C3AR1|C5AR1|CD37|CCR1|HBEGF|EVI2B|FCER1G|FCGR2A|FCN1|FGR|FPR1|HCK|HK3|HSPA6|IL1B|CXCL8|ITGAX|MNDA|PLAUR|PLEK|PTPRE|RGS2|S100A8|S100A9|SLC11A1|TNFRSF1B|LST1|IER3|CD83|ZEB2|LILRB2|LILRB3|ADGRE2|CLEC7A|APOBEC3A|PHACTR1|NCF1,-39,DEGs
