GO,Description,_LogP_DEGs,_LogP_DMRs
COVID311,RNA_Wilk_CD8+T-cells_patient-C4_Up,-3.7436644791736766,0.0
COVID027,RNA_Lamers_intestinal-organoid_expansion_Down,-3.082421340474281,0.0
COVID148,Proteome_Stukalov_A549_72h_NSP14_Down,0.0,-3.253241764430281
COVID061,Phosphoproteome_Bouhaddou_Vero_E6_2h_Down,0.0,-3.1034874988439203
COVID065,Phosphoproteome_Bouhaddou_Vero_E6_8h_Down,0.0,-3.71162335462308
COVID234,Phosphoproteome_Klann_Caco-2_24h_Down,0.0,-3.71162335462308
COVID378,Interactome_Laurent_HEK293_24h_NSP7,0.0,-3.71162335462308
COVID124,Interactome_Stukalov_A549_72h_ORF3,0.0,-3.1034874988439203
COVID047,RNA_Wyler_Calu-3_12h_Down,0.0,-3.261759574575655
COVID057,Phosphoproteome_Bouhaddou_Vero_E6_12h_Down,0.0,-5.759153324896111
COVID375,Interactome_Laurent_HEK293_24h_NSP4,0.0,-2.0160683760437235
COVID055,Phosphoproteome_Bouhaddou_Vero_E6_0h_Down,0.0,-2.214400633651511
COVID364,Interactome_Laurent_HEK293_24h_M,0.0,-2.5371591502637925
COVID049,RNA_Wyler_Calu-3_24h_Down,0.0,-2.5371591502637925
COVID235,Phosphoproteome_Klann_Caco-2_24h_Up,0.0,-2.0160683760437235
COVID135,Proteome_Stukalov_A549-ACE2_24h_Up,0.0,-2.027568470751323
COVID179,Proteome_Stukalov_A549_72h_ORF7B_Up,0.0,-2.7494184889807216
COVID177,Proteome_Stukalov_A549_72h_ORF7A_Up,0.0,-2.22305063712111
COVID059,Phosphoproteome_Bouhaddou_Vero_E6_24h_Down,0.0,-2.5371591502637925
COVID014,RNA_Blanco-Melo_A549-low-MOI_Up,0.0,-2.320811751512625
COVID207,Proteome_Li_Urine-mild-vs-healthy_Down,0.0,-2.5379665571539194
COVID009,RNA_Blanco-Melo_A549-ACE2_Down,0.0,-2.3592183066267127
