"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071621","GO:0071621","granulocyte chemotaxis","30/515","145/21069",1.47079095091119e-19,6.19470406870142e-17,4.43207722910942e-17,"MIR223/CCL3/CCL3L1/CCL4L2/CCL4/PDE4B/CSF1/CXCR2/C3AR1/CXCL8/CXCL5/CXCL3/CXCR1/S100A12/S100A9/FCER1G/S100A7/S100A8/MPP1/RAC2/ADGRE2/IL1B/TREM1/TNFAIP6/CSF3R/CCL20/RIPOR2/CCL2/CXCL2/EDN1",30
"GO:0071219","GO:0071219","cellular response to molecule of bacterial origin","40/515","283/21069",2.56716056756004e-19,9.91137909125472e-17,7.09121809407593e-17,"MIR223/MIR21/CCL3/MRC1/DEFA1B/LILRA2/DEFA3/DEFA1/CARD16/SIRPA/PDE4B/TRIB1/CD14/CXCL8/CAMP/CXCL5/CXCL3/NLRP3/BMP6/TLR2/TLR4/IL36RN/IL36G/IL6/IRAK2/LILRB2/ZFP36/IL1B/GHSR/TNFAIP3/IL1A/IL12B/CCL2/SLC7A5/ACOD1/HCK/NFKBIA/CXCL2/SPI1/TNFRSF1B",40
"GO:0071216","GO:0071216","cellular response to biotic stimulus","41/515","310/21069",1.07016668133307e-18,3.81390941124317e-16,2.72870840446789e-16,"MIR223/MIR21/CCL3/MRC1/DEFA1B/LILRA2/DEFA3/DEFA1/CARD16/SIRPA/PDE4B/TRIB1/CD14/CXCL8/CAMP/CXCL5/CXCL3/NLRP3/CDA/BMP6/TLR2/TLR4/IL36RN/IL36G/IL6/IRAK2/LILRB2/ZFP36/IL1B/GHSR/TNFAIP3/IL1A/IL12B/CCL2/SLC7A5/ACOD1/HCK/NFKBIA/CXCL2/SPI1/TNFRSF1B",41
"GO:0030593","GO:0030593","neutrophil chemotaxis","27/515","121/21069",1.25107597312523e-18,4.14016784534943e-16,2.96213401456493e-16,"MIR223/CCL3/CCL3L1/CCL4L2/CCL4/PDE4B/CXCR2/C3AR1/CXCL8/CXCL5/CXCL3/CXCR1/S100A12/S100A9/FCER1G/S100A8/MPP1/RAC2/IL1B/TREM1/TNFAIP6/CSF3R/CCL20/RIPOR2/CCL2/CXCL2/EDN1",27
"GO:0002274","GO:0002274","myeloid leukocyte activation","37/515","285/21069",1.02513404454506e-16,3.1662973522515e-14,2.26536639036659e-14,"CCL3/LILRA2/CD177/FCGR3A/SUCNR1/LRRK2/CSF1/CXCR2/ITGAM/CXCL8/CD300A/CLEC4D/DCSTAMP/CAMP/S100A12/FCER1G/VSIG4/TLR2/TLR4/IL6/DYSF/RAC2/ADGRE2/CD93/NR4A3/MMP8/IL1RL1/NDRG1/HMOX1/PTPRC/CST7/SPI1/LCP2/GAB2/SLC11A1/TYROBP/FGR",37
"GO:0050729","GO:0050729","positive regulation of inflammatory response","30/515","193/21069",6.16869978005712e-16,1.78622413006279e-13,1.27797602680262e-13,"MIR21/CCL3/SUCNR1/LRRK2/LILRA5/PDE2A/FFAR3/NLRP6/S100A12/S100A9/NLRP3/ADAM8/NFKBIZ/S100A8/NLRP12/TLR2/TLR4/IL6/ALOX5AP/NINJ1/FFAR2/IL1B/MMP8/IL1RL1/IL12B/CCN4/NFKBIA/OSM/NLRC4/PTGS2",30
"GO:0002526","GO:0002526","acute inflammatory response","25/515","131/21069",1.22538151360363e-15,3.33952503089741e-13,2.38930426398627e-13,"HP/ORM1/ORM2/FCGR3A/SERPINA1/SERPINA3/FFAR3/CXCR2/FUT7/CD163/NLRP6/NLRP3/APOA2/ADAM8/S100A8/IL6/ALOX5AP/FFAR2/IL1B/TREM1/TACR1/IL1A/VNN1/OSM/PTGS2",25
"GO:0071674","GO:0071674","mononuclear cell migration","33/515","253/21069",4.23789241599434e-15,1.09078642018343e-12,7.80416562454162e-13,"CCL3/CCL3L1/CCL4L2/CCL4/ITGB3/DEFA1B/DEFA1/SIRPA/CSF1/CXCR2/FUT7/C3AR1/FPR2/S1PR1/CCR1/CXCR1/S100A12/ADAM8/S100A7/NLRP12/TRPM2/IL6/TNFSF14/CXCR4/PADI2/CCL20/RIPOR2/NEDD9/CCL2/FLT1/ICAM1/SPI1/ALOX5",33
"GO:0002366","GO:0002366","leukocyte activation involved in immune response","37/515","335/21069",1.91937318507446e-14,4.6802399823421e-12,3.34853526858697e-12,"MIR21/CCL3/LILRA2/CD177/FCGR3A/CR1/SUCNR1/IL27/IFNE/GAPT/ITGAM/CD300A/CLEC4D/CLEC4E/NLRP3/FCER1G/IFNK/NFKBIZ/TLR4/HLX/IL6/LCP1/DYSF/RAC2/ADGRE2/NR4A3/IL18R1/BCL6/IL12B/HMOX1/ICAM1/PTPRC/SPI1/GAB2/SLC11A1/TYROBP/FGR",37
"GO:0002263","GO:0002263","cell activation involved in immune response","37/515","339/21069",2.79050319646964e-14,6.46420065462192e-12,4.62489187667521e-12,"MIR21/CCL3/LILRA2/CD177/FCGR3A/CR1/SUCNR1/IL27/IFNE/GAPT/ITGAM/CD300A/CLEC4D/CLEC4E/NLRP3/FCER1G/IFNK/NFKBIZ/TLR4/HLX/IL6/LCP1/DYSF/RAC2/ADGRE2/NR4A3/IL18R1/BCL6/IL12B/HMOX1/ICAM1/PTPRC/SPI1/GAB2/SLC11A1/TYROBP/FGR",37
"GO:0031349","GO:0031349","positive regulation of defense response","41/515","427/21069",8.50309654979788e-14,1.87594506262922e-11,1.34216797169491e-11,"MIR21/CCL3/LILRA2/SUCNR1/LRRK2/LILRA5/PDE2A/FFAR3/NLRP6/FPR2/MNDA/S100A12/S100A9/NLRP3/ADAM8/IFNK/NFKBIZ/S100A8/NLRP12/TLR2/TLR4/IL6/ALOX5AP/NINJ1/FFAR2/IL1B/EREG/MMP8/IL1RL1/IL12B/CCN4/ACOD1/TLR8/HCK/NFKBIA/OSM/NLRC4/FCN1/PTGS2/SPI1/TYROBP",41
"GO:0002685","GO:0002685","regulation of leukocyte migration","32/515","270/21069",1.67303792325826e-13,3.52326577202524e-11,2.52076383748338e-11,"MIR223/CCL3/CCL4/ITGB3/CSF1/CXCR2/FUT7/C3AR1/FPR2/CXCL8/CD300A/CCR1/ADAM8/S100A7/IL6/LYVE1/MPP1/RAC2/TNFSF14/TNFAIP6/PADI2/IL1R1/TACR1/CCL20/IL1A/RIPOR2/NEDD9/CCL2/HMOX1/ICAM1/EDN1/SPI1",32
"GO:0002687","GO:0002687","positive regulation of leukocyte migration","25/515","179/21069",2.01778689594245e-12,4.06452464734843e-10,2.90801415804246e-10,"CCL3/CCL4/ITGB3/CSF1/CXCR2/FUT7/C3AR1/FPR2/CXCL8/CCR1/ADAM8/S100A7/IL6/LYVE1/RAC2/TNFSF14/IL1R1/TACR1/CCL20/IL1A/RIPOR2/NEDD9/ICAM1/EDN1/SPI1",25
"GO:1990868","GO:1990868","response to chemokine","20/515","112/21069",3.27232122047465e-12,6.06426568578363e-10,4.33875348348408e-10,"CCL3/CCL3L1/CCL4L2/CCL4/CCR3/CXCR2/CXCL8/CCR1/CXCL5/CXCL3/CXCR1/CXCR4/CCRL2/PADI2/CCL20/RIPOR2/CCL2/HIF1A/CXCL2/EDN1",20
"GO:1990869","GO:1990869","cellular response to chemokine","20/515","112/21069",3.27232122047465e-12,6.06426568578363e-10,4.33875348348408e-10,"CCL3/CCL3L1/CCL4L2/CCL4/CCR3/CXCR2/CXCL8/CCR1/CXCL5/CXCL3/CXCR1/CXCR4/CCRL2/PADI2/CCL20/RIPOR2/CCL2/HIF1A/CXCL2/EDN1",20
"GO:0070098","GO:0070098","chemokine-mediated signaling pathway","19/515","104/21069",7.50591641978386e-12,1.33749656818687e-09,9.56928372708477e-10,"CCL3/CCL3L1/CCL4L2/CCL4/CCR3/CXCR2/CXCL8/CCR1/CXCL5/CXCL3/CXCR1/CXCR4/CCRL2/PADI2/CCL20/CCL2/HIF1A/CXCL2/EDN1",19
"GO:0072593","GO:0072593","reactive oxygen species metabolic process","29/515","259/21069",9.72725342939261e-12,1.66912463475467e-09,1.1941957524038e-09,"MIR21/HP/HBB/HBA1/CD177/LRRK2/HBA2/NCF1B/ADGRB1/LEP/FPR2/ITGAM/NCF1C/NCF1/MMP3/TLR4/PXDN/RAC2/MMP8/NCF2/SOD2/SOD3/ACOD1/HIF1A/NCF4/EDN1/ALOX5/TYROBP/MPO",29
"GO:0071347","GO:0071347","cellular response to interleukin-1","21/515","136/21069",1.71358988492082e-11,2.83537926315649e-09,2.02860697278785e-09,"MIR21/CCL3/CCL3L1/CCL4L2/CCL4/SIRPA/CXCL8/CAMP/IL1RN/TANK/IL6/IRAK2/IL1B/EGR1/IL1R1/IL1R2/CCL20/CCL2/ACOD1/HIF1A/EDN1",21
"GO:1902622","GO:1902622","regulation of neutrophil migration","13/515","47/21069",6.30214236872524e-11,1.00682157221738e-08,7.20342879096761e-09,"MIR223/CXCR2/FUT7/C3AR1/CXCL8/ADAM8/MPP1/RAC2/TNFAIP6/IL1R1/IL1A/RIPOR2/EDN1",13
"GO:0002688","GO:0002688","regulation of leukocyte chemotaxis","21/515","148/21069",8.85894739597498e-11,1.36811677618507e-08,9.78835977190358e-09,"MIR223/CCL3/CCL4/CSF1/CXCR2/C3AR1/FPR2/CXCL8/CCR1/S100A7/IL6/MPP1/RAC2/TNFSF14/TNFAIP6/PADI2/RIPOR2/NEDD9/CCL2/EDN1/SPI1",21
"GO:1902105","GO:1902105","regulation of leukocyte differentiation","34/515","382/21069",9.51772804151949e-11,1.42243980697935e-08,1.01770205781816e-08,"MIR223/MIR21/CCL3/NFAM1/LILRB3/CR1/IL27/EVI2B/CSF1/EGR3/TRIB1/FOS/IL7R/DCSTAMP/CCR1/NLRP3/ADAM8/ZEB1/IL2RG/NFKBIZ/TLR4/HLX/LILRB2/TNFAIP6/INHBA/BCL6/IL12B/VNN1/CD83/NEDD9/ZBTB16/RASSF2/PTPRC/TYROBP",34
"GO:0000302","GO:0000302","response to reactive oxygen species","25/515","214/21069",1.07007526760566e-10,1.54926834838032e-08,1.10844309792442e-08,"MIR21/HP/HBB/HBA1/SIRPA/LRRK2/HBA2/FOS/NCF1/S100A7/TRPM2/IL6/NR4A3/TNFAIP3/TACR1/IL1A/SOD2/SOD3/AREG/PPIF/MMP9/HIF1A/HMOX1/EDN1/MPO",25
"GO:1903706","GO:1903706","regulation of hemopoiesis","39/515","491/21069",1.18006838159442e-10,1.65674448846271e-08,1.18533822444683e-08,"MIR223/MIR21/CCL3/NFAM1/LILRB3/CR1/IL27/EVI2B/CSF1/EGR3/TRIB1/FOS/IL7R/DCSTAMP/CCR1/NLRP3/ADAM8/ZEB1/IL2RG/NFKBIZ/TLR4/HLX/LILRB2/ZFP36/TNFAIP6/INHBA/CSF3R/BCL6/IL12B/VNN1/CD83/NEDD9/ZBTB16/RASSF2/NFKBIA/HIF1A/PTPRC/SPI1/TYROBP",39
"GO:0070555","GO:0070555","response to interleukin-1","22/515","167/21069",1.38274356346755e-10,1.88419144986622e-08,1.34806795088524e-08,"MIR21/CCL3/CCL3L1/CCL4L2/CCL4/SIRPA/CXCL8/CAMP/IL1RN/TANK/IL6/IRAK2/CHI3L1/IL1B/EGR1/IL1R1/IL1R2/CCL20/CCL2/ACOD1/HIF1A/EDN1",22
"GO:0031663","GO:0031663","lipopolysaccharide-mediated signaling pathway","16/515","83/21069",1.47499936244213e-10,1.95247772748411e-08,1.39692420821963e-08,"CCL3/LILRA2/CARD16/TRIB1/CD14/BMP6/TLR2/TLR4/IRAK2/IL1B/TNFAIP3/CCL2/ACOD1/HCK/NFKBIA/SPI1",16
"GO:0006909","GO:0006909","phagocytosis","31/515","337/21069",2.8925060798417e-10,3.72249462997405e-08,2.66330457468465e-08,"ITGB3/SIRPA/ADGRB1/LEP/FPR2/CD14/ITGAM/CD300A/PTX3/APOA2/FCER1G/IL2RG/TLR2/TLR4/DYSF/RAC2/ADORA2A/CD93/IL1B/NCF2/CCL2/CEACAM4/HCK/SIRPB1/NCF4/FCN1/PTPRC/MARCO/SLC11A1/TYROBP/FGR",31
"GO:1903557","GO:1903557","positive regulation of tumor necrosis factor superfamily cytokine production","19/515","137/21069",1.04233919536722e-09,1.30517770057738e-07,9.33805441311912e-08,"CCL3/LILRA2/ORM1/ORM2/FCGR3A/LRRK2/LILRA5/LEP/CD14/ADAM8/TLR2/TLR4/IL6/TNFRSF8/MMP8/IL1A/IL12B/PTPRC/TYROBP",19
"GO:0030217","GO:0030217","T cell differentiation","30/515","336/21069",1.14874198066214e-09,1.40055831484413e-07,1.00204667509836e-07,"MIR21/CR1/IL27/FUT7/EGR3/LEP/IL7R/CLEC4D/CLEC4E/NLRP3/FCER1G/ADAM8/ZEB1/IL2RG/NFKBIZ/HLX/IL6/LILRB2/IL1B/EGR1/IL18R1/IL1A/BCL6/IL12B/VNN1/CD83/ZBTB16/TNFSF8/PTPRC/SPI1",30
"GO:0030098","GO:0030098","lymphocyte differentiation","36/515","468/21069",1.49033502160947e-09,1.77044157823505e-07,1.26668420595094e-07,"MIR21/NFAM1/CR1/IL27/IFNE/ADGRG3/FUT7/EGR3/LEP/IL7R/CLEC4D/CLEC4E/NFIL3/NLRP3/FCER1G/ADAM8/ZEB1/IFNK/IL2RG/NFKBIZ/HLX/IL6/LILRB2/IL1B/INHBA/EGR1/IL18R1/IL1A/BCL6/IL12B/VNN1/CD83/ZBTB16/TNFSF8/PTPRC/SPI1",36
"GO:1902107","GO:1902107","positive regulation of leukocyte differentiation","24/515","228/21069",2.14031528851206e-09,2.41855627601863e-07,1.73038583915904e-07,"MIR21/CR1/EVI2B/CSF1/EGR3/TRIB1/FOS/IL7R/DCSTAMP/CCR1/NLRP3/ADAM8/IL2RG/NFKBIZ/HLX/LILRB2/BCL6/IL12B/VNN1/CD83/NEDD9/ZBTB16/PTPRC/TYROBP",24
"GO:1903708","GO:1903708","positive regulation of hemopoiesis","24/515","228/21069",2.14031528851206e-09,2.41855627601863e-07,1.73038583915904e-07,"MIR21/CR1/EVI2B/CSF1/EGR3/TRIB1/FOS/IL7R/DCSTAMP/CCR1/NLRP3/ADAM8/IL2RG/NFKBIZ/HLX/LILRB2/BCL6/IL12B/VNN1/CD83/NEDD9/ZBTB16/PTPRC/TYROBP",24
"GO:0051047","GO:0051047","positive regulation of secretion","29/515","333/21069",3.86006009842515e-09,4.25801391333422e-07,3.04644843356912e-07,"CD177/HCAR2/ALOX12B/LEP/GPR27/ITGAM/GDNF/RAB8B/SPINK1/BMP6/ADAM8/S100A8/TRPM2/SDCBP/TLR2/TLR4/ADORA2A/BMP2/IL1B/INHBA/SPP1/TACR1/IL1A/NTSR1/HIF1A/CPB2/EDN1/GAB2/FGR",29
"GO:0032760","GO:0032760","positive regulation of tumor necrosis factor production","18/515","133/21069",4.27874362160004e-09,4.61009748811e-07,3.29835095824199e-07,"CCL3/LILRA2/ORM1/ORM2/FCGR3A/LRRK2/LILRA5/LEP/CD14/TLR2/TLR4/IL6/TNFRSF8/MMP8/IL1A/IL12B/PTPRC/TYROBP",18
"GO:1902624","GO:1902624","positive regulation of neutrophil migration","10/515","34/21069",5.40414346696154e-09,5.60717098536395e-07,4.01171945719179e-07,"CXCR2/FUT7/C3AR1/CXCL8/ADAM8/RAC2/IL1R1/IL1A/RIPOR2/EDN1",10
"GO:0002275","GO:0002275","myeloid cell activation involved in immune response","16/515","105/21069",5.44620536027149e-09,5.60717098536395e-07,4.01171945719179e-07,"CCL3/LILRA2/CD177/SUCNR1/ITGAM/CD300A/FCER1G/DYSF/RAC2/ADGRE2/NR4A3/HMOX1/SPI1/GAB2/TYROBP/FGR",16
"GO:1901222","GO:1901222","regulation of NIK/NF-kappaB signaling","18/515","136/21069",6.14315838322298e-09,6.18722886727653e-07,4.426729004295e-07,"MIR223/MIR21/ADGRG3/CD14/NLRP3/NLRP12/TLR2/TLR4/EDAR/TNFSF14/IL1B/MMP8/IL18R1/IL12B/RASSF2/NFKBIA/EDN1/SPI1",18
"GO:0050921","GO:0050921","positive regulation of chemotaxis","20/515","169/21069",6.36689362805105e-09,6.27613152739585e-07,4.49033550609916e-07,"CCL3/CCL4/SUCNR1/NTF3/CSF1/CXCR2/C3AR1/FPR2/S1PR1/CXCL8/CCR1/S100A7/IL6/RAC2/TNFSF14/CXCR4/RIPOR2/NEDD9/EDN1/SPI1",20
"GO:0006801","GO:0006801","superoxide metabolic process","14/515","79/21069",6.6212773647052e-09,6.39091208972483e-07,4.57245667137208e-07,"MIR21/CD177/NCF1B/FPR2/ITGAM/NCF1C/NCF1/NCF2/SOD2/SOD3/NCF4/EDN1/TYROBP/MPO",14
"GO:0038061","GO:0038061","NIK/NF-kappaB signaling","20/515","170/21069",7.05458783534302e-09,6.67018478390698e-07,4.77226575585288e-07,"MIR223/MIR21/ADGRG3/TNFSF15/CD14/NLRP3/NLRP12/TLR2/TLR4/EDAR/CHI3L1/TNFSF14/IL1B/MMP8/IL18R1/IL12B/RASSF2/NFKBIA/EDN1/SPI1",20
"GO:0002444","GO:0002444","myeloid leukocyte mediated immunity","17/515","122/21069",7.35395775462285e-09,6.81417725543353e-07,4.87528694090681e-07,"CCL3/CD177/FCGR3A/NLRP6/SERPINB9/ITGAM/CD300A/IL6/RAC2/ADGRE2/TREM1/NR4A3/HMOX1/SPI1/GAB2/TYROBP/FGR",17
"GO:0050920","GO:0050920","regulation of chemotaxis","25/515","263/21069",8.08361585948274e-09,7.34341025038893e-07,5.25393319742232e-07,"MIR223/CCL3/CCL4/SUCNR1/NTF3/CSF1/CXCR2/C3AR1/FPR2/S1PR1/CXCL8/CCR1/S100A7/IL6/MPP1/RAC2/TNFSF14/TNFAIP6/CXCR4/PADI2/RIPOR2/NEDD9/CCL2/EDN1/SPI1",25
"GO:0001818","GO:0001818","negative regulation of cytokine production","34/515","454/21069",8.45079009083208e-09,7.52932894054328e-07,5.38695101134215e-07,"MIR21/ORM1/CARD16/CR1/SIRPA/LILRA5/NLRP6/NLRP3/APOA2/VSIG4/SPINK7/NLRP12/TLR4/IL36RN/IL6/ZFP36/SRGN/INHBA/GHSR/TNFAIP3/MMP8/IL1RL1/IL1R2/BCL6/IL12B/CD83/MEFV/ACOD1/TLR8/HMOX1/PTPRC/ATP2B1/SLC11A1/TYROBP",34
"GO:1903532","GO:1903532","positive regulation of secretion by cell","27/515","305/21069",9.45233959495916e-09,8.26277157423506e-07,5.91170156594367e-07,"CD177/HCAR2/LEP/GPR27/ITGAM/GDNF/RAB8B/SPINK1/BMP6/ADAM8/TRPM2/SDCBP/TLR2/TLR4/ADORA2A/BMP2/IL1B/INHBA/SPP1/TACR1/IL1A/NTSR1/HIF1A/CPB2/EDN1/GAB2/FGR",27
"GO:0050764","GO:0050764","regulation of phagocytosis","17/515","126/21069",1.20917139016369e-08,1.03742426863488e-06,7.42237954702818e-07,"SIRPA/FPR2/CD300A/PTX3/APOA2/FCER1G/IL2RG/TLR2/DYSF/IL1B/CCL2/HCK/SIRPB1/FCN1/PTPRC/SLC11A1/FGR",17
"GO:0032611","GO:0032611","interleukin-1 beta production","19/515","159/21069",1.29748951323958e-08,1.06928098681258e-06,7.65030235603356e-07,"CCL3/LILRA2/ORM1/ORM2/CARD16/SIRPA/LILRA5/MNDA/NLRP3/NLRP12/TLR4/IL6/GHSR/EGR1/TNFAIP3/MEFV/TLR8/NLRC4/TYROBP",19
"GO:0032651","GO:0032651","regulation of interleukin-1 beta production","19/515","159/21069",1.29748951323958e-08,1.06928098681258e-06,7.65030235603356e-07,"CCL3/LILRA2/ORM1/ORM2/CARD16/SIRPA/LILRA5/MNDA/NLRP3/NLRP12/TLR4/IL6/GHSR/EGR1/TNFAIP3/MEFV/TLR8/NLRC4/TYROBP",19
"GO:0042554","GO:0042554","superoxide anion generation","11/515","47/21069",1.31554103708865e-08,1.06928098681258e-06,7.65030235603356e-07,"CD177/NCF1B/FPR2/ITGAM/NCF1C/NCF1/NCF2/SOD2/NCF4/EDN1/TYROBP",11
"GO:0032731","GO:0032731","positive regulation of interleukin-1 beta production","15/515","98/21069",1.53851941868376e-08,1.22895870116584e-06,8.79273620587142e-07,"CCL3/LILRA2/ORM1/ORM2/LILRA5/MNDA/NLRP3/NLRP12/TLR4/IL6/EGR1/MEFV/TLR8/NLRC4/TYROBP",15
"GO:0045766","GO:0045766","positive regulation of angiogenesis","21/515","196/21069",1.59241834042905e-08,1.22961236186796e-06,8.7974129017738e-07,"MIR21/ITGB3/CCR3/CXCR2/C3AR1/CXCL8/PRKCB/CAMP/ITGA5/ADM/SFRP2/ITGAX/CHI3L1/NINJ1/IL1B/CXCR4/GHSR/IL1A/FLT1/HIF1A/HMOX1",21
