"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050727","GO:0050727","regulation of inflammatory response","121/1947","500/21069",1.35390187044754e-23,7.68523934461315e-21,5.42856348055044e-21,"FGR/PGLYRP1/BTK/ALOX5/HGF/BIRC3/TNFRSF1B/GRN/SBNO2/TNFRSF1A/FCGR2B/PTGS2/CST7/PTPRC/NLRC4/OSM/LGALS1/NFKBIA/MMP9/HCK/MEFV/HAMP/PIK3CG/NFKB1/BST1/LPCAT3/PPARD/MAPK14/BCL6/IL1R1/IL1RL2/IL1RL1/MMP8/CNR1/TNFAIP3/TNFAIP6/IL1B/FFAR2/ZFP36/RHBDF2/NINJ1/PPARG/SYT11/ALOX5AP/ETS1/EDNRB/AOAH/IL10/KLF4/TLR4/CCN3/TLR2/CASP1/CASP5/CYP19A1/SEMA7A/FURIN/BRD4/NLRP12/SIGLEC10/DUSP10/S100A8/NFKBIZ/OSMR/PLK2/TNIP1/PLA2G7/PTGES/MMP3/FCGR1A/ADAM8/CDK19/PIK3AP1/MAPK13/NCF1/ZYX/CAMK2N1/NLRP3/IL20/TNFAIP8L2/S100A9/S100A12/AIM2/PRKCD/SYK/NLRP7/PBK/FABP4/FPR2/PTGER4/CEBPB/MYD88/RELA/STAT5B/TLR10/NLRP6/LPL/SPHK1/METRNL/GPR4/GBA1/IL17RA/FUT7/SOCS3/FFAR3/PDE2A/LILRA5/LRRK2/CASP4/SRC/PLCG2/SIRPA/SUCNR1/AGER/TMSB4X/MIR221/GPSM3/TNF/NAIP/LYN/CCL3",121
"GO:0006909","GO:0006909","phagocytosis","94/1947","337/21069",3.17215012725605e-23,1.6505754495489e-20,1.16590430115815e-20,"FGR/ITGAL/BTK/TYROBP/SLC11A1/MARCO/CNN2/RAB27A/JMJD6/FCGR2B/RAB7A/ICAM3/PTPRC/FCN1/CEBPE/UNC13D/MYH9/NCF4/SIRPB1/HCK/SRPX/CORO1A/CSK/CEACAM4/CCL2/CORO1C/BIN2/NCF2/SLAMF1/PIK3CA/NCKAP1L/LRP1/C4BPA/IL1B/CD93/CFP/RAC2/RARA/SYT11/ARL8B/DOCK2/DYSF/MYO1G/TLR4/TLR2/THBS1/ANXA3/RAB20/MFGE8/VAV1/PIP5K1A/LYST/RAB5A/ATG3/IL2RG/PTPRJ/ITGB1/FCGR1A/ELMO1/XKR8/COLEC12/FCER1G/ITGB2/ARHGAP25/PTX3/PRKCD/F2RL1/SYK/ABCA1/CD300A/RHOH/RAB31/ITGAM/CD14/XKR6/FPR2/P2RY6/CLEC7A/MYD88/SPHK1/RHOG/GATA2/CD300LF/CLN3/MYO18A/SRC/CDC42SE1/PLCG2/SIRPA/AIF1/TNF/LYN/ITGB3/PECAM1",94
"GO:0030595","GO:0030595","leukocyte chemotaxis","84/1947","280/21069",3.63706791164409e-23,1.74691169540813e-20,1.23395259512459e-20,"ALOX5/SPI1/EDN1/CXCL2/RIN3/FLT1/CORO1A/PIK3CG/CCL7/CCL2/BST1/NEDD9/VEGFA/CCL20/SLAMF1/PADI2/CSF3R/DUSP1/PTK2B/CXCR4/NCKAP1L/TNFAIP6/PREX1/TREM1/CXCL6/GPR18/IL1B/TNFSF14/FFAR2/ADGRE2/RAC2/MPP1/NINJ1/C5AR2/EDNRB/IL10/CCN3/THBS1/CYP19A1/VAV1/TRPM2/S100A8/LYST/PLA2G7/ADAM8/FCER1G/ITGB2/JAML/IL6R/CXCL16/S100A9/S100A12/CXCR1/CXCL3/CXCL5/PPBP/CXCL1/CCR1/F2RL1/SYK/GREM1/CXCL8/GPR183/S1PR1/FPR2/PIK3CD/C3AR1/OXSR1/IL17RA/CXCR2/CSF1/PDE4B/S100A14/HRH1/C5AR1/AIF1/GPSM3/LYN/MMP28/CCL4/CCL18/CCL3L1/CCL3/CD300H",84
"GO:0097529","GO:0097529","myeloid leukocyte migration","81/1947","280/21069",2.84370504939203e-21,1.26829245202884e-18,8.95873996763353e-19,"CNN2/SPI1/WDR1/EDN1/CXCL2/RIN3/FLT1/PIK3CG/CCL7/CCL2/BST1/VEGFA/IL1A/CCL20/IL1R1/SLAMF1/CSF3R/DUSP1/PTK2B/NCKAP1L/TNFAIP6/PREX1/TREM1/CXCL6/IL1B/ADGRE2/RAC2/MPP1/C5AR2/EDNRB/CCN3/THBS1/CYP19A1/VAV1/S100A8/PLA2G7/ADAM8/FCER1G/ITGB2/JAML/IL6R/S100A9/S100A12/CXCR1/CXCL3/CXCL5/PPBP/CXCL1/CCR1/SYK/GREM1/CD300A/RHOH/CXCL8/FPR2/PTGER4/PIK3CD/C3AR1/MYD88/STAT5B/RHOG/IL17RA/FUT7/CXCR2/CSF1/PDE4B/S100A14/HRH1/C5AR1/SIRPA/AGER/AIF1/CD177/LYN/PECAM1/MMP28/CCL4/CCL18/CCL3L1/CCL3/CD300H",81
"GO:0030098","GO:0030098","lymphocyte differentiation","110/1947","468/21069",1.71061474195718e-20,7.12071896585376e-18,5.02980755705305e-18,"CYP26B1/PGLYRP1/ST3GAL1/BTK/TNFRSF9/PRDM1/SPI1/KLF6/BCL3/JMJD6/FCGR2B/ACTB/IL4R/PTPRC/IL11/IL12RB1/MFNG/LGALS1/EP300/SOS2/SMAD7/TNFSF13B/RIPK2/RELB/JAK3/TNFSF8/VSIR/ZMIZ1/TCIRG1/PTPN6/CD83/VNN1/BCL6/CD86/IL1A/IL1RL2/IL18R1/ID2/SLAMF1/EGR1/PTK2B/TMEM131L/SASH3/INHBA/NCKAP1L/PREX1/GPR18/IL1B/TNFSF9/DNAJB9/DLL4/LILRB2/RARA/SPINK5/DOCK2/CTSL/TESPA1/DOCK10/HLX/IL10/LRRC8A/IRF4/VAV1/DUSP10/NFKBIZ/IL2RG/DOCK11/ZEB1/PTPRJ/ITGB1/ADAM8/BATF/FCER1G/PGLYRP3/ZBTB7B/IL6R/NLRP3/ZC3H12A/SYK/NFIL3/CLEC4E/CLEC4D/NFKBID/LY6D/RHOH/STAT3/INPP5D/PRELID1/GPR183/JUNB/PTGER4/PIK3CD/STAT5B/CLCF1/GBA1/EGR3/FUT7/ADGRG3/ZFP36L1/IKZF1/LILRB4/SEMA4A/IL27/PLCG2/PNP/CR1/MAFB/FNIP1/NFAM1/PIK3R6",110
"GO:0097530","GO:0097530","granulocyte migration","60/1947","174/21069",3.01428310547159e-20,1.17632398191029e-17,8.30910934995128e-18,"WDR1/EDN1/CXCL2/PIK3CG/CCL7/CCL2/BST1/IL1A/CCL20/IL1R1/SLAMF1/CSF3R/NCKAP1L/TNFAIP6/PREX1/TREM1/CXCL6/IL1B/ADGRE2/RAC2/MPP1/C5AR2/THBS1/VAV1/S100A8/ADAM8/FCER1G/ITGB2/JAML/S100A9/S100A12/CXCR1/CXCL3/CXCL5/PPBP/CXCL1/SYK/CD300A/RHOH/CXCL8/PTGER4/PIK3CD/C3AR1/MYD88/RHOG/IL17RA/FUT7/CXCR2/CSF1/PDE4B/S100A14/HRH1/C5AR1/CD177/PECAM1/CCL4/CCL18/CCL3L1/CCL3/CD300H",60
"GO:0002275","GO:0002275","myeloid cell activation involved in immune response","45/1947","105/21069",7.53359622723742e-20,2.76704557899238e-17,1.95453673016252e-17,"FGR/BTK/TYROBP/GRN/GAB2/SBNO2/SPI1/STXBP2/IL4R/LAT2/UNC13D/HMOX1/STX4/PIK3CG/CBL/PTPN6/SLAMF1/NR4A3/IL13RA2/ADGRE2/TICAM1/RAC2/PRAM1/DOCK2/HAVCR2/DYSF/ANXA3/FCER1G/ITGB2/F2RL1/SYK/CD300A/PTAFR/ITGAM/PIK3CD/MYD88/GATA2/FES/PLCG2/SUCNR1/CD177/LILRA2/LYN/MILR1/CCL3",45
"GO:1990266","GO:1990266","neutrophil migration","51/1947","146/21069",1.08013212287011e-17,3.7468583195561e-15,2.64663952913787e-15,"WDR1/EDN1/CXCL2/PIK3CG/CCL7/CCL2/BST1/IL1A/CCL20/IL1R1/CSF3R/NCKAP1L/TNFAIP6/PREX1/TREM1/CXCL6/IL1B/RAC2/MPP1/C5AR2/VAV1/S100A8/ADAM8/FCER1G/ITGB2/JAML/S100A9/S100A12/CXCR1/CXCL3/CXCL5/PPBP/CXCL1/SYK/RHOH/CXCL8/PIK3CD/C3AR1/MYD88/RHOG/FUT7/CXCR2/PDE4B/C5AR1/CD177/PECAM1/CCL4/CCL18/CCL3L1/CCL3/CD300H",51
"GO:0043299","GO:0043299","leukocyte degranulation","39/1947","90/21069",1.35952404504607e-17,4.46782533540404e-15,3.1559034619075e-15,"FGR/BTK/GAB2/SPI1/RAB27A/FCGR2B/STXBP2/IL4R/CEACAM1/LAT2/UNC13D/HMOX1/HCK/CORO1A/STX4/PIK3CG/CBL/NR4A3/NCKAP1L/IL13RA2/ADGRE2/RAC2/PRAM1/ANXA3/ITGB2/F2RL1/SYK/CD300A/PTAFR/ITGAM/PIK3CD/GATA2/FES/LAMP1/FCGR3A/CD177/LYN/MILR1/CCL3",39
"GO:0002285","GO:0002285","lymphocyte activation involved in immune response","68/1947","240/21069",1.50786677879556e-17,4.70756008339973e-15,3.32524305429126e-15,"ITGAL/PGLYRP1/ST3GAL1/SLC11A1/SPI1/BCL3/RAB27A/FCGR2B/IL4R/APBB1IP/CEACAM1/PSEN1/PTPRC/ICAM1/UNC13D/IL12RB1/MFNG/LGALS1/SMAD7/CORO1A/RIPK2/NBN/RELB/LILRB1/TGFB1/JAK3/SUPT6H/BCL6/CD86/IL18R1/PTK2B/NCKAP1L/RARA/CD180/HAVCR2/DOCK10/LCP1/HLX/IL10/TLR4/IRF4/SLC15A4/NFKBIZ/DOCK11/BATF/FCER1G/PGLYRP3/ZBTB7B/IL6R/NLRP3/ZC3H12A/F2RL1/CLEC4E/CLEC4D/NFKBID/STAT3/GPR183/JUNB/PTGER4/EXO1/CLCF1/GAPT/LAMP1/SEMA4A/IL27/PLCG2/CR1/FCGR3A",68
"GO:0007015","GO:0007015","actin filament organization","106/1947","488/21069",3.68055396343847e-17,1.09435137846237e-14,7.73008576782316e-15,"GAS7/TENM1/WAS/CUL3/WDR1/ACTN1/FSCN1/CAPZB/FAT1/SSH1/CASS4/PLEKHG2/PPM1F/HCK/PLS3/CORO1A/COTL1/MTPN/TGFBR1/CSF3/PFN1/PPP1R9B/TNFAIP1/CORO1C/NEDD9/PHACTR1/DBN1/ACTR3/CCDC88A/WIPF1/PLEK/CAPZA1/ARHGEF2/PTK2B/PIK3CA/NCKAP1L/PREX1/VASP/AIF1L/HIP1/RAC2/SNX9/ARPC1B/GMFG/DIAPH1/MICAL2/SPIRE1/MICAL1/FHOD1/LCP1/MYO1G/ERMN/SPTBN5/ACTR2/TMOD3/GAS2L3/DIAPH3/GPR65/PSTPIP1/SSH2/MYO1F/TPM3/PHLDB2/DAAM2/EPHA1/SH3KBP1/ALDOA/PSTPIP2/CYRIB/ELMO1/ZYX/NPHS1/ARPC5/CDC42EP3/ARHGAP25/ARPC2/PRKCD/F2RL1/ARF6/TPM4/RHOH/MYO7B/S1PR1/PTGER4/RND1/CFL1/RHOG/GRB2/MYADM/HCLS1/PAK2/RFLNB/ARAP1/C15orf62/FLNA/SRC/SVIL/CYRIA/FCHSD1/MSRB1/CAPZA2/AIF1/TMSB4X/SH3D21/TWF2/MARCKS",106
"GO:0030099","GO:0030099","myeloid cell differentiation","105/1947","486/21069",7.7252837319321e-17,2.19257598282655e-14,1.54875305439213e-14,"KMT2E/TYROBP/GAB2/SBNO2/SPI1/TFE3/FSTL3/JMJD6/WDR1/ACTN1/CEACAM1/PSEN1/KAT6A/SNX10/TESC/RCOR1/MAEA/CEBPE/IL11/MYH9/EP300/HIF1A/NFKBIA/MMP9/RASSF2/RELB/LILRB1/TGFB1/JAK3/CSF3/TCIRG1/SH2B3/LTBR/PTPN6/NEDD9/MAPK14/VEGFA/BCL6/ID2/CSF3R/GPR68/PTK2B/INHBA/NCKAP1L/PDE1B/TNFAIP6/KLF2/ZFP36/CBFA2T3/RARA/PPARG/ETS1/TLR4/IRF4/TLR2/TMOD3/EPHA2/LBR/NCAPG2/FLI1/BATF/CD109/G6PD/GAB3/NBEAL2/IL20/CCR1/F2RL1/CITED2/IL31RA/CLEC1B/STAT3/TET2/INPP5D/GPR183/KLF13/FOS/OSCAR/JUNB/PIK3CD/RASGRP4/CEBPB/BPGM/TRIB1/STAT5B/NRROS/GBA1/GATA2/HCLS1/FES/CSF1/ZFP36L1/IKZF1/EVI2B/LILRB4/FLNA/SRC/MAFB/MPIG6B/LILRB3/MIR221/TNF/LYN/CLEC5A/CCL3",105
"GO:0002444","GO:0002444","myeloid leukocyte mediated immunity","45/1947","122/21069",8.16582869646822e-17,2.21684497307598e-14,1.56589575460878e-14,"FGR/KMT2E/BTK/TYROBP/GAB2/SPI1/WDR1/FCGR2B/STXBP2/IL4R/LAT2/UNC13D/HMOX1/STX4/PIK3CG/CBL/ARG1/NR4A3/IL13RA2/TREM1/CXCL6/ADGRE2/TICAM1/RAC2/PRAM1/ANXA3/FCGR1A/ITGB2/F2RL1/SYK/DDX21/CD300A/PTAFR/ITGAM/SERPINB9/PIK3CD/MYD88/NLRP6/GATA2/FES/FCGR3A/CD177/LYN/MILR1/CCL3",45
"GO:0002685","GO:0002685","regulation of leukocyte migration","71/1947","270/21069",2.3115610007379e-16,6.01391120358644e-14,4.24800026012798e-14,"CNN2/SPI1/STK10/EDN1/ICAM1/CRKL/HMOX1/RIN3/CORO1A/DOCK8/CCL7/CCL2/BST1/ST3GAL4/NEDD9/VEGFA/IL1A/CCL20/IL1R1/SLAMF1/PADI2/DUSP1/PTK2B/NCKAP1L/TNFAIP6/GPR18/TNFSF14/RAC2/MPP1/LYVE1/C5AR2/CCN3/THBS1/CYP19A1/ABL2/ECM1/PLA2G7/MSN/ADAM8/IL6R/CCR1/F2RL1/GREM1/CRK/CD300A/RHOH/PTAFR/CXCL8/FPR2/PTGER4/C3AR1/MYD88/OXSR1/CHST2/RHOG/FUT7/CXCR2/SPNS2/CSF1/TNFRSF18/S100A14/C5AR1/AGER/AIF1/GPSM3/TNF/LYN/ITGB3/MMP28/CCL4/CCL3",71
