Symbol	ICU_06	ICU_25	ICU_26	ICU_27	NON_07	NON_19	NON_20	NON_22	NON_23	NON_26	NON_28
ZMYND10	7073	1261	466	9821	12460	12975	8598	16982	19052	51278	9833
ABCB5	7	10	2	6	6	11	8	12	6	2	4
ARX	72	56	0	77	128	68	515	843	261	234	432
SLC25A13	1856	1474	3857	1934	1006	1163	963	2446	1315	982	1504
ST7	630	467	241	478	778	892	528	1027	751	1141	482
CDC27	3229	2784	829	1840	2188	1899	2482	5028	2137	1234	2661
SLC4A1	6	6	4	0	0	4	0	0	6	0	0
CALCR	20	14	15	1	4	4	2	6	8	2	0
HCCS	1785	1497	812	1068	1441	1317	1192	2074	1532	1553	1109
DVL2	1180	754	825	1062	1405	1198	902	1476	1188	1159	918
PRSS22	3176	5403	15614	11022	3483	3164	954	1562	1645	1844	1212
UPF1	4235	1910	3478	6120	3760	4765	2126	4498	3219	9843	2778
SKAP2	1857	1230	1844	5073	290	313	142	208	473	153	174
SLC25A5	12497	11153	6598	7415	8619	13148	9695	16633	10809	12798	10043
MCUB	1501	1547	636	1030	1055	1059	621	1585	1424	724	1020
HOXA11	0	0	0	0	0	4	0	2	0	0	0
POLR2J	1937	949	1246	1761	1532	2683	1169	1599	2302	5164	1780
DHX33	1330	1080	204	685	818	732	831	1542	948	542	1055
MEOX1	104	126	28	52	68	48	16	52	28	6	44
THSD7A	168	116	40	108	80	165	248	161	7	0	141
LIG3	1039	416	262	779	1257	673	651	1148	1217	1729	816
RPAP3	2642	1362	466	1681	1889	1211	1935	4413	2147	1354	2037
ACSM3	240	42	2	40	231	92	63	118	134	22	143
REXO5	425	171	131	293	610	1497	589	1237	902	920	335
CIAPIN1	1300	1060	756	992	932	1676	742	1736	1170	1466	840
SPPL2B	1315	661	556	2801	2224	3485	1744	4134	2895	3652	2010
ATOSB	1592	2215	4558	3236	769	1337	626	1491	1342	1198	602
COPZ2	280	151	180	169	255	502	184	233	172	694	220
PRKAR2B	5854	2086	487	1108	1214	3450	3720	4728	922	492	2153
MSL3	4452	2488	1836	5067	2254	4028	3372	7254	3268	2070	3348
CREBBP	4169	2912	3331	5011	1815	2115	2056	4156	2619	1546	2311
TSPOAP1	1645	508	522	2313	2007	1659	1119	2774	2585	2897	1636
MPO	24	50	64	30	2	12	12	14	0	5	0
PON1	14	10	0	8	8	14	8	65	14	0	31
GCFC2	1058	614	147	441	774	853	930	1975	1355	586	1298
WDR54	2031	460	205	3079	4233	8015	3385	7043	7250	20219	3551
CROT	3156	2122	612	1020	1646	950	1406	2651	1367	590	1660
ABCB4	43	33	16	4	19	28	20	40	7	8	35
KMT2E	4209	3329	3619	4303	1788	1833	2349	4247	2537	985	2748
RHBDD2	3113	2072	3497	5355	2028	8261	4369	8685	6138	7578	5771
SOX8	6	34	8	2	14	0	2	4	6	0	0
IBTK	6628	5288	1307	4234	3115	5314	6922	12251	5105	4170	5576
ZNF195	2514	2005	454	1008	1517	1367	1338	3260	1523	616	1696
MYCBP2	3875	1522	806	1339	1740	1630	1806	3316	1765	549	2840
FBXL3	4356	2358	1072	2595	2132	1481	2571	5116	2520	1320	3297
ITGAL	766	208	1090	1703	176	342	111	202	384	323	104
PDK2	205	48	149	192	252	152	114	194	104	385	272
ITGA3	3330	3061	954	4693	4384	2668	1350	3375	3465	2616	3137
ZFX	2086	1549	782	1385	1709	999	781	2582	984	487	1004
LAMP2	13306	8634	9042	14218	5416	4647	5838	12360	5522	2686	7854
ITGA2B	2	22	4	6	2	10	2	17	10	1	9
ASB4	11	18	0	17	33	44	67	232	80	96	110
GDE1	2984	2226	4206	2399	2610	2835	2321	3839	2358	3227	2434
REX1BD	974	500	132	1014	886	1240	930	1212	1390	2459	1398
CRLF1	307	215	96	520	484	67	205	801	540	784	131
OSBPL7	369	319	270	440	282	1119	485	802	447	526	289
TMEM98	1666	440	228	1570	1192	2042	957	2087	2855	2688	1512
YBX2	30	102	30	118	54	144	44	98	28	235	28
KRT33A	13	2	14	1	8	14	0	2	3	2	3
MAP3K14	281	117	230	359	287	356	140	401	414	244	386
ABCC8	3	44	0	2	18	0	2	13	0	0	2
CACNG3	0	4	0	2	0	0	0	0	0	0	0
TMEM132A	588	538	553	1074	908	355	93	376	201	84	255
AP2B1	5570	2561	1971	5384	6298	13716	5305	9618	8509	8446	7981
TAC1	0	10	6	0	0	2	0	64	0	0	6
ZNF263	2167	1574	1040	1504	1853	1769	1616	2691	2730	1357	1973
CX3CL1	2768	582	258	1700	2966	2148	1058	2898	3868	1090	5338
SPATA20	1056	458	344	1204	1183	3798	1154	2325	1368	1985	1808
CACNA1G	4	0	6	12	0	2	2	0	0	3	2
TNFRSF12A	1156	2558	1845	2195	1408	264	346	1080	1252	4695	496
DLX6	10	6	0	0	10	22	0	4	8	0	4
MAP3K9	606	1139	1467	1023	555	599	315	526	396	1046	243
RALA	4536	4680	7108	3006	3035	2549	2013	3811	3210	3217	2424
BAIAP2L1	5090	3300	1260	4154	6430	4582	3946	8444	8076	11912	3975
KDM7A	2903	2225	1912	2789	1384	2553	1557	2926	1895	1179	2274
ETV1	336	111	20	136	222	158	98	262	120	34	204
AGK	1405	661	319	767	975	1189	983	2081	1281	851	1346
ALDH3B1	4819	1513	2139	9520	6863	10106	7334	13680	14461	33979	6400
TTC22	870	1119	1196	1004	704	822	446	984	964	1090	582
PHTF2	2264	1054	508	1418	923	924	1642	3554	1279	268	1404
CCL26	80	64	224	30	6	14	10	59	46	0	2
FARP2	826	800	580	680	798	728	537	1186	942	648	679
USH1C	212	12	44	91	106	931	212	1265	1111	815	529
GGCT	2502	4401	711	1183	1873	2225	1738	3429	2666	2477	1610
DBF4	1123	836	952	570	461	688	552	1338	422	334	517
TBXA2R	1	0	0	0	2	0	2	0	0	0	0
IFRD1	3417	3942	2799	4429	1612	1171	1332	2935	1825	1205	1164
LGALS14	0	0	0	0	0	0	0	0	0	0	1
COX10	391	622	222	364	447	505	339	679	502	702	385
GTF2IRD1	854	1124	798	962	844	1293	767	1810	915	1473	927
PAF1	2513	1296	3666	3725	1824	1556	985	1859	2134	4922	1090
VPS41	2892	1208	953	1804	1933	1451	1480	2908	2415	1740	1941
ARHGAP44	418	178	57	439	556	572	451	839	543	697	399
ELAC2	1554	1129	622	1454	1392	2490	1291	2209	1725	1521	1460
SCIN	3443	1195	467	1891	3463	1718	2778	5687	2970	2256	4355
ARSD	2939	1092	574	1722	5052	6140	2113	6074	4769	2914	3137
PNPLA4	770	294	175	441	1267	1851	714	2081	845	1757	887
MYH13	0	0	0	0	0	0	0	0	0	0	1
ADIPOR2	3558	2589	4894	3945	2418	2597	1793	3255	2472	1469	2233
CDKL3	148	63	7	53	76	95	167	506	234	124	101
UPP2	25	2	16	7	29	31	19	35	46	66	25
PRSS21	12	4	14	8	127	2	0	7	24	0	2
MARK4	500	359	893	855	373	572	242	516	481	688	304
PROM1	28057	10717	1372	15752	12494	31760	30073	49317	34527	9685	21316
CCDC124	810	557	962	1554	970	1218	479	742	994	4198	722
CEACAM21	7	5	40	133	19	33	9	18	54	8	0
PAFAH1B1	6867	5246	6435	6696	4474	5157	4046	8733	5564	5642	4924
NOS2	5265	530	185	256	7126	5476	536	2603	1722	453	3049
DNAH9	2552	489	201	3701	6545	5875	4028	8192	8106	13186	4306
BLTP2	3621	1919	1542	2893	3492	3324	2382	3651	3504	3630	2339
SLC13A2	222	48	16	232	357	254	34	90	166	177	38
GAS7	1649	1012	2304	3274	762	742	460	922	651	1655	462
TRAPPC6A	869	184	256	716	849	1204	695	1156	1362	3086	1430
MATK	96	36	241	191	119	72	104	173	152	231	150
CEACAM7	519	625	1546	1138	764	171	134	219	232	98	185
CD79B	143	31	17	11	2	14	17	11	22	2	0
SCN4A	4	2	16	4	0	12	0	6	2	0	6
ST7L	693	490	201	355	497	366	318	803	408	271	531
TKTL1	238	55	236	115	16	20	10	12	4	8	2
PAX6	76	231	506	162	138	98	67	76	38	24	99
RPUSD1	482	482	528	676	377	1354	402	654	449	839	587
RHBDF1	809	1025	719	951	693	1213	336	931	626	870	492
LUC7L	2413	1247	867	1725	2437	2917	1985	5157	3283	2840	2033
CACNA2D2	43	26	6	50	43	93	88	117	37	21	105
BAIAP3	1357	214	443	4166	3162	3644	1105	4678	3021	6124	1372
TSR3	877	481	522	941	788	1153	653	812	1103	2458	1073
PIGQ	1497	573	613	2479	2351	2502	1359	3200	3228	3980	1937
CRAMP1	309	197	339	401	293	351	196	369	332	532	205
TEAD3	1302	1424	1541	1212	1072	1524	492	1117	862	1223	649
SELE	31	18	22	3	6	35	15	37	2	0	16
DNAJC11	244	205	250	426	130	295	119	182	158	213	161
FMO3	22130	2111	2935	4124	15946	13845	16104	20447	10602	5564	17132
MYLIP	3185	2146	4738	4438	1160	1691	1190	2614	1257	562	1074
NOX1	426	202	66	97	159	237	180	355	324	130	187
E2F2	80	344	234	158	60	98	4	42	36	4	18
PSMB1	11936	10540	4533	7592	8467	14344	10555	20644	14331	13945	11943
SYN1	10	4	130	108	2	22	6	5	8	18	2
JARID2	1420	1804	6973	2918	519	1097	558	1092	635	930	379
CDKL5	586	585	654	791	441	233	288	646	376	286	420
CAMK1G	36	16	178	213	8	13	2	8	0	27	0
CDK11A	287	212	168	213	187	186	19	166	134	74	149
NADK	3101	1102	5943	9921	1278	1106	548	1209	975	1663	874
TFAP2B	12	58	14	7	93	56	10	49	2	4	28
TFAP2D	0	22	0	0	10	0	0	1	2	0	0
DLEC1	2798	652	141	6882	6455	6051	4178	9355	7295	7472	4247
CYTH3	487	533	294	571	394	707	530	845	616	464	380
ADAM22	286	76	30	97	372	133	200	483	218	176	309
SYPL1	16301	10419	1959	7942	9506	4533	9349	19622	8626	3570	11013
CYB561	6414	2552	1307	6222	7350	6319	4936	10731	10130	9916	6140
SPAG9	6442	5194	16436	11557	2602	2765	3387	6851	3140	3347	4382
CELSR3	182	101	30	84	61	156	124	237	128	76	74
AASS	1683	671	120	292	1077	1820	978	1610	1008	214	930
PLEKHG6	310	269	713	946	242	316	143	332	456	676	262
SS18L2	1915	1130	514	880	1504	1256	1232	2329	1998	1977	1453
MPND	263	171	165	287	289	210	157	338	369	974	235
MGST1	7220	5220	1957	4170	5560	4972	3295	6139	3456	3923	3376
CRY1	1991	1378	1325	1357	1490	745	1642	3780	1240	1209	1869
PGLYRP1	295	278	266	564	26	69	0	0	7	8	0
NFIX	428	342	208	662	564	595	380	827	598	1338	690
ST3GAL1	1475	1143	4515	3406	816	862	543	777	324	1428	182
MMP25	5622	2621	6727	18866	497	2960	94	126	239	288	58
IL32	479	263	197	817	444	214	120	205	1353	205	366
PKD1	365	92	136	688	344	454	226	531	292	371	454
MAPK8IP2	58	26	0	31	20	82	36	82	34	54	104
MED24	1804	1282	879	4613	2343	4028	1395	2116	1691	3478	1497
RHOBTB2	271	85	169	215	235	317	270	456	177	468	231
HEATR5B	2328	1428	471	1432	2052	2449	2219	4488	1940	1186	1967
SEC62	13922	9086	6414	10542	9733	4670	13287	19055	10942	12134	12167
RPS20	47683	35950	16059	25165	42967	54009	32099	54194	55844	86749	50288
CSDE1	22454	15733	12846	18039	17675	16548	16990	26547	18601	13688	19441
UBE3C	1531	1279	1010	1687	1324	1643	1060	2126	1296	1709	1137
REV3L	1933	1003	266	1150	1097	1195	1731	3947	1326	523	2343
TENM1	42	74	42	98	30	31	16	32	18	3	34
PAX7	2255	841	286	883	2190	2525	1127	2852	1321	941	1368
MASP2	6	23	7	28	8	8	11	7	10	2	8
IYD	94	43	76	22	60	246	54	140	100	86	80
FAM76A	1596	1022	238	825	1163	1134	2153	3980	2200	1052	1970
TRAF3IP3	906	287	2645	1698	93	142	68	84	155	47	45
POMT2	1453	826	356	1169	1006	4645	3303	3418	2132	1569	2381
VTA1	3715	2451	1032	2364	2522	1739	2293	4456	2728	1862	2963
MLXIPL	32	40	10	76	41	14	14	50	26	53	81
BAZ1B	1820	1232	784	1244	1700	1442	832	1682	1858	1284	1394
RANBP9	3668	3243	4783	2684	2343	2439	2144	4327	2188	1358	2369
ETV7	697	379	116	491	259	615	201	655	1203	140	1590
SPRTN	860	642	359	643	630	561	608	1354	651	479	707
METTL13	1851	1139	767	1206	1381	1551	1092	1681	1778	1250	1104
DYRK4	983	384	145	509	906	959	1049	1520	1183	1333	903
ZNF207	11549	9597	6440	7449	5992	6302	6695	12616	7669	4175	7586
UQCRC1	6448	4452	3973	5680	5472	8313	3952	6885	6174	11747	5459
STARD3NL	2520	1658	1080	1774	1651	1185	1714	3314	1753	1043	2140
CD9	28916	22721	19337	17221	25253	13719	11062	23363	17940	10942	22243
HHATL	125	32	0	68	234	235	176	483	396	646	173
NCAPD2	934	662	487	949	880	597	335	770	557	611	440
IFFO1	330	118	412	321	130	242	78	212	244	88	138
GIPR	837	280	122	1362	1241	1345	1520	3829	2677	2624	1820
PHF7	562	276	104	308	528	1195	986	1695	828	794	646
SEMA3G	8	8	6	2	2	0	4	4	0	2	6
NISCH	2095	1120	1208	1925	2154	2259	1044	3027	2424	2361	1617
STAB1	940	698	1395	1620	368	483	235	627	712	388	134
FUZ	1048	147	119	1658	1594	728	733	1557	1678	4195	1027
SLC6A13	65	40	2	40	39	186	672	1425	316	40	906
IDS	206	265	746	793	153	313	215	368	222	174	170
PRSS3	130	563	1142	229	95	20	2	46	68	47	6
ZNF200	2236	651	1196	2886	532	985	866	1559	793	343	763
CD4	312	106	264	549	218	610	159	420	314	1125	103
LRRC23	5458	1496	984	7767	11002	15756	6568	15302	16214	50658	7936
BTK	488	300	628	858	71	125	42	84	102	72	22
HFE	548	193	108	340	452	256	252	452	422	149	482
SCMH1	1029	316	221	756	1100	1602	831	1852	1139	1290	1291
FYN	441	212	122	580	218	366	385	548	385	664	159
HIVEP2	1693	1156	3148	5015	1006	784	517	1242	853	908	1199
FMO1	48	15	0	24	156	23	34	64	115	16	143
ELOA	2359	1729	894	1457	1838	1734	1546	2943	2084	2207	1794
LYPLA2	3191	2036	2293	3896	3786	3837	1751	3448	3797	10225	2400
CLCN6	750	578	596	758	533	953	606	1314	812	464	644
MRC2	298	258	73	290	251	281	163	300	203	224	314
NME1-NME2	0	0	0	0	0	0	0	0	0	0	0
SLC6A7	2	2	2	0	0	2	0	6	0	0	4
TSPAN9	1129	604	478	836	866	1272	360	541	634	434	833
BTBD7	2581	1629	925	1558	1510	1398	1791	3085	1756	1190	1839
APBA3	392	162	454	584	282	168	100	211	160	465	218
MKS1	1438	399	136	1168	1870	2143	1552	3206	2502	2330	1373
ABHD5	5368	5661	9744	6105	2672	2598	2306	3648	2532	1883	1773
ANOS1	1682	200	46	468	1640	275	972	1755	618	204	2415
AKAP8L	733	508	926	1064	604	1138	506	962	753	861	489
MBTD1	2287	1514	302	1024	1134	824	1192	2604	1152	356	1541
UTP18	2546	2051	954	1341	1629	1371	2275	3974	2270	1539	2557
RNF216	756	413	569	870	561	777	719	1235	735	970	844
TTC19	4923	2824	973	2159	3788	4648	3541	7093	5262	2291	4792
PTBP1	6332	5680	3246	7496	5441	8368	3879	8035	6974	8944	5152
DPF1	30	22	2	33	56	41	26	49	21	129	17
SYT7	684	438	166	808	158	1002	220	398	406	366	122
LARS2	633	319	230	484	700	789	429	1028	717	518	421
PIK3C2A	3346	1964	565	1650	1628	1062	2187	4354	1813	760	2609
PLAUR	9175	8369	65710	54374	1420	2702	255	291	822	1688	141
ANLN	774	1329	273	1090	1013	659	499	1878	341	402	164
WIZ	713	745	432	887	651	804	332	770	570	1007	535
RABGAP1	2685	1456	1242	1550	2753	2383	1537	2895	2394	1350	2185
DCN	1032	106	146	844	439	90	28	170	40	16	743
QPCTL	370	176	239	368	215	274	228	436	304	339	207
PPP5C	1122	624	349	1414	1381	1421	1309	1979	1298	1826	1325
CEP68	2188	595	436	984	1232	777	705	1160	1058	354	2360
MAP4K3	3145	2300	623	1649	1409	1396	3251	6466	1754	690	3016
ZBTB32	10	8	0	21	6	6	9	10	23	14	5
TYROBP	14060	6273	11648	24191	1193	4449	518	1410	2027	1339	671
LDAF1	1176	1150	1383	1154	1155	1052	435	1130	837	956	606
GABRA3	50	0	23	36	40	24	38	34	34	48	24
BRCA1	478	282	222	454	612	256	338	680	438	312	274
ERCC1	2099	1042	1131	2082	2753	3558	2178	3520	2871	11738	1643
CD22	432	28	774	350	120	6	22	8	34	36	8
SEMA3B	292	164	210	601	189	445	187	285	214	562	163
MBTPS2	897	701	212	523	596	659	757	1705	687	213	917
PRICKLE3	135	99	181	267	123	174	49	123	111	155	72
LTF	675	1261	976	4189	4601	1564	186	250	140	683	224
EXTL3	993	652	1737	2060	706	668	317	560	638	544	468
NR1H4	0	2	7	0	0	0	0	0	0	0	0
ELOVL5	10527	3545	3202	8207	4936	6882	9226	11518	5828	3738	8042
ALOX5	5359	2922	4860	9888	623	1787	200	358	288	302	112
KDM5D	1687	875	346	919	0	0	898	0	1122	533	936
CALCOCO1	2634	1321	3140	4112	2559	2507	1409	2423	2493	2795	2026
UBR7	1881	1187	709	1096	1280	1799	1920	3424	1514	1066	1820
MAP4K5	3805	3469	673	1613	2315	1628	2618	4990	2729	984	2944
EHD3	371	616	1046	579	178	216	103	211	173	196	122
PSMC4	3402	3058	2071	2861	2811	3643	2190	4116	3530	6320	2486
MAN2B2	1928	1348	1095	1575	1612	2669	1780	2506	2730	1714	1491
SLC7A14	2	0	0	0	1	0	0	0	0	0	0
CLDN11	39	66	21	53	51	4	16	52	43	19	28
SLC25A39	3095	2080	2198	3510	2621	4895	1806	3582	2972	8241	1980
MVP	9886	6032	7776	16525	4619	13572	6369	11312	11634	17453	7283
NUB1	2883	1653	1216	2661	2726	2617	2184	4151	5394	3209	5157
PGM3	3487	2237	718	1941	2347	1540	2004	3444	1920	1942	2037
RWDD2A	946	480	161	534	765	621	749	1212	842	606	621
CLK1	22555	13675	10155	11799	9927	6219	12047	23841	13338	3545	16276
POLR3B	677	602	298	521	512	536	478	1041	636	333	675
ANGEL1	349	180	115	348	326	442	183	492	451	290	197
RNF14	3501	2015	763	1656	2501	2116	2498	4711	2660	2231	2608
DNASE1L1	333	97	264	349	139	238	124	154	128	134	195
DDX11	758	1266	404	559	300	838	520	1276	365	868	678
HEBP1	891	576	651	818	775	585	546	897	708	655	673
GPRC5A	4293	9111	8444	10162	5067	1456	930	2182	2710	10950	1116
MAMLD1	96	128	443	313	64	190	101	280	60	10	281
CD6	242	26	15	184	104	220	98	288	526	218	172
TACC3	1429	1518	2751	3967	614	1291	317	744	603	1492	173
UFL1	2654	1594	488	1832	1222	1140	2174	4973	1572	758	2397
POLA2	979	381	128	308	448	750	284	572	577	411	258
ZC3H3	533	191	871	2358	336	518	122	290	361	765	252
CAPN1	5516	4437	6822	8772	4910	7246	2128	3839	3973	6724	3263
ACP3	298	395	276	511	152	330	114	145	110	97	134
MDH1	15602	8720	1812	6770	10267	8868	12071	21670	11976	7633	12304
SLC30A9	5736	3361	1057	3559	4231	4000	5455	9400	5286	3454	6738
MTMR11	714	534	157	318	572	141	84	379	209	230	339
COX15	2068	868	404	945	1657	1800	1220	2236	2053	1187	1569
CCDC88C	3226	1456	640	3038	4921	5107	4252	9836	5893	6501	4696
YAF2	1185	865	442	788	486	651	946	1703	626	298	921
ZMYND11	4410	2319	540	1697	2747	2317	3315	6246	3206	1763	4692
WAS	1932	585	4065	5499	132	530	49	87	203	218	23
DPEP1	0	2	6	0	0	0	2	0	4	10	2
BID	5242	2696	6951	10864	2160	2180	1293	2723	2482	1766	1821
MATR3	57	42	30	51	77	26	39	89	46	14	63
NPC1L1	14	12	6	12	7	16	2	14	26	12	2
XYLT2	1199	384	268	813	1359	1504	1246	2076	1230	1120	1240
RGPD5	12	18	2	4	4	2	8	8	4	0	6
STMN4	0	0	2	0	2	2	0	7	4	8	0
NUDCD3	1691	843	799	1586	1519	2283	844	2866	1999	3431	1371
ISL1	750	426	86	179	503	360	250	486	710	228	641
CHDH	199	179	94	123	170	194	140	158	22	154	64
IL20RA	2586	1066	308	1561	2240	1922	2695	5236	2554	2186	2840
CLCA1	0	0	0	0	0	0	0	0	0	0	0
CLCA4	8788	6413	4972	4404	3576	562	150	2739	904	201	939
GLT8D1	5689	2313	838	2934	5625	6108	7154	12858	8968	4221	7486
ATP2C1	8438	3888	1110	4662	6254	3721	4292	8468	5140	2520	5789
IGF1	14	19	12	22	97	15	71	143	20	75	31
SLC38A5	258	234	80	404	338	80	40	150	90	196	359
RALBP1	1770	1359	3314	3100	1605	1486	1180	1907	1241	1946	1182
RUFY3	3680	2334	431	1645	3359	2552	2804	5690	3591	1678	3232
CNTN1	146	135	0	78	64	19	12	84	42	2	134
SLC11A1	7078	4575	23801	27014	658	2009	179	265	225	578	89
WWTR1	3829	3652	619	1986	2692	1340	3136	5866	3045	1944	2698
AGPS	2965	2132	494	1650	2144	1479	1916	4189	2346	1742	2683
ZNF285CP	0	12	0	0	15	1	0	0	2	2	0
STEEP1	636	737	466	715	851	966	839	1312	1056	670	1007
ATP1A2	2	4	0	4	2	4	12	6	2	0	0
TTC27	1245	826	254	560	881	880	1005	1660	1396	886	1321
ZNF582	115	87	36	98	127	32	72	142	106	164	92
VSIG2	3790	2420	3985	3549	2355	6793	2794	2856	3568	6096	4036
PHLDB1	126	41	20	165	116	75	52	115	41	56	83
MARCO	130	76	1292	1966	46	16	4	10	6	58	10
CYP24A1	3245	923	28	1353	3801	323	432	673	830	201	4355
PRDM11	360	112	70	188	409	255	198	453	353	661	331
SYT13	12	6	0	38	70	16	106	214	12	18	114
SNAI2	682	578	70	592	851	98	182	494	286	10	800
CD74	32624	7465	12003	37953	22259	55571	11505	29147	78512	46161	14457
HGF	138	181	30	64	26	19	18	52	41	8	20
ZRANB1	362	322	895	460	254	157	124	172	157	112	175
NCDN	1095	429	224	789	1425	1134	531	1129	1131	1278	682
ADGRA2	0	7	0	32	9	2	0	2	0	0	2
CCT8L1P	8	0	0	0	6	4	0	0	3	8	0
ZFP64	622	395	164	361	406	404	382	661	507	402	417
MNAT1	2147	1038	323	1220	1888	1595	1878	3526	2714	1979	1937
SAMD4A	436	686	166	476	290	361	380	677	374	334	345
RUNX3	535	305	675	798	394	535	150	268	558	161	339
MRE11	1313	575	291	798	1096	1044	899	1908	1172	646	1032
PLEKHB1	1250	254	76	1590	2394	1405	1100	1838	1694	8275	1800
SERPINB1	26681	24965	28855	47405	9939	11792	6041	10893	14930	8542	6326
CYP3A43	11	4	0	0	14	1	3	9	26	0	9
SLC7A9	89	30	2	34	124	34	47	94	128	71	60
SPAST	2501	1461	528	1503	1196	765	1338	2799	1270	556	1277
NRXN3	171	77	4	126	170	32	126	438	304	226	282
OSBPL5	555	237	274	583	441	846	463	915	417	718	661
AQR	2777	1434	702	1654	2298	2088	1666	2681	2500	1040	1930
CPS1	94	32	2	8	70	14	6	32	56	8	34
C8B	42	16	16	8	16	11	27	4	0	0	2
FHL1	244	160	22	147	204	418	168	300	208	378	118
RTF2	3282	1968	3846	5003	1700	2616	1322	2201	2387	2987	1631
GABRA1	2	0	2	0	0	0	0	0	0	0	0
NLRP2	116	118	138	112	52	262	151	618	674	133	66
SLC45A4	1896	957	3758	4087	1188	1260	659	1808	1782	2010	960
RNF10	5640	5007	10771	8466	3740	8794	2431	4288	4097	8221	2597
ZNF839	89	50	126	267	134	302	102	193	182	154	152
ZDHHC6	2319	1831	1362	1600	1564	2081	1400	2651	1782	1393	1575
GRAMD1B	991	703	460	765	509	1217	462	729	601	639	410
RNH1	4524	3122	2794	5700	3736	5127	3190	5507	4681	7591	4518
