"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060294","GO:0060294","cilium movement involved in cell motility","62/981","154/21069",5.46310435419195e-42,2.1032951763639e-39,2.08695814181189e-39,"CLXN/DNAH5/CFAP20/SPAG6/DNAAF6/KIF9/TEKT2/TTLL1/EPPIN/CFAP69/DNAH11/RSPH4A/IQCG/ROPN1B/DNAH1/ARMC2/CFAP58/DNAI1/IFT81/BBS2/DNAAF11/TTLL9/NPHP4/DZIP1/MNS1/SORD/BBS4/GAS8/CCDC40/CEP131/SPAG16/ROPN1L/TCTE1/TTC12/ENKUR/SPEF2/CATSPER3/CFAP251/DRC7/CFAP157/DNAI3/TEKT4/CFAP221/LZTFL1/CFAP47/DPCD/CFAP52/TEKT1/TTC21A/TTLL6/CFAP46/RSPH9/CATSPERD/CFAP65/HOATZ/ENO4/CFAP54/MEIG1/ODAD3/CFAP44/CFAP45/GAS2L2",62
"GO:0044458","GO:0044458","motile cilium assembly","39/981","61/21069",4.510768642369e-37,1.59192543336939e-34,1.57956038774886e-34,"ZMYND10/MKS1/CC2D2A/SPAG6/TTLL1/CFAP69/JHY/IFT57/IQCG/DNAH1/ARMC2/BBOF1/CFAP58/IFT81/BBS2/DNAAF11/FOXJ1/SPATA6/DZIP1/MNS1/CCDC40/CEP131/SPAG16/TTC12/SPEF2/DNAAF1/SPAG17/DRC7/CFAP157/CFAP221/BBS5/INTU/CFAP47/DNAAF3/RSPH9/CFAP65/CFAP54/MEIG1/CFAP44",39
"GO:0030317","GO:0030317","flagellated sperm motility","52/981","135/21069",3.11872712863171e-34,9.43414956411091e-32,9.36087120112614e-32,"CLXN/DNAH5/SPAG6/DNAAF6/KIF9/TEKT2/TTLL1/EPPIN/CFAP69/DNAH11/IQCG/ROPN1B/DNAH1/ARMC2/CFAP58/DNAI1/IFT81/BBS2/DNAAF11/TTLL9/NPHP4/DZIP1/MNS1/SORD/GAS8/CCDC40/CEP131/SPAG16/ROPN1L/TCTE1/TTC12/ENKUR/SPEF2/CATSPER3/CFAP251/DRC7/CFAP157/CFAP221/LZTFL1/CFAP47/DPCD/CFAP52/TTC21A/CATSPERD/CFAP65/HOATZ/ENO4/CFAP54/MEIG1/ODAD3/CFAP44/CFAP45",52
"GO:0097722","GO:0097722","sperm motility","52/981","135/21069",3.11872712863171e-34,9.43414956411091e-32,9.36087120112614e-32,"CLXN/DNAH5/SPAG6/DNAAF6/KIF9/TEKT2/TTLL1/EPPIN/CFAP69/DNAH11/IQCG/ROPN1B/DNAH1/ARMC2/CFAP58/DNAI1/IFT81/BBS2/DNAAF11/TTLL9/NPHP4/DZIP1/MNS1/SORD/GAS8/CCDC40/CEP131/SPAG16/ROPN1L/TCTE1/TTC12/ENKUR/SPEF2/CATSPER3/CFAP251/DRC7/CFAP157/CFAP221/LZTFL1/CFAP47/DPCD/CFAP52/TTC21A/CATSPERD/CFAP65/HOATZ/ENO4/CFAP54/MEIG1/ODAD3/CFAP44/CFAP45",52
"GO:0003351","GO:0003351","epithelial cilium movement involved in extracellular fluid movement","31/981","42/21069",8.47522423396804e-33,2.39283830872364e-30,2.3742522906667e-30,"DNAH9/DNAH5/OFD1/SPA17/SPAG6/RFX3/TTLL1/DNAH11/JHY/NME5/DNAH1/DNAI1/DAW1/DNAAF11/GAS8/CCDC40/SPAG16/ROPN1L/SPEF2/DNAAF1/SPAG17/CFAP221/NEK10/KIF27/DPCD/CFAP53/CFAP54/ODAD3/ODAD4/CFAP45/DNAAF4",31
"GO:0006858","GO:0006858","extracellular transport","31/981","45/21069",2.88903359665442e-31,7.64691080114467e-29,7.58751455121345e-29,"DNAH9/DNAH5/OFD1/SPA17/SPAG6/RFX3/TTLL1/DNAH11/JHY/NME5/DNAH1/DNAI1/DAW1/DNAAF11/GAS8/CCDC40/SPAG16/ROPN1L/SPEF2/DNAAF1/SPAG17/CFAP221/NEK10/KIF27/DPCD/CFAP53/CFAP54/ODAD3/ODAD4/CFAP45/DNAAF4",31
"GO:0070286","GO:0070286","axonemal dynein complex assembly","29/981","39/21069",6.43647423665264e-31,1.60343931718964e-28,1.59098483917755e-28,"ZMYND10/CLXN/DNAH5/DNAAF6/TEKT2/DNAH1/DNAH7/DNAL1/DNAI1/DAW1/DNAAF11/LRRC49/CCDC65/CCDC40/TTC12/DNAI4/DNAAF1/DRC1/DNAI3/CFAP100/DNAAF3/ODAD2/DNAI2/DNAH2/CFAP73/ODAD3/ODAD4/DNAAF10/DNAAF4",29
"GO:0010970","GO:0010970","transport along microtubule","49/981","174/21069",3.64176452791615e-25,8.56826265318049e-23,8.50170993885454e-23,"IFT88/IFT80/AP3M2/KIFAP3/PCM1/RABL2B/HSPB11/IFT74/IFT27/IFT52/KIF3B/CLUAP1/TTC26/MAK/IFT57/IFT46/WDR35/DYNC2I2/IFT43/IFT81/TTC21B/DYNC2I1/IFT22/KIF3A/IFT172/DYNC2LI1/ARL3/CEP131/SOD1/WDPCP/DLG2/SPAG17/RPGR/LCA5L/WDR19/FYCO1/IFT122/INTU/TUB/MAP1A/TTC21A/BBS12/AGBL4/DYNC2H1/IFT140/TTC30B/TTC30A/TRAF3IP1/DYNLT2B",49
"GO:0061512","GO:0061512","protein localization to cilium","33/981","72/21069",3.98522855304795e-25,8.88286469587267e-23,8.81386835665785e-23,"ZMYND10/SPATA7/CC2D2A/CROCC/IFT80/DNAH11/TTC26/ROPN1B/WDR35/CFAP58/BBS9/TTC21B/DNAAF11/NPHP4/DZIP1/ARL3/BBS4/GAS8/INPP5E/CDK20/WDR19/DZIP1L/LZTFL1/IFT122/TUB/TTC21A/TCTN2/TMEM107/MAPK15/DYNC2H1/IFT140/ODAD4/TCTN1",33
"GO:0030705","GO:0030705","cytoskeleton-dependent intracellular transport","53/981","223/21069",2.74817193817348e-23,5.81925407908233e-21,5.7740538827308e-21,"CCDC88C/IFT88/IFT80/AP3M2/KIFAP3/PCM1/RABL2B/HSPB11/MYO15A/IFT74/IFT27/IFT52/KIF3B/CLUAP1/TTC26/MAK/IFT57/IFT46/WDR35/DYNC2I2/IFT43/IFT81/TTC21B/DYNC2I1/IFT22/KIF3A/IFT172/DYNC2LI1/ARL3/CEP131/SOD1/WDPCP/DLG2/SPAG17/RPGR/LCA5L/WDR19/FYCO1/IFT122/INTU/TUB/MAP1A/TUBA1A/TTC21A/MAP6/BBS12/AGBL4/DYNC2H1/IFT140/TTC30B/TTC30A/TRAF3IP1/DYNLT2B",53
"GO:0120316","GO:0120316","sperm flagellum assembly","23/981","36/21069",2.33839381523925e-22,4.71576086073249e-20,4.67913188492987e-20,"SPAG6/TTLL1/CFAP69/IQCG/DNAH1/ARMC2/CFAP58/IFT81/BBS2/DZIP1/MNS1/CEP131/SPAG16/TTC12/SPEF2/DRC7/CFAP157/CFAP221/CFAP47/CFAP65/CFAP54/MEIG1/CFAP44",23
"GO:0007368","GO:0007368","determination of left/right symmetry","40/981","136/21069",1.51283869912186e-21,2.91221449580958e-19,2.8895942999495e-19,"MKS1/DNAH5/OFD1/CC2D2A/RFX3/IFT74/IFT52/KIF3B/CLUAP1/RPGRIP1L/DNAH11/IFT57/DNAI1/DAW1/DNAAF11/FOXJ1/IFT172/DYNC2LI1/BBS4/GAS8/CCDC40/ENKUR/DNAAF1/DRC1/PIERCE1/BBS5/ANKS6/DPCD/CFAP52/DNAAF3/ODAD2/DNAI2/CFAP53/TMEM107/DYNC2H1/IFT140/ODAD3/ODAD4/CFAP45/DNAAF4",40
"GO:0009855","GO:0009855","determination of bilateral symmetry","40/981","147/21069",3.53085468506835e-20,6.50137808315846e-18,6.45087958937888e-18,"MKS1/DNAH5/OFD1/CC2D2A/RFX3/IFT74/IFT52/KIF3B/CLUAP1/RPGRIP1L/DNAH11/IFT57/DNAI1/DAW1/DNAAF11/FOXJ1/IFT172/DYNC2LI1/BBS4/GAS8/CCDC40/ENKUR/DNAAF1/DRC1/PIERCE1/BBS5/ANKS6/DPCD/CFAP52/DNAAF3/ODAD2/DNAI2/CFAP53/TMEM107/DYNC2H1/IFT140/ODAD3/ODAD4/CFAP45/DNAAF4",40
"GO:0009799","GO:0009799","specification of symmetry","40/981","148/21069",4.62699068449531e-20,8.16471064534903e-18,8.10129246162513e-18,"MKS1/DNAH5/OFD1/CC2D2A/RFX3/IFT74/IFT52/KIF3B/CLUAP1/RPGRIP1L/DNAH11/IFT57/DNAI1/DAW1/DNAAF11/FOXJ1/IFT172/DYNC2LI1/BBS4/GAS8/CCDC40/ENKUR/DNAAF1/DRC1/PIERCE1/BBS5/ANKS6/DPCD/CFAP52/DNAAF3/ODAD2/DNAI2/CFAP53/TMEM107/DYNC2H1/IFT140/ODAD3/ODAD4/CFAP45/DNAAF4",40
"GO:0031503","GO:0031503","protein-containing complex localization","45/981","189/21069",5.39575167425611e-20,9.14040333618985e-18,9.06940660363385e-18,"AP2B1/IFT88/IFT80/PCM1/RABL2B/HSPB11/IFT74/IFT27/IFT52/KIF3B/CLUAP1/TTC26/MAK/IFT57/IFT46/WDR35/DYNC2I2/IFT43/IFT81/TTC21B/DYNC2I1/IFT22/DZIP1/IFT172/DYNC2LI1/ARL3/CEP131/WDPCP/DLG2/CEP112/SPAG17/RPGR/LCA5L/WDR19/IFT122/INTU/TUB/TTC21A/BBS12/DYNC2H1/IFT140/TTC30B/TTC30A/TRAF3IP1/DYNLT2B",45
"GO:0007288","GO:0007288","sperm axoneme assembly","19/981","28/21069",1.93046219990092e-19,3.144425929454e-17,3.12000206558886e-17,"SPAG6/TTLL1/CFAP69/IQCG/DNAH1/ARMC2/CFAP58/BBS2/MNS1/CEP131/SPAG16/TTC12/SPEF2/DRC7/CFAP157/CFAP47/CFAP65/MEIG1/CFAP44",19
"GO:0035720","GO:0035720","intraciliary anterograde transport","15/981","17/21069",1.17809025769786e-18,1.84785638568534e-16,1.83350343420267e-16,"IFT88/IFT80/HSPB11/IFT74/IFT27/IFT52/CLUAP1/TTC26/IFT57/IFT46/IFT81/IFT22/IFT172/TTC30B/TRAF3IP1",15
"GO:1905515","GO:1905515","non-motile cilium assembly","27/981","69/21069",1.32010946966537e-18,1.99666557286888e-16,1.98115676800909e-16,"MKS1/IFT88/CC2D2A/IFT80/PCM1/IFT74/IFT52/RPGRIP1L/RP1/CEP126/MAK/IFT57/CEP89/BBS2/CEP250/IFT172/BBS4/CEP131/IFT122/INTU/TTC8/TMEM107/TMEM17/TMEM216/DYNC2H1/IFT140/CCDC13",27
"GO:0007224","GO:0007224","smoothened signaling pathway","36/981","150/21069",2.21934139503552e-16,3.24100372688808e-14,3.2158297092493e-14,"MKS1/CC2D2A/HHAT/IFT80/HSPB11/IFT27/IFT52/CLUAP1/RPGRIP1L/TTC26/B9D1/IFT57/TCTN3/IFT81/TTC21B/TTBK2/DZIP1/ARMC9/IFT172/ARL3/GAS8/WDPCP/DCDC2/CDK20/WDR19/DZIP1L/SCUBE1/IFT122/INTU/IQUB/TCTN2/TMEM17/DYNC2H1/IFT140/TCTN1/TMEM231",36
"GO:0048515","GO:0048515","spermatid differentiation","42/981","212/21069",1.14014412292817e-15,1.6095034535336e-13,1.59700187323834e-13,"TRIP13/SPAG6/RFX2/TTLL1/CFAP69/TTC26/PACRG/NME5/IQCG/ROPN1B/DNAH1/ARMC2/CFAP58/IFT81/BBS2/DZIP1/ODF2/MNS1/BBS4/CEP131/NPHP1/SPAG16/ROPN1L/TTC12/SPEF2/CATSPER3/SPAG17/DRC7/RSPH1/CFAP157/CFAP221/CFAP47/STRBP/TTC21A/DPY19L2P2/CATSPERD/DPY19L2/CFAP65/CIB1/CFAP54/MEIG1/CFAP44",42
"GO:0007286","GO:0007286","spermatid development","41/981","205/21069",1.7718080626328e-15,2.42051843395159e-13,2.40171741461126e-13,"TRIP13/SPAG6/RFX2/TTLL1/CFAP69/TTC26/PACRG/NME5/IQCG/ROPN1B/DNAH1/ARMC2/CFAP58/IFT81/BBS2/DZIP1/ODF2/MNS1/BBS4/CEP131/SPAG16/ROPN1L/TTC12/SPEF2/CATSPER3/SPAG17/DRC7/RSPH1/CFAP157/CFAP221/CFAP47/STRBP/TTC21A/DPY19L2P2/CATSPERD/DPY19L2/CFAP65/CIB1/CFAP54/MEIG1/CFAP44",41
"GO:0036158","GO:0036158","outer dynein arm assembly","15/981","23/21069",3.26299755280722e-15,4.31837332379331e-13,4.2848309969758e-13,"ZMYND10/CLXN/DNAH5/DNAAF6/DNAL1/DNAI1/DAW1/DNAAF11/LRRC49/DNAAF1/ODAD2/DNAI2/ODAD3/ODAD4/DNAAF4",15
"GO:0035721","GO:0035721","intraciliary retrograde transport","12/981","14/21069",8.12215616000575e-15,1.0423433738674e-12,1.03424712570153e-12,"WDR35/DYNC2I2/IFT43/TTC21B/DYNC2I1/DYNC2LI1/WDR19/IFT122/TTC21A/DYNC2H1/IFT140/DYNLT2B",12
"GO:0036159","GO:0036159","inner dynein arm assembly","13/981","17/21069",8.95501786111729e-15,1.11542648946564e-12,1.10676257899629e-12,"ZMYND10/DNAAF6/TEKT2/DNAH1/DNAH7/DNAAF11/CCDC40/DNAAF1/DNAI3/CFAP100/DNAH2/CFAP73/DNAAF4",13
"GO:0003352","GO:0003352","regulation of cilium movement","18/981","43/21069",1.83268158905987e-13,2.21754472276245e-11,2.20032027173745e-11,"CLXN/CFAP20/KIF9/EPPIN/CFAP69/DNAH11/RSPH4A/BBS2/CCDC65/BBS4/CCDC40/DNAAF1/DRC1/CFAP298/ODAD2/TTLL6/CFAP45/GAS2L2",18
"GO:1902017","GO:1902017","regulation of cilium assembly","22/981","69/21069",2.88110607181193e-13,3.38930117058987e-11,3.36297527446586e-11,"ZMYND10/IFT88/CROCC/VDAC3/CDKL1/RP1/MAK/ODF2L/DZIP1/ODF2/DYNC2LI1/MNS1/BBS4/WDPCP/DCDC2/INTU/MAPK15/CEP97/KIF24/IFT140/ODAD3/DYNLT2B",22
"GO:0060632","GO:0060632","regulation of microtubule-based movement","20/981","59/21069",9.41950993900534e-13,1.07815201599156e-10,1.06977762948817e-10,"CLXN/CFAP20/KIF9/EPPIN/CFAP69/DNAH11/RSPH4A/TTC21B/BBS2/CCDC65/BBS4/CCDC40/DNAAF1/DRC1/CFAP298/ODAD2/TTLL6/CFAP45/DYNLT2B/GAS2L2",20
"GO:0060287","GO:0060287","epithelial cilium movement involved in determination of left/right asymmetry","10/981","13/21069",1.15288543828791e-11,1.28486048188139e-09,1.27488051790729e-09,"OFD1/RFX3/DNAH11/DNAAF11/CCDC40/DNAAF1/CFAP53/ODAD3/ODAD4/CFAP45",10
"GO:0090660","GO:0090660","cerebrospinal fluid circulation","10/981","15/21069",1.11128374514127e-10,1.2067401694034e-08,1.19736699341537e-08,"DNAH9/JHY/DAW1/DNAAF11/SPAG16/CFAP221/CFAP54/ODAD3/ODAD4/CFAP45",10
