Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0030595,leukocyte chemotaxis,19_GO:0040011 locomotion,-24,15,19,30337,146,400,28,7,1.3,101|240|728|1230|1441|1901|2207|2321|2867|3553|3576|3577|3579|3586|3689|5142|5473|6279|6280|6283|6347|6354|6374|7852|8740|30817|54210|57580,ADAM8|ALOX5|C5AR1|CCR1|CSF3R|S1PR1|FCER1G|FLT1|FFAR2|IL1B|CXCL8|CXCR1|CXCR2|IL10|ITGB2|PDE4B|PPBP|S100A8|S100A9|S100A12|CCL2|CCL7|CXCL5|CXCR4|TNFSF14|ADGRE2|TREM1|PREX1,-20,DEGs
GO Biological Processes,19,GO:0050727,regulation of inflammatory response,19_GO:0050896 response to stimulus,-23,7.4,15,30337,433,400,42,10,1.5,101|240|241|838|1268|2268|2358|2529|2828|2865|2867|3055|3553|3586|4210|4317|4318|5008|5138|5743|5788|6279|6280|6283|7099|7130|7133|7538|8530|8870|8993|9021|9173|57817|58484|91662|114548|140885|171389|199713|353514|653361,ADAM8|ALOX5|ALOX5AP|CASP5|CNR1|FGR|FPR2|FUT7|GPR4|FFAR3|FFAR2|HCK|IL1B|IL10|MEFV|MMP8|MMP9|OSM|PDE2A|PTGS2|PTPRC|S100A8|S100A9|S100A12|TLR4|TNFAIP6|TNFRSF1B|ZFP36|CST7|IER3|PGLYRP1|SOCS3|IL1RL1|HAMP|NLRC4|NLRP12|NLRP3|SIRPA|NLRP6|NLRP7|LILRA5|NCF1,-20,DEGs
GO Biological Processes,19,GO:0050865,regulation of cell activation,19_GO:0032501 multicellular organismal process,-23,5.8,14,30337,639,400,49,12,1.6,101|383|399|944|1178|1268|1378|1960|2207|2268|2316|3142|3552|3553|3586|3624|3718|4317|4332|5270|5341|5788|5880|6347|6688|7056|7099|7133|7940|8530|8740|8993|9173|9308|9473|10288|10326|11027|11314|55824|57817|64092|64581|114548|114771|140885|150372|338339|353514,ADAM8|ARG1|RHOH|TNFSF8|CLC|CNR1|CR1|EGR3|FCER1G|FGR|FLNA|HLX|IL1A|IL1B|IL10|INHBA|JAK3|MMP8|MNDA|SERPINE2|PLEK|PTPRC|RAC2|CCL2|SPI1|THBD|TLR4|TNFRSF1B|LST1|CST7|TNFSF14|PGLYRP1|IL1RL1|CD83|THEMIS2|LILRB2|SIRPB1|LILRA2|CD300A|PAG1|HAMP|SAMSN1|CLEC7A|NLRP3|PGLYRP3|SIRPA|NFAM1|CLEC4D|LILRA5,-19,DEGs
GO Biological Processes,19,GO:0050778,positive regulation of immune response,19_GO:0002376 immune system process,-22,5.7,14,30337,669,400,50,12,1.7,101|719|722|728|929|1268|1378|2069|2207|2219|2268|2357|2358|2867|3055|3142|3553|3586|3656|3684|3689|3937|4210|4332|5142|5650|5788|6556|6573|6688|7099|7462|8807|8809|9473|10603|11027|25818|26253|51311|57126|58484|64581|79931|81793|114548|115727|150372|171389|285852,ADAM8|C3AR1|C4BPA|C5AR1|CD14|CNR1|CR1|EREG|FCER1G|FCN1|FGR|FPR1|FPR2|FFAR2|HCK|HLX|IL1B|IL10|IRAK2|ITGAM|ITGB2|LCP2|MEFV|MNDA|PDE4B|KLK7|PTPRC|SLC11A1|SLC19A1|SPI1|TLR4|LAT2|IL18RAP|IL18R1|THEMIS2|SH2B2|LILRA2|KLK5|CLEC4E|TLR8|CD177|NLRC4|CLEC7A|TNIP3|TLR10|NLRP3|RASGRP4|NFAM1|NLRP6|TREML4,-19,DEGs
GO Biological Processes,19,GO:0060326,cell chemotaxis,19_GO:0040011 locomotion,-22,11,17,30337,215,400,31,7.8,1.3,101|240|728|1230|1441|1839|1901|1960|2207|2321|2867|3553|3576|3577|3579|3586|3689|5142|5473|6279|6280|6283|6347|6354|6364|6374|7852|8740|30817|54210|57580,ADAM8|ALOX5|C5AR1|CCR1|CSF3R|HBEGF|S1PR1|EGR3|FCER1G|FLT1|FFAR2|IL1B|CXCL8|CXCR1|CXCR2|IL10|ITGB2|PDE4B|PPBP|S100A8|S100A9|S100A12|CCL2|CCL7|CCL20|CXCL5|CXCR4|TNFSF14|ADGRE2|TREM1|PREX1,-19,DEGs
GO Biological Processes,19,GO:0071345,cellular response to cytokine stimulus,19_GO:0050896 response to stimulus,-22,5.4,14,30337,737,400,52,13,1.7,820|1230|1439|1441|2069|2180|2207|2353|3055|3383|3552|3553|3576|3577|3579|3586|3598|3624|3656|3718|4046|4311|4332|5008|5138|5473|6347|6354|6364|6374|6688|7099|7133|7454|7538|7850|7852|8807|8809|9021|9173|10288|10581|10603|11024|11027|11240|91662|140885|199713|339122|353514,CAMP|CCR1|CSF2RB|CSF3R|EREG|ACSL1|FCER1G|FOS|HCK|ICAM1|IL1A|IL1B|CXCL8|CXCR1|CXCR2|IL10|IL13RA2|INHBA|IRAK2|JAK3|LSP1|MME|MNDA|OSM|PDE2A|PPBP|CCL2|CCL7|CCL20|CXCL5|SPI1|TLR4|TNFRSF1B|WAS|ZFP36|IL1R2|CXCR4|IL18RAP|IL18R1|SOCS3|IL1RL1|LILRB2|IFITM2|SH2B2|LILRA1|LILRA2|PADI2|NLRP12|SIRPA|NLRP7|RAB43|LILRA5,-19,DEGs
GO Biological Processes,19,GO:0002697,regulation of immune effector process,19_GO:0002376 immune system process,-22,7.5,15,30337,396,400,39,9.8,1.5,383|722|1178|1378|2219|2268|2529|2865|2867|3142|3383|3553|3586|3598|3684|3689|3718|5650|5788|5880|6280|6688|7099|7133|7454|8140|8807|8809|8993|9437|11314|25818|30817|57126|64581|114548|114771|115727|653361,ARG1|C4BPA|CLC|CR1|FCN1|FGR|FUT7|FFAR3|FFAR2|HLX|ICAM1|IL1B|IL10|IL13RA2|ITGAM|ITGB2|JAK3|KLK7|PTPRC|RAC2|S100A9|SPI1|TLR4|TNFRSF1B|WAS|SLC7A5|IL18RAP|IL18R1|PGLYRP1|NCR1|CD300A|KLK5|ADGRE2|CD177|CLEC7A|NLRP3|PGLYRP3|RASGRP4|NCF1,-19,DEGs
GO Biological Processes,19,GO:0001775,cell activation,19_GO:0032501 multicellular organismal process,-21,5.2,13,30337,730,400,50,12,1.7,399|728|820|944|2207|2316|2529|3142|3383|3553|3576|3579|3586|3684|3689|3718|3936|3937|5023|5270|5341|5788|6283|6556|6688|7099|7454|7462|8291|8740|8807|8809|9021|9308|9437|9839|11027|22918|26253|50856|54518|57580|57817|64581|79865|83706|115350|150372|222487|338339,RHOH|C5AR1|CAMP|TNFSF8|FCER1G|FLNA|FUT7|HLX|ICAM1|IL1B|CXCL8|CXCR2|IL10|ITGAM|ITGB2|JAK3|LCP1|LCP2|P2RX1|SERPINE2|PLEK|PTPRC|S100A12|SLC11A1|SPI1|TLR4|WAS|LAT2|DYSF|TNFSF14|IL18RAP|IL18R1|SOCS3|CD83|NCR1|ZEB2|LILRA2|CD93|CLEC4E|CLEC4A|APBB1IP|PREX1|HAMP|CLEC7A|TREML2|FERMT3|FCRL1|NFAM1|ADGRG3|CLEC4D,-18,DEGs
GO Biological Processes,19,GO:0002237,response to molecule of bacterial origin,19_GO:0044419 biological process involved in interspecies interaction between organisms,-20,7.5,14,30337,354,400,35,8.8,1.4,133|728|820|929|1268|1439|2353|3055|3552|3553|3576|3586|3656|4317|4318|5142|5473|5743|6279|6280|6347|6374|6556|7056|7099|7133|7538|8140|10288|10804|79931|81793|114548|140885|199713,ADM|C5AR1|CAMP|CD14|CNR1|CSF2RB|FOS|HCK|IL1A|IL1B|CXCL8|IL10|IRAK2|MMP8|MMP9|PDE4B|PPBP|PTGS2|S100A8|S100A9|CCL2|CXCL5|SLC11A1|THBD|TLR4|TNFRSF1B|ZFP36|SLC7A5|LILRB2|GJB6|TNIP3|TLR10|NLRP3|SIRPA|NLRP7,-17,DEGs
GO Biological Processes,19,GO:0019221,cytokine-mediated signaling pathway,19_GO:0050896 response to stimulus,-19,7.1,14,30337,385,400,36,9,1.4,1230|1439|1441|2069|2180|2207|3055|3552|3553|3576|3577|3579|3586|3598|3624|3656|3718|5008|5473|6347|6354|6364|6374|6688|7133|7850|7852|8807|8809|9173|10288|10581|10603|11024|11027|353514,CCR1|CSF2RB|CSF3R|EREG|ACSL1|FCER1G|HCK|IL1A|IL1B|CXCL8|CXCR1|CXCR2|IL10|IL13RA2|INHBA|IRAK2|JAK3|OSM|PPBP|CCL2|CCL7|CCL20|CXCL5|SPI1|TNFRSF1B|IL1R2|CXCR4|IL18RAP|IL18R1|IL1RL1|LILRB2|IFITM2|SH2B2|LILRA1|LILRA2|LILRA5,-16,DEGs
GO Biological Processes,19,GO:0001819,positive regulation of cytokine production,19_GO:0032501 multicellular organismal process,-19,6,13,30337,505,400,40,10,1.5,101|719|728|929|943|2069|2207|2212|2219|2268|2865|2867|3162|3552|3553|3586|4050|4210|4317|5008|5142|5743|5788|6556|7099|8140|8809|9173|9308|10288|11027|23601|26253|51311|58484|64581|91662|114548|150372|353514,ADAM8|C3AR1|C5AR1|CD14|TNFRSF8|EREG|FCER1G|FCGR2A|FCN1|FGR|FFAR3|FFAR2|HMOX1|IL1A|IL1B|IL10|LTB|MEFV|MMP8|OSM|PDE4B|PTGS2|PTPRC|SLC11A1|TLR4|SLC7A5|IL18R1|IL1RL1|CD83|LILRB2|LILRA2|CLEC5A|CLEC4E|TLR8|NLRC4|CLEC7A|NLRP12|NLRP3|NFAM1|LILRA5,-16,DEGs
GO Biological Processes,19,GO:0032496,response to lipopolysaccharide,19_GO:0044419 biological process involved in interspecies interaction between organisms,-19,7.5,14,30337,333,400,33,8.2,1.4,133|820|929|1268|1439|2353|3055|3552|3553|3576|3586|3656|4317|4318|5142|5473|5743|6279|6280|6347|6374|6556|7056|7099|7133|7538|8140|10288|10804|79931|114548|140885|199713,ADM|CAMP|CD14|CNR1|CSF2RB|FOS|HCK|IL1A|IL1B|CXCL8|IL10|IRAK2|MMP8|MMP9|PDE4B|PPBP|PTGS2|S100A8|S100A9|CCL2|CXCL5|SLC11A1|THBD|TLR4|TNFRSF1B|ZFP36|SLC7A5|LILRB2|GJB6|TNIP3|NLRP3|SIRPA|NLRP7,-16,DEGs
GO Biological Processes,19,GO:0045321,leukocyte activation,19_GO:0002376 immune system process,-19,5.4,13,30337,604,400,43,11,1.5,399|728|820|944|2207|2529|3142|3383|3576|3579|3586|3684|3689|3718|3936|3937|5788|6283|6556|6688|7099|7454|7462|8291|8740|8807|8809|9021|9308|9437|11027|22918|26253|50856|54518|57580|57817|64581|79865|115350|150372|222487|338339,RHOH|C5AR1|CAMP|TNFSF8|FCER1G|FUT7|HLX|ICAM1|CXCL8|CXCR2|IL10|ITGAM|ITGB2|JAK3|LCP1|LCP2|PTPRC|S100A12|SLC11A1|SPI1|TLR4|WAS|LAT2|DYSF|TNFSF14|IL18RAP|IL18R1|SOCS3|CD83|NCR1|LILRA2|CD93|CLEC4E|CLEC4A|APBB1IP|PREX1|HAMP|CLEC7A|TREML2|FCRL1|NFAM1|ADGRG3|CLEC4D,-16,DEGs
GO Biological Processes,19,GO:0002694,regulation of leukocyte activation,19_GO:0002376 immune system process,-18,5.5,13,30337,581,400,42,10,1.5,101|383|399|944|1178|1268|1378|1960|2268|3142|3552|3553|3586|3624|3718|4317|4332|5788|5880|6347|6688|7099|7133|7940|8530|8740|8993|9173|9308|9473|10288|10326|11314|55824|57817|64092|64581|114548|114771|140885|150372|338339,ADAM8|ARG1|RHOH|TNFSF8|CLC|CNR1|CR1|EGR3|FGR|HLX|IL1A|IL1B|IL10|INHBA|JAK3|MMP8|MNDA|PTPRC|RAC2|CCL2|SPI1|TLR4|TNFRSF1B|LST1|CST7|TNFSF14|PGLYRP1|IL1RL1|CD83|THEMIS2|LILRB2|SIRPB1|CD300A|PAG1|HAMP|SAMSN1|CLEC7A|NLRP3|PGLYRP3|SIRPA|NFAM1|CLEC4D,-15,DEGs
GO Biological Processes,19,GO:0097529,myeloid leukocyte migration,19_GO:0002376 immune system process,-18,13,16,30337,137,400,23,5.8,1.2,728|1230|1441|2207|2321|3553|3576|3577|3579|3689|5142|5473|6279|6280|6283|6347|6354|6374|30817|54210|57126|57580|140885,C5AR1|CCR1|CSF3R|FCER1G|FLT1|IL1B|CXCL8|CXCR1|CXCR2|ITGB2|PDE4B|PPBP|S100A8|S100A9|S100A12|CCL2|CCL7|CXCL5|ADGRE2|TREM1|CD177|PREX1|SIRPA,-15,DEGs
GO Biological Processes,19,GO:0002757,immune response-activating signaling pathway,19_GO:0002376 immune system process,-18,7.6,14,30337,321,400,32,8,1.4,719|728|929|1378|2207|2219|2268|2357|2358|2867|3055|3656|3684|3937|4210|4332|5142|5788|7099|7462|9473|10603|11027|26253|51311|58484|64581|79931|81793|114548|150372|171389,C3AR1|C5AR1|CD14|CR1|FCER1G|FCN1|FGR|FPR1|FPR2|FFAR2|HCK|IRAK2|ITGAM|LCP2|MEFV|MNDA|PDE4B|PTPRC|TLR4|LAT2|THEMIS2|SH2B2|LILRA2|CLEC4E|TLR8|NLRC4|CLEC7A|TNIP3|TLR10|NLRP3|NFAM1|NLRP6,-15,DEGs
GO Biological Processes,19,GO:0071621,granulocyte chemotaxis,19_GO:0040011 locomotion,-18,18,17,30337,82,400,19,4.8,1.1,728|1441|2207|3553|3576|3577|3579|3689|5142|5473|6279|6280|6283|6347|6354|6374|30817|54210|57580,C5AR1|CSF3R|FCER1G|IL1B|CXCL8|CXCR1|CXCR2|ITGB2|PDE4B|PPBP|S100A8|S100A9|S100A12|CCL2|CCL7|CXCL5|ADGRE2|TREM1|PREX1,-15,DEGs
GO Biological Processes,19,GO:0097530,granulocyte migration,19_GO:0002376 immune system process,-18,16,17,30337,96,400,20,5,1.1,728|1441|2207|3553|3576|3577|3579|3689|5142|5473|6279|6280|6283|6347|6354|6374|30817|54210|57126|57580,C5AR1|CSF3R|FCER1G|IL1B|CXCL8|CXCR1|CXCR2|ITGB2|PDE4B|PPBP|S100A8|S100A9|S100A12|CCL2|CCL7|CXCL5|ADGRE2|TREM1|CD177|PREX1,-15,DEGs
GO Biological Processes,19,GO:0045087,innate immune response,19_GO:0044419 biological process involved in interspecies interaction between organisms,-18,4.7,12,30337,761,400,47,12,1.6,383|722|820|929|1378|2207|2219|2268|3055|3684|3718|3868|4210|5806|6279|6280|6283|6347|6556|7099|7454|8685|8993|9051|10581|11027|23569|23601|26253|50856|51311|54210|57126|58484|64581|81793|114548|114771|115727|140885|171389|200315|285852|338339|339122|353514|653361,ARG1|C4BPA|CAMP|CD14|CR1|FCER1G|FCN1|FGR|HCK|ITGAM|JAK3|KRT16|MEFV|PTX3|S100A8|S100A9|S100A12|CCL2|SLC11A1|TLR4|WAS|MARCO|PGLYRP1|PSTPIP1|IFITM2|LILRA2|PADI4|CLEC5A|CLEC4E|CLEC4A|TLR8|TREM1|CD177|NLRC4|CLEC7A|TLR10|NLRP3|PGLYRP3|RASGRP4|SIRPA|NLRP6|APOBEC3A|TREML4|CLEC4D|RAB43|LILRA5|NCF1,-15,DEGs
GO Biological Processes,19,GO:0002768,immune response-regulating cell surface receptor signaling pathway,19_GO:0002376 immune system process,-18,8,14,30337,283,400,30,7.5,1.3,719|728|929|1378|2207|2212|2215|2219|2268|2357|2358|2867|3055|3656|3684|3937|4332|5142|5788|7099|7462|9473|10288|10603|11027|26253|64581|79931|150372|338339,C3AR1|C5AR1|CD14|CR1|FCER1G|FCGR2A|FCGR3B|FCN1|FGR|FPR1|FPR2|FFAR2|HCK|IRAK2|ITGAM|LCP2|MNDA|PDE4B|PTPRC|TLR4|LAT2|THEMIS2|LILRB2|SH2B2|LILRA2|CLEC4E|CLEC7A|TNIP3|NFAM1|CLEC4D,-15,DEGs
Reactome Gene Sets,6,R-HSA-372790,Signaling by GPCR,,-17,4.8,12,30337,709,400,45,11,1.6,133|719|728|1230|1268|1839|1901|1903|2015|2357|2358|2828|2865|2867|3274|3576|3577|3579|3640|3678|4923|5138|5142|5473|5997|6347|6354|6364|6374|6753|7852|8477|8698|8843|10235|23533|30817|53829|53831|54331|57580|60675|64407|84658|134864,ADM|C3AR1|C5AR1|CCR1|CNR1|HBEGF|S1PR1|S1PR3|ADGRE1|FPR1|FPR2|GPR4|FFAR3|FFAR2|HRH2|CXCL8|CXCR1|CXCR2|INSL3|ITGA5|NTSR1|PDE2A|PDE4B|PPBP|RGS2|CCL2|CCL7|CCL20|CXCL5|SSTR3|CXCR4|GPR65|S1PR4|HCAR3|RASGRP2|PIK3R5|ADGRE2|P2RY13|GPR84|GNG2|PREX1|PROK2|RGS18|ADGRE3|TAAR1,-15,DEGs
GO Biological Processes,19,GO:0002703,regulation of leukocyte mediated immunity,19_GO:0002376 immune system process,-17,8.5,14,30337,251,400,28,7,1.3,383|722|1178|1378|2268|2529|3383|3553|3586|3598|3684|3689|3718|5788|5880|6688|7099|7133|7454|8807|8809|9437|11314|30817|57126|64581|114548|115727,ARG1|C4BPA|CLC|CR1|FGR|FUT7|ICAM1|IL1B|IL10|IL13RA2|ITGAM|ITGB2|JAK3|PTPRC|RAC2|SPI1|TLR4|TNFRSF1B|WAS|IL18RAP|IL18R1|NCR1|CD300A|ADGRE2|CD177|CLEC7A|NLRP3|RASGRP4,-14,DEGs
