Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
DisGeNET,35,C0042834,Vital capacity,,-6.8,3.9,6.8,30337,430,380,21,5.5,1.2,832|3090|3142|3200|3202|4053|9612|9902|10801|26053|54897|57418|57553|79058|90427|116988|134265|219699|256364|284207|101929378,CAPZB|HIC1|HLX|HOXA3|HOXA5|LTBP2|NCOR2|MRC2|SEPTIN9|AUTS2|CASZ1|WDR18|MICAL3|ASPSCR1|BMF|AGAP3|AFAP1L1|UNC5B|EML3|METRNL|LINC01876,-3.4,MyList
Cell Type Signatures,7,M39122,AIZARANI LIVER C21 STELLATE CELLS 1,,-6.7,5.8,7.5,30337,194,380,14,3.7,0.97,2022|2034|3315|4035|4774|4784|6586|6649|7078|7171|9314|23254|79652|119587,ENG|EPAS1|HSPB1|LRP1|NFIA|NFIX|SLIT3|SOD3|TIMP3|TPM4|KLF4|KAZN|TMEM204|CPXM2,-3.3,MyList
COVID,200,COVID057,Phosphoproteome_Bouhaddou_Vero_E6_12h_Down,,-6.5,4.5,6.9,30337,300,380,17,4.5,1.1,5395|7799|9612|10458|23051|23187|23327|23352|23499|26053|57186|57553|58513|79026|83879|89796|152877,PMS2|PRDM2|NCOR2|BAIAP2|ZHX3|PHLDB1|NEDD4L|UBR4|MACF1|AUTS2|RALGAPA2|MICAL3|EPS15L1|AHNAK|CDCA7|NAV1|FAM53A,-3.1,MyList
Transcription Factor Targets,16,M8280,NFAT Q4 01,,-6.5,4.8,7,30337,267,380,16,4.2,1,639|2672|3200|3339|3985|5998|8553|9536|11187|23327|26053|50619|51477|55182|55684|374655,PRDM1|GFI1|HOXA3|HSPG2|LIMK2|RGS3|BHLHE40|PTGES|PKP3|NEDD4L|AUTS2|DEF6|ISYNA1|RNF220|RABL6|ZNF710,-3.1,MyList
Transcription Factor Targets,16,M30159,SIX1 TARGET GENES,,-6.5,4,6.7,30337,376,380,19,5,1.1,218|1298|1305|1999|2052|2817|5581|5725|8519|10801|23136|50619|51422|55620|56937|64359|153090|285095|100130449,ALDH3A1|COL9A2|COL13A1|ELF3|EPHX1|GPC1|PRKCE|PTBP1|IFITM1|SEPTIN9|EPB41L3|DEF6|PRKAG2|STAP2|PMEPA1|NXN|DAB2IP|FAM240C|GPC1-AS1,-3.1,MyList
Cell Type Signatures,7,M39167,GAO LARGE INTESTINE ADULT CJ IMMUNE CELLS,,-6.3,3.5,6.3,30337,505,380,22,5.8,1.2,1003|1305|2022|3625|3801|4035|4053|5802|6196|7078|8642|9394|9828|9902|23180|51477|54345|57007|79652|85358|219654|101929378,CDH5|COL13A1|ENG|INHBB|KIFC3|LRP1|LTBP2|PTPRS|RPS6KA2|TIMP3|DCHS1|HS6ST1|ARHGEF17|MRC2|RFTN1|ISYNA1|SOX18|ACKR3|TMEM204|SHANK3|ZCCHC24|LINC01876,-3,MyList
COVID,200,COVID023,RNA_Keller_B-cells-Infected_CD21pos_Down,,-6.3,4.6,6.8,30337,278,380,16,4.2,1,3090|3315|3689|8553|9516|11033|22859|23654|54863|79890|84628|90427|201176|254102|284207|399693,HIC1|HSPB1|ITGB2|BHLHE40|LITAF|ADAP1|ADGRL1|PLXNB2|TOR4A|RIN3|NTNG2|BMF|ARHGAP27|EHBP1L1|METRNL|CCDC187,-3,MyList
DisGeNET,35,C0428883,Diastolic blood pressure,,-6.3,3.5,6.3,30337,507,380,22,5.8,1.2,1952|3200|4773|5493|5578|5581|5799|9612|9828|9902|23327|26053|26153|51422|54897|57553|63976|64359|80790|89796|254102|445815,CELSR2|HOXA3|NFATC2|PPL|PRKCA|PRKCE|PTPRN2|NCOR2|ARHGEF17|MRC2|NEDD4L|AUTS2|KIF26A|PRKAG2|CASZ1|MICAL3|PRDM16|NXN|CMIP|NAV1|EHBP1L1|PALM2AKAP2,-3,MyList
Cell Type Signatures,7,M41659,TRAVAGLINI LUNG ALVEOLAR EPITHELIAL TYPE 1 CELL,,-6.2,3.9,6.5,30337,391,380,19,5,1.1,1312|1523|2621|3315|3339|3983|5154|5209|5590|6382|7078|7171|23136|23327|51090|54453|57224|64359|79026,COMT|CUX1|GAS6|HSPB1|HSPG2|ABLIM1|PDGFA|PFKFB3|PRKCZ|SDC1|TIMP3|TPM4|EPB41L3|NEDD4L|PLLP|RIN2|NHSL1|NXN|AHNAK,-3,MyList
Transcription Factor Targets,16,M7691,CATTGTYY SOX9 B1,,-5.9,3.9,6.3,30337,368,380,18,4.7,1.1,639|3200|3339|4155|4330|5595|7171|7465|10801|26468|64359|65244|83879|89796|90427|146664|153090|374655,PRDM1|HOXA3|HSPG2|MBP|MN1|MAPK3|TPM4|WEE1|SEPTIN9|LHX6|NXN|SPATS2|CDCA7|NAV1|BMF|MGAT5B|DAB2IP|ZNF710,-2.7,MyList
Transcription Factor Targets,16,M30316,ZNF410 TARGET GENES,,-5.8,3.1,5.9,30337,623,380,24,6.3,1.2,2548|4784|5209|5581|5725|6533|6595|6886|7171|8224|8519|9612|9828|10043|10815|22904|26147|55182|57597|80790|90427|219654|221472|399693,GAA|NFIX|PFKFB3|PRKCE|PTBP1|SLC6A6|SMARCA2|TAL1|TPM4|SYN3|IFITM1|NCOR2|ARHGEF17|TOM1|CPLX1|SBNO2|PHF19|RNF220|BAHCC1|CMIP|BMF|ZCCHC24|FGD2|CCDC187,-2.7,MyList
Cell Type Signatures,7,M41694,TRAVAGLINI LUNG PLASMACYTOID DENDRITIC CELL,,-5.8,7.2,7.4,30337,111,380,10,2.6,0.82,1969|2621|5802|8140|56937|79805|90427|148641|201305|387882,EPHA2|GAS6|PTPRS|SLC7A5|PMEPA1|VASH2|BMF|SLC35F3|SPNS3|C12orf75,-2.7,MyList
COVID,200,COVID005,RNA_Appelberg_Huh-7_72h_Down,,-5.8,4.3,6.4,30337,300,380,16,4.2,1,1059|1855|3315|3801|3955|5493|6573|6650|9469|11332|23187|23396|54863|80305|89958|161882,CENPB|DVL1|HSPB1|KIFC3|LFNG|PPL|SLC19A1|CAPN15|CHST3|ACOT7|PHLDB1|PIP5K1C|TOR4A|TRABD|SAPCD2|ZFPM1,-2.7,MyList
COVID,200,COVID032,RNA_Liao_BALF-severe_Up,,-5.8,4.3,6.4,30337,300,380,16,4.2,1,639|1572|1999|2621|3665|3983|5154|5493|8140|8291|8519|11187|65249|84069|85379|445815,PRDM1|CYP2F1|ELF3|GAS6|IRF7|ABLIM1|PDGFA|PPL|SLC7A5|DYSF|IFITM1|PKP3|ZSWIM4|PLEKHN1|KIAA1671|PALM2AKAP2,-2.7,MyList
DisGeNET,35,C0678230,Congenital Epicanthus,,-5.8,3.6,6.1,30337,417,380,19,5,1.1,1312|1487|1855|3090|5048|5605|8642|9319|10801|10815|26053|54345|56262|63976|64359|65250|83879|84627|85358,COMT|CTBP1|DVL1|HIC1|PAFAH1B1|MAP2K2|DCHS1|TRIP13|SEPTIN9|CPLX1|AUTS2|SOX18|LRRC8A|PRDM16|NXN|CPLANE1|CDCA7|ZNF469|SHANK3,-2.7,MyList
Cell Type Signatures,7,M39114,AIZARANI LIVER C10 MVECS 1,,-5.7,4.5,6.4,30337,269,380,15,3.9,1,1003|2022|2034|2621|4774|6196|7078|7171|8291|8553|9314|10044|54345|79652|85358,CDH5|ENG|EPAS1|GAS6|NFIA|RPS6KA2|TIMP3|TPM4|DYSF|BHLHE40|KLF4|SH2D3C|SOX18|TMEM204|SHANK3,-2.6,MyList
Cell Type Signatures,7,M39175,MURARO PANCREAS MESENCHYMAL STROMAL CELL,,-5.7,2.9,5.7,30337,680,380,25,6.6,1.3,639|832|2034|3090|4053|4782|7078|7171|8519|8553|9516|9536|9828|9902|10160|23180|23187|56937|57584|79026|79652|84627|89796|219654|219699,PRDM1|CAPZB|EPAS1|HIC1|LTBP2|NFIC|TIMP3|TPM4|IFITM1|BHLHE40|LITAF|PTGES|ARHGEF17|MRC2|FARP1|RFTN1|PHLDB1|PMEPA1|ARHGAP21|AHNAK|TMEM204|ZNF469|NAV1|ZCCHC24|UNC5B,-2.6,MyList
Transcription Factor Targets,16,M30025,IGLV5 37 TARGET GENES,,-5.7,3,5.8,30337,636,380,24,6.3,1.2,1298|1305|1534|3955|4330|4772|5133|5581|5909|7161|9620|10815|23654|26102|26468|54729|57597|79026|83481|83879|85452|116988|153090|399693,COL9A2|COL13A1|CYB561|LFNG|MN1|NFATC1|PDCD1|PRKCE|RAP1GAP|TP73|CELSR1|CPLX1|PLXNB2|DKFZP434A062|LHX6|NKX1-1|BAHCC1|AHNAK|EPPK1|CDCA7|CFAP74|AGAP3|DAB2IP|CCDC187,-2.6,MyList
Transcription Factor Targets,16,M30246,ZFP3 TARGET GENES,,-5.5,3.8,6,30337,355,380,17,4.5,1.1,1305|1523|2049|2314|3090|5771|5802|6452|7171|9745|23526|51477|57224|80790|81873|116988|201191,COL13A1|CUX1|EPHB3|FLII|HIC1|PTPN2|PTPRS|SH3BP2|TPM4|ZNF536|ARHGAP45|ISYNA1|NHSL1|CMIP|ARPC5L|AGAP3|SAMD14,-2.5,MyList
Cell Type Signatures,7,M39131,AIZARANI LIVER C32 MVECS 3,,-5.4,6.4,6.8,30337,125,380,10,2.6,0.82,2022|2034|4774|6886|7078|8519|8553|9314|57007|219654,ENG|EPAS1|NFIA|TAL1|TIMP3|IFITM1|BHLHE40|KLF4|ACKR3|ZCCHC24,-2.3,MyList
DisGeNET,35,C0027832,Neurofibromatosis 2,,-5.3,6.3,6.7,30337,127,380,10,2.6,0.82,1788|2022|3985|4330|5293|5605|7078|23136|51411|85358,DNMT3A|ENG|LIMK2|MN1|PIK3CD|MAP2K2|TIMP3|EPB41L3|BIN2|SHANK3,-2.3,MyList
DisGeNET,35,C1302401,Adenoma of large intestine,,-5.3,3.4,5.7,30337,452,380,19,5,1.1,240|864|1434|2052|2956|3090|4035|5209|6573|6586|8519|9314|9536|9963|10801|64359|116988|143187|100996485,ALOX5|RUNX3|CSE1L|EPHX1|MSH6|HIC1|LRP1|PFKFB3|SLC19A1|SLIT3|IFITM1|KLF4|PTGES|SLC23A1|SEPTIN9|NXN|AGAP3|VTI1A|PITX1-AS1,-2.3,MyList
DisGeNET,35,C2973725,Pulmonary arterial hypertension,,-5.2,3.5,5.7,30337,413,380,18,4.7,1.1,2022|2034|3339|4035|4773|4784|5023|5209|5293|5395|5578|5595|5725|6649|9314|9469|11332|22904,ENG|EPAS1|HSPG2|LRP1|NFATC2|NFIX|P2RX1|PFKFB3|PIK3CD|PMS2|PRKCA|MAPK3|PTBP1|SOD3|KLF4|CHST3|ACOT7|SBNO2,-2.2,MyList
Cell Type Signatures,7,M41700,TRAVAGLINI LUNG OLR1 CLASSICAL MONOCYTE CELL,,-5.2,2.7,5.4,30337,726,380,25,6.6,1.3,1523|2022|2034|2107|3665|3985|5209|5771|6452|6533|7071|7171|8140|8291|9516|9612|10043|22904|23136|23352|29933|54453|56937|254102|284207,CUX1|ENG|EPAS1|ETF1|IRF7|LIMK2|PFKFB3|PTPN2|SH3BP2|SLC6A6|KLF10|TPM4|SLC7A5|DYSF|LITAF|NCOR2|TOM1|SBNO2|EPB41L3|UBR4|GPR132|RIN2|PMEPA1|EHBP1L1|METRNL,-2.2,MyList
Cell Type Signatures,7,M40010,BUSSLINGER GASTRIC ISTHMUS CELLS,,-5.2,3.3,5.6,30337,458,380,19,5,1.1,218|832|1999|3315|3955|3983|4782|5595|5725|6382|7171|8553|9314|11187|51090|57153|57584|57648|79026,ALDH3A1|CAPZB|ELF3|HSPB1|LFNG|ABLIM1|NFIC|MAPK3|PTBP1|SDC1|TPM4|BHLHE40|KLF4|PKP3|PLLP|SLC44A2|ARHGAP21|NHSL3|AHNAK,-2.2,MyList
DisGeNET,35,C0023508,White Blood Cell Count procedure,,-5.2,2.8,5.4,30337,681,380,24,6.3,1.2,240|864|1788|3142|3200|3559|4782|5293|5581|5605|6886|22821|22904|23030|26053|50619|54897|57553|57710|58513|80790|161882|201176|445815,ALOX5|RUNX3|DNMT3A|HLX|HOXA3|IL2RA|NFIC|PIK3CD|PRKCE|MAP2K2|TAL1|RASA3|SBNO2|KDM4B|AUTS2|DEF6|CASZ1|MICAL3|KIAA1614|EPS15L1|CMIP|ZFPM1|ARHGAP27|PALM2AKAP2,-2.2,MyList
Transcription Factor Targets,16,M30115,PCGF1 TARGET GENES,,-5.2,3.1,5.5,30337,546,380,21,5.5,1.2,1487|1759|2052|2548|4772|5909|6886|8553|9314|10458|23353|26147|51422|51477|54897|55620|57584|57585|57666|79026|84875,CTBP1|DNM1|EPHX1|GAA|NFATC1|RAP1GAP|TAL1|BHLHE40|KLF4|BAIAP2|SUN1|PHF19|PRKAG2|ISYNA1|CASZ1|STAP2|ARHGAP21|CRAMP1|FBRSL1|AHNAK|PARP10,-2.2,MyList
COVID,200,COVID022,RNA_Keller_B-cells-CD21pos_infection_Up,,-5.1,4.2,5.9,30337,269,380,14,3.7,0.97,379|2049|2621|3090|8291|11033|11156|23654|53637|55620|63976|116988|284207|339983,ARL4D|EPHB3|GAS6|HIC1|DYSF|ADAP1|PTP4A3|PLXNB2|S1PR5|STAP2|PRDM16|AGAP3|METRNL|NAT8L,-2.1,MyList
DisGeNET,35,C4551686,Malignant neoplasm of soft tissue,,-5,2.7,5.2,30337,699,380,24,6.3,1.2,1298|1523|2034|2314|2621|2956|3090|3315|4772|4773|5133|5154|5293|5395|5595|7171|7465|9314|9825|51477|57007|65998|79058|134265,COL9A2|CUX1|EPAS1|FLII|GAS6|MSH6|HIC1|HSPB1|NFATC1|NFATC2|PDCD1|PDGFA|PIK3CD|PMS2|MAPK3|TPM4|WEE1|KLF4|SPATA2|ISYNA1|ACKR3|ZFTA|ASPSCR1|AFAP1L1,-2.1,MyList
Cell Type Signatures,7,M39128,AIZARANI LIVER C29 MVECS 2,,-4.9,3.8,5.7,30337,313,380,15,3.9,1,1003|2022|2034|3315|3983|4772|4773|4774|7078|7171|9314|11078|57007|79026|80790,CDH5|ENG|EPAS1|HSPB1|ABLIM1|NFATC1|NFATC2|NFIA|TIMP3|TPM4|KLF4|TRIOBP|ACKR3|AHNAK|CMIP,-2,MyList
Cell Type Signatures,7,M41682,TRAVAGLINI LUNG CD8 NAIVE T CELL,,-4.8,5.5,6.2,30337,144,380,10,2.6,0.82,639|864|924|2672|3689|4155|8519|53637|81873|387882,PRDM1|RUNX3|CD7|GFI1|ITGB2|MBP|IFITM1|S1PR5|ARPC5L|C12orf75,-1.9,MyList
DisGeNET,35,C0525045,Mood Disorders,,-4.8,2.9,5.2,30337,580,380,21,5.5,1.2,115|886|1312|1434|5023|5048|5209|5293|5590|7434|10043|10458|22997|23051|23254|51084|57007|85358|114818|130497|342977,ADCY9|CCKAR|COMT|CSE1L|P2RX1|PAFAH1B1|PFKFB3|PIK3CD|PRKCZ|VIPR2|TOM1|BAIAP2|IGSF9B|ZHX3|KAZN|CRYL1|ACKR3|SHANK3|KLHL29|OSR1|NANOS3,-1.9,MyList
Cell Type Signatures,7,M39018,FAN EMBRYONIC CTX BIG GROUPS BRAIN ENDOTHELIAL,,-4.8,3.5,5.4,30337,365,380,16,4.2,1,1003|2022|2034|3983|5998|7078|7171|8140|8519|8553|9314|10044|51477|56937|79652|219699,CDH5|ENG|EPAS1|ABLIM1|RGS3|TIMP3|TPM4|SLC7A5|IFITM1|BHLHE40|KLF4|SH2D3C|ISYNA1|PMEPA1|TMEM204|UNC5B,-1.9,MyList
DisGeNET,35,C0027708,Nephroblastoma,,-4.7,2.9,5.1,30337,586,380,21,5.5,1.2,864|1788|1969|2314|2956|4298|5154|5293|5361|5395|5578|5595|6573|6886|7161|7799|9314|9319|11156|80790|130497,RUNX3|DNMT3A|EPHA2|FLII|MSH6|MLLT1|PDGFA|PIK3CD|PLXNA1|PMS2|PRKCA|MAPK3|SLC19A1|TAL1|TP73|PRDM2|KLF4|TRIP13|PTP4A3|CMIP|OSR1,-1.8,MyList
DisGeNET,35,C0017185,Gastrointestinal Neoplasms,,-4.7,4.8,5.8,30337,182,380,11,2.9,0.86,864|2314|2956|3090|5133|5293|5395|7161|9620|9825|11187,RUNX3|FLII|MSH6|HIC1|PDCD1|PIK3CD|PMS2|TP73|CELSR1|SPATA2|PKP3,-1.8,MyList
Transcription Factor Targets,16,M10112,RNGTGGGC UNKNOWN,,-4.6,2.5,4.9,30337,784,380,25,6.6,1.3,886|1003|1788|1952|2034|2049|2672|3142|3559|4035|4053|5209|5493|6586|7071|9828|10636|23136|25862|55684|56262|79026|81873|92922|150209,CCKAR|CDH5|DNMT3A|CELSR2|EPAS1|EPHB3|GFI1|HLX|IL2RA|LRP1|LTBP2|PFKFB3|PPL|SLIT3|KLF10|ARHGEF17|RGS14|EPB41L3|USP49|RABL6|LRRC8A|AHNAK|ARPC5L|CCDC102A|AIFM3,-1.8,MyList
DisGeNET,35,C0042373,Vascular Diseases,,-4.6,2.7,5,30337,688,380,23,6.1,1.2,115|240|575|1003|1788|1999|2022|2314|3315|3689|5023|5048|5293|5578|6886|7161|9314|10603|51477|54345|57007|153090|406984,ADCY9|ALOX5|ADGRB1|CDH5|DNMT3A|ELF3|ENG|FLII|HSPB1|ITGB2|P2RX1|PAFAH1B1|PIK3CD|PRKCA|TAL1|TP73|KLF4|SH2B2|ISYNA1|SOX18|ACKR3|DAB2IP|MIR200B,-1.8,MyList
Cell Type Signatures,7,M39224,LAKE ADULT KIDNEY C5 PROXIMAL TUBULE EPITHELIAL CELLS STRESS INFLAM,,-4.6,3.3,5.2,30337,417,380,17,4.5,1.1,1523|1759|3801|4782|4784|5581|6586|23051|51084|51422|54453|55182|79058|84875|85379|284422|100874185,CUX1|DNM1|KIFC3|NFIC|NFIX|PRKCE|SLIT3|ZHX3|CRYL1|PRKAG2|RIN2|RNF220|ASPSCR1|PARP10|KIAA1671|SMIM24|FRMD6-AS2,-1.8,MyList
DisGeNET,35,C0751214,"Hyperalgesia, Thermal",,-4.6,5.2,5.9,30337,154,380,10,2.6,0.82,240|1269|1312|1788|3689|5023|5581|5590|5595|9536,ALOX5|CNR2|COMT|DNMT3A|ITGB2|P2RX1|PRKCE|PRKCZ|MAPK3|PTGES,-1.8,MyList
Cell Type Signatures,7,M40013,BUSSLINGER GASTRIC MATURE PIT CELLS,,-4.5,4.3,5.5,30337,224,380,12,3.2,0.9,218|1999|3315|3983|5595|7171|9314|23654|57153|79026|219699|254102,ALDH3A1|ELF3|HSPB1|ABLIM1|MAPK3|TPM4|KLF4|PLXNB2|SLC44A2|AHNAK|UNC5B|EHBP1L1,-1.7,MyList
DisGeNET,35,C0685938,Malignant neoplasm of gastrointestinal tract,,-4.5,3.2,5.2,30337,423,380,17,4.5,1.1,240|864|1523|1969|2956|3090|3315|5133|5293|5395|5595|5605|6382|9314|11187|54897|153090,ALOX5|RUNX3|CUX1|EPHA2|MSH6|HIC1|HSPB1|PDCD1|PIK3CD|PMS2|MAPK3|MAP2K2|SDC1|KLF4|PKP3|CASZ1|DAB2IP,-1.7,MyList
DisGeNET,35,C0280803,Primary central nervous system lymphoma,,-4.5,5.1,5.8,30337,156,380,10,2.6,0.82,435|639|3689|4155|5133|5293|6196|6573|51477|201191,ASL|PRDM1|ITGB2|MBP|PDCD1|PIK3CD|RPS6KA2|SLC19A1|ISYNA1|SAMD14,-1.7,MyList
Cell Type Signatures,7,M40220,DESCARTES FETAL KIDNEY URETERIC BUD CELLS,,-4.5,3.7,5.3,30337,300,380,14,3.7,0.97,1999|5493|5753|6382|7022|10804|11187|54961|63976|84069|119587|406984|647024|100130449,ELF3|PPL|PTK6|SDC1|TFAP2C|GJB6|PKP3|SSH3|PRDM16|PLEKHN1|CPXM2|MIR200B|C6orf132|GPC1-AS1,-1.7,MyList
Cell Type Signatures,7,M39321,CUI DEVELOPING HEART VASCULAR ENDOTHELIAL CELL,,-4.5,4.6,5.6,30337,193,380,11,2.9,0.86,1953|2621|4053|4784|8553|9314|9902|79661|113146|119587|284207,MEGF6|GAS6|LTBP2|NFIX|BHLHE40|KLF4|MRC2|NEIL1|AHNAK2|CPXM2|METRNL,-1.7,MyList
DisGeNET,35,C1856765,Irregular dentition,,-4.4,40,11,30337,6,380,3,0.79,0.45,4784|8642|54453,NFIX|DCHS1|RIN2,-1.6,MyList
DisGeNET,35,C0024796,Marfan Syndrome,,-4.4,5.5,5.8,30337,130,380,9,2.4,0.78,240|1003|2395|4035|4053|5595|7078|9314|54897,ALOX5|CDH5|FXN|LRP1|LTBP2|MAPK3|TIMP3|KLF4|CASZ1,-1.6,MyList
DisGeNET,35,C0016529,Forced expiratory volume function,,-4.4,3.8,5.3,30337,272,380,13,3.4,0.93,3200|3202|3955|4330|9828|57553|79026|79058|84256|134265|256364|100996485|101929378,HOXA3|HOXA5|LFNG|MN1|ARHGEF17|MICAL3|AHNAK|ASPSCR1|FLYWCH1|AFAP1L1|EML3|PITX1-AS1|LINC01876,-1.6,MyList
Transcription Factor Targets,16,M5667,EGR2 01,,-4.4,4.4,5.5,30337,198,380,11,2.9,0.86,2049|3200|3216|5581|9314|9536|9902|23174|29933|79026|130497,EPHB3|HOXA3|HOXB6|PRKCE|KLF4|PTGES|MRC2|ZCCHC14|GPR132|AHNAK|OSR1,-1.6,MyList
