_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-5.8,M41694,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG PLASMACYTOID DENDRITIC CELL,,-5.8,7.2,7.4,30337,111,380,10,2.6,0.82,1969|2621|5802|8140|56937|79805|90427|148641|201305|387882,EPHA2|GAS6|PTPRS|SLC7A5|PMEPA1|VASH2|BMF|SLC35F3|SPNS3|C12orf75,-2.7,0
1,-5.7,M39114,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C10 MVECS 1,,-5.7,4.5,6.4,30337,269,380,15,3.9,1,1003|2022|2034|2621|4774|6196|7078|7171|8291|8553|9314|10044|54345|79652|85358,CDH5|ENG|EPAS1|GAS6|NFIA|RPS6KA2|TIMP3|TPM4|DYSF|BHLHE40|KLF4|SH2D3C|SOX18|TMEM204|SHANK3,-2.6,0
1,-5.7,M39175,M1,1,0,Cell Type Signatures,7,MURARO PANCREAS MESENCHYMAL STROMAL CELL,,-5.7,2.9,5.7,30337,680,380,25,6.6,1.3,639|832|2034|3090|4053|4782|7078|7171|8519|8553|9516|9536|9828|9902|10160|23180|23187|56937|57584|79026|79652|84627|89796|219654|219699,PRDM1|CAPZB|EPAS1|HIC1|LTBP2|NFIC|TIMP3|TPM4|IFITM1|BHLHE40|LITAF|PTGES|ARHGEF17|MRC2|FARP1|RFTN1|PHLDB1|PMEPA1|ARHGAP21|AHNAK|TMEM204|ZNF469|NAV1|ZCCHC24|UNC5B,-2.6,0
1,-5.4,M39131,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C32 MVECS 3,,-5.4,6.4,6.8,30337,125,380,10,2.6,0.82,2022|2034|4774|6886|7078|8519|8553|9314|57007|219654,ENG|EPAS1|NFIA|TAL1|TIMP3|IFITM1|BHLHE40|KLF4|ACKR3|ZCCHC24,-2.3,0
1,-5.2,M41700,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG OLR1 CLASSICAL MONOCYTE CELL,,-5.2,2.7,5.4,30337,726,380,25,6.6,1.3,1523|2022|2034|2107|3665|3985|5209|5771|6452|6533|7071|7171|8140|8291|9516|9612|10043|22904|23136|23352|29933|54453|56937|254102|284207,CUX1|ENG|EPAS1|ETF1|IRF7|LIMK2|PFKFB3|PTPN2|SH3BP2|SLC6A6|KLF10|TPM4|SLC7A5|DYSF|LITAF|NCOR2|TOM1|SBNO2|EPB41L3|UBR4|GPR132|RIN2|PMEPA1|EHBP1L1|METRNL,-2.2,0
1,-5.2,M40010,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC ISTHMUS CELLS,,-5.2,3.3,5.6,30337,458,380,19,5,1.1,218|832|1999|3315|3955|3983|4782|5595|5725|6382|7171|8553|9314|11187|51090|57153|57584|57648|79026,ALDH3A1|CAPZB|ELF3|HSPB1|LFNG|ABLIM1|NFIC|MAPK3|PTBP1|SDC1|TPM4|BHLHE40|KLF4|PKP3|PLLP|SLC44A2|ARHGAP21|NHSL3|AHNAK,-2.2,0
1,-4.9,M39128,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C29 MVECS 2,,-4.9,3.8,5.7,30337,313,380,15,3.9,1,1003|2022|2034|3315|3983|4772|4773|4774|7078|7171|9314|11078|57007|79026|80790,CDH5|ENG|EPAS1|HSPB1|ABLIM1|NFATC1|NFATC2|NFIA|TIMP3|TPM4|KLF4|TRIOBP|ACKR3|AHNAK|CMIP,-2,0
1,-4.8,M41682,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG CD8 NAIVE T CELL,,-4.8,5.5,6.2,30337,144,380,10,2.6,0.82,639|864|924|2672|3689|4155|8519|53637|81873|387882,PRDM1|RUNX3|CD7|GFI1|ITGB2|MBP|IFITM1|S1PR5|ARPC5L|C12orf75,-1.9,0
1,-4.8,M39018,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX BIG GROUPS BRAIN ENDOTHELIAL,,-4.8,3.5,5.4,30337,365,380,16,4.2,1,1003|2022|2034|3983|5998|7078|7171|8140|8519|8553|9314|10044|51477|56937|79652|219699,CDH5|ENG|EPAS1|ABLIM1|RGS3|TIMP3|TPM4|SLC7A5|IFITM1|BHLHE40|KLF4|SH2D3C|ISYNA1|PMEPA1|TMEM204|UNC5B,-1.9,0
1,-4.6,M39224,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C5 PROXIMAL TUBULE EPITHELIAL CELLS STRESS INFLAM,,-4.6,3.3,5.2,30337,417,380,17,4.5,1.1,1523|1759|3801|4782|4784|5581|6586|23051|51084|51422|54453|55182|79058|84875|85379|284422|100874185,CUX1|DNM1|KIFC3|NFIC|NFIX|PRKCE|SLIT3|ZHX3|CRYL1|PRKAG2|RIN2|RNF220|ASPSCR1|PARP10|KIAA1671|SMIM24|FRMD6-AS2,-1.8,0
1,-4.5,M40013,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC MATURE PIT CELLS,,-4.5,4.3,5.5,30337,224,380,12,3.2,0.9,218|1999|3315|3983|5595|7171|9314|23654|57153|79026|219699|254102,ALDH3A1|ELF3|HSPB1|ABLIM1|MAPK3|TPM4|KLF4|PLXNB2|SLC44A2|AHNAK|UNC5B|EHBP1L1,-1.7,0
1,-4.5,M40220,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL KIDNEY URETERIC BUD CELLS,,-4.5,3.7,5.3,30337,300,380,14,3.7,0.97,1999|5493|5753|6382|7022|10804|11187|54961|63976|84069|119587|406984|647024|100130449,ELF3|PPL|PTK6|SDC1|TFAP2C|GJB6|PKP3|SSH3|PRDM16|PLEKHN1|CPXM2|MIR200B|C6orf132|GPC1-AS1,-1.7,0
1,-4.5,M39321,M1,1,0,Cell Type Signatures,7,CUI DEVELOPING HEART VASCULAR ENDOTHELIAL CELL,,-4.5,4.6,5.6,30337,193,380,11,2.9,0.86,1953|2621|4053|4784|8553|9314|9902|79661|113146|119587|284207,MEGF6|GAS6|LTBP2|NFIX|BHLHE40|KLF4|MRC2|NEIL1|AHNAK2|CPXM2|METRNL,-1.7,0
1,-4.3,M41686,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG NATURAL KILLER CELL,,-4.3,5.4,5.8,30337,132,380,9,2.4,0.78,639|864|924|3689|8519|9516|51411|53637|387882,PRDM1|RUNX3|CD7|ITGB2|IFITM1|LITAF|BIN2|S1PR5|C12orf75,-1.6,0
1,-4.3,M39051,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HMGL,,-4.3,2.8,4.8,30337,577,380,20,5.3,1.1,240|639|832|864|2621|3315|3689|4155|4772|4773|5578|6886|9516|23526|51411|54453|54863|147138|221472|387882,ALOX5|PRDM1|CAPZB|RUNX3|GAS6|HSPB1|ITGB2|MBP|NFATC1|NFATC2|PRKCA|TAL1|LITAF|ARHGAP45|BIN2|RIN2|TOR4A|TMC8|FGD2|C12orf75,-1.6,0
1,-4.3,M39236,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C17 COLLECTING SYSTEM PCS STRESSED DISSOC SUBSET,,-4.3,4,5.2,30337,240,380,12,3.2,0.9,1999|3983|5209|5578|5581|6595|7078|7171|23327|51422|79026|114781,ELF3|ABLIM1|PFKFB3|PRKCA|PRKCE|SMARCA2|TIMP3|TPM4|NEDD4L|PRKAG2|AHNAK|BTBD9,-1.5,0
1,-4.2,M39017,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX BIG GROUPS CAJAL RETZIUS,,-4.2,2.9,4.8,30337,499,380,18,4.7,1.1,1534|2621|3983|4062|5493|5799|7161|10458|11332|22883|51422|54897|58504|64506|79026|83481|83648|100874531,CYB561|GAS6|ABLIM1|LY6H|PPL|PTPRN2|TP73|BAIAP2|ACOT7|CLSTN1|PRKAG2|CASZ1|ARHGAP22|CPEB1|AHNAK|EPPK1|FAM167A|LINC00581,-1.5,0
1,-4.1,M39050,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HPERIC,,-4.1,2.4,4.5,30337,795,380,24,6.3,1.2,864|1969|2034|2052|2621|2817|3090|3315|4035|5293|7171|8519|9828|9902|10044|10160|23180|23498|26119|51477|56937|219699|254102|256364,RUNX3|EPHA2|EPAS1|EPHX1|GAS6|GPC1|HIC1|HSPB1|LRP1|PIK3CD|TPM4|IFITM1|ARHGEF17|MRC2|SH2D3C|FARP1|RFTN1|HAAO|LDLRAP1|ISYNA1|PMEPA1|UNC5B|EHBP1L1|EML3,-1.5,0
1,-4.1,M39204,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW NK CELLS,,-4.1,3.2,4.9,30337,370,380,15,3.9,1,864|924|3689|4155|4773|7434|8519|9516|26053|51411|53637|57153|81873|92922|494470,RUNX3|CD7|ITGB2|MBP|NFATC2|VIPR2|IFITM1|LITAF|AUTS2|BIN2|S1PR5|SLC44A2|ARPC5L|CCDC102A|ARK2C,-1.5,0
1,-4.1,M39055,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HRGL2A,,-4.1,2.7,4.6,30337,600,380,20,5.3,1.1,1312|1572|2817|3315|3625|3955|4035|4774|4784|5578|7078|9469|9516|9620|9902|26960|79026|119587|147179|387882,COMT|CYP2F1|GPC1|HSPB1|INHBB|LFNG|LRP1|NFIA|NFIX|PRKCA|TIMP3|CHST3|LITAF|CELSR1|MRC2|NBEA|AHNAK|CPXM2|WIPF2|C12orf75,-1.4,0
1,-3.9,M39209,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW STROMAL,,-3.9,2.4,4.4,30337,765,380,23,6.1,1.2,1003|2034|2052|2621|3339|3625|4053|5998|6586|6649|7078|9469|9828|9902|10160|56937|57007|119587|219654|219699|399474|100874185|107985343,CDH5|EPAS1|EPHX1|GAS6|HSPG2|INHBB|LTBP2|RGS3|SLIT3|SOD3|TIMP3|CHST3|ARHGEF17|MRC2|FARP1|PMEPA1|ACKR3|CPXM2|ZCCHC24|UNC5B|TMEM200B|FRMD6-AS2|LINC01836,-1.3,0
1,-3.9,M39113,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C9 LSECS 1,,-3.9,3.4,4.8,30337,304,380,13,3.4,0.93,1003|2022|2034|3090|6886|7078|7171|8553|10458|11078|23499|57007|85358,CDH5|ENG|EPAS1|HIC1|TAL1|TIMP3|TPM4|BHLHE40|BAIAP2|TRIOBP|MACF1|ACKR3|SHANK3,-1.3,0
1,-3.8,M39108,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C4 EPCAM POS BILE DUCT CELLS 1,,-3.8,4.2,5,30337,191,380,10,2.6,0.82,1999|4782|5909|6382|6649|7071|7465|23327|56937|57648,ELF3|NFIC|RAP1GAP|SDC1|SOD3|KLF10|WEE1|NEDD4L|PMEPA1|NHSL3,-1.3,0
1,-3.8,M39105,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C1 NK NKT CELLS 1,,-3.8,4.6,5.1,30337,157,380,9,2.4,0.78,639|864|924|3689|4155|8519|23526|51411|147138,PRDM1|RUNX3|CD7|ITGB2|MBP|IFITM1|ARHGAP45|BIN2|TMC8,-1.2,0
1,-3.7,M39109,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C5 NK NKT CELLS 3,,-3.7,5.1,5.2,30337,126,380,8,2.1,0.74,639|864|924|3689|8519|51411|53637|81873,PRDM1|RUNX3|CD7|ITGB2|IFITM1|BIN2|S1PR5|ARPC5L,-1.2,0
1,-3.7,M39166,M1,1,0,Cell Type Signatures,7,GAO LARGE INTESTINE ADULT CI MESENCHYMAL CELLS,,-3.7,3.1,4.5,30337,361,380,14,3.7,0.97,240|639|864|924|3689|4772|5023|5802|8140|22821|90427|92922|147138|221472,ALOX5|PRDM1|RUNX3|CD7|ITGB2|NFATC1|P2RX1|PTPRS|SLC7A5|RASA3|BMF|CCDC102A|TMC8|FGD2,-1.2,0
1,-3.6,M39037,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX OLIG,,-3.6,2.3,4.2,30337,754,380,22,5.8,1.2,2621|3632|4155|5998|6196|7799|9524|9612|9715|9745|9825|11033|22821|23136|23187|26119|51090|53637|55182|58504|219699|389337,GAS6|INPP5A|MBP|RGS3|RPS6KA2|PRDM2|TECR|NCOR2|FAM131B|ZNF536|SPATA2|ADAP1|RASA3|EPB41L3|PHLDB1|LDLRAP1|PLLP|S1PR5|RNF220|ARHGAP22|UNC5B|ARHGEF37,-1.2,0
1,-3.6,M40012,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC IMMATURE PIT CELLS,,-3.6,4.4,4.9,30337,165,380,9,2.4,0.78,218|3315|3983|5595|7171|9314|23654|57153|79026,ALDH3A1|HSPB1|ABLIM1|MAPK3|TPM4|KLF4|PLXNB2|SLC44A2|AHNAK,-1.2,0
1,-3.6,M39117,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C13 LSECS 2,,-3.6,3.4,4.5,30337,283,380,12,3.2,0.9,1003|2022|2034|7078|7171|9314|10044|10458|11078|79652|85358|219654,CDH5|ENG|EPAS1|TIMP3|TPM4|KLF4|SH2D3C|BAIAP2|TRIOBP|TMEM204|SHANK3|ZCCHC24,-1.2,0
1,-3.6,M39053,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HRGL2C,,-3.6,3.2,4.5,30337,326,380,13,3.4,0.93,575|3955|4035|4773|4774|4784|5578|9469|9516|9902|22997|51090|89796,ADGRB1|LFNG|LRP1|NFATC2|NFIA|NFIX|PRKCA|CHST3|LITAF|MRC2|IGSF9B|PLLP|NAV1,-1.2,0
1,-3.6,M40175,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL EYE CORNEAL AND CONJUNCTIVAL EPITHELIAL CELLS,,-3.6,3.6,4.6,30337,243,380,11,2.9,0.86,1534|1572|1999|6382|9516|9825|55620|57648|374569|647024|100130449,CYB561|CYP2F1|ELF3|SDC1|LITAF|SPATA2|STAP2|NHSL3|ASPG|C6orf132|GPC1-AS1,-1.2,0
1,-3.4,M39121,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C20 LSECS 3,,-3.4,3.2,4.4,30337,295,380,12,3.2,0.9,1003|2022|2034|3090|6886|7078|8553|22904|23499|57007|85358|89796,CDH5|ENG|EPAS1|HIC1|TAL1|TIMP3|BHLHE40|SBNO2|MACF1|ACKR3|SHANK3|NAV1,-1.1,0
1,-3.4,M39284,M1,1,0,Cell Type Signatures,7,DURANTE ADULT OLFACTORY NEUROEPITHELIUM RESPIRATORY COLUMNAR CELLS,,-3.4,11,6.2,30337,28,380,4,1.1,0.52,218|1999|2034|3315,ALDH3A1|ELF3|EPAS1|HSPB1,-1.1,0
1,-3.3,M41701,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG NONCLASSICAL MONOCYTE CELL,,-3.3,4,4.5,30337,180,380,9,2.4,0.78,1523|3955|6452|9314|10044|23654|26147|221472|254102,CUX1|LFNG|SH3BP2|KLF4|SH2D3C|PLXNB2|PHF19|FGD2|EHBP1L1,-1,0
1,-3.3,M39054,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HRGL2B,,-3.3,2.7,4.1,30337,440,380,15,3.9,1,2817|3315|3625|3955|4035|4773|4774|4784|7078|9469|9516|9902|22997|55684|79026,GPC1|HSPB1|INHBB|LFNG|LRP1|NFATC2|NFIA|NFIX|TIMP3|CHST3|LITAF|MRC2|IGSF9B|RABL6|AHNAK,-1,0
1,-3.2,M39094,M1,1,0,Cell Type Signatures,7,ZHONG PFC C7 SST LHX6 POS PUTATIVE MIGRATING INTERNEURON,,-3.2,17,6.8,30337,14,380,3,0.79,0.45,379|26468|57007,ARL4D|LHX6|ACKR3,-0.94,0
1,-3.1,M39306,M1,1,0,Cell Type Signatures,7,CUI DEVELOPING HEART C9 B T CELL,,-3.1,4.1,4.4,30337,155,380,8,2.1,0.74,864|924|3689|8519|9516|23526|51411|147138,RUNX3|CD7|ITGB2|IFITM1|LITAF|ARHGAP45|BIN2|TMC8,-0.89,0
1,-3.1,M39052,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HOPC,,-3.1,2.8,4,30337,366,380,13,3.4,0.93,575|3625|4035|4784|5578|22997|51084|51090|64506|79661|89958|202333|219654,ADGRB1|INHBB|LRP1|NFIX|PRKCA|IGSF9B|CRYL1|PLLP|CPEB1|NEIL1|SAPCD2|CMYA5|ZCCHC24,-0.89,0
1,-3.1,M39200,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW IMMATURE NEUTROPHIL,,-3.1,3.7,4.3,30337,194,380,9,2.4,0.78,5209|6452|6533|7071|8553|23136|51422|201176|284207,PFKFB3|SH3BP2|SLC6A6|KLF10|BHLHE40|EPB41L3|PRKAG2|ARHGAP27|METRNL,-0.89,0
1,-3.1,M39194,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW DENDRITIC CELL,,-3.1,3.7,4.2,30337,196,380,9,2.4,0.78,1312|1969|3665|5802|8140|79805|148641|201305|387882,COMT|EPHA2|IRF7|PTPRS|SLC7A5|VASH2|SLC35F3|SPNS3|C12orf75,-0.87,0
1,-3,M41672,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG VASCULAR SMOOTH MUSCLE CELL,,-3,6.5,4.9,30337,61,380,5,1.3,0.58,2034|5154|6649|7171|51477,EPAS1|PDGFA|SOD3|TPM4|ISYNA1,-0.82,0
1,-3,M39132,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C33 STELLATE CELLS 2,,-3,4.4,4.4,30337,126,380,7,1.8,0.69,2034|4774|6649|7078|7171|9828|51477,EPAS1|NFIA|SOD3|TIMP3|TPM4|ARHGEF17|ISYNA1,-0.8,0
1,-3,M41652,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG PROXIMAL BASAL CELL,,-3,2.3,3.7,30337,629,380,18,4.7,1.1,218|379|2034|2052|4774|4782|5802|6382|8553|9524|11187|22883|26119|51477|79026|79778|80305|254295,ALDH3A1|ARL4D|EPAS1|EPHX1|NFIA|NFIC|PTPRS|SDC1|BHLHE40|TECR|PKP3|CLSTN1|LDLRAP1|ISYNA1|AHNAK|MICALL2|TRABD|PHYHD1,-0.8,0
1,-2.9,M40237,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL LUNG SQUAMOUS EPITHELIAL CELLS,,-2.9,3.5,4,30337,206,380,9,2.4,0.78,5493|5753|9536|54961|84069|113146|284207|647024|729648,PPL|PTK6|PTGES|SSH3|PLEKHN1|AHNAK2|METRNL|C6orf132|ZNF812P,-0.77,0
1,-2.9,M40157,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL CEREBELLUM MICROGLIA,,-2.9,2.2,3.6,30337,642,380,18,4.7,1.1,240|832|2548|3689|4772|4773|5023|5293|6886|29933|50619|51411|79890|147138|170691|201305|221472|374655,ALOX5|CAPZB|GAA|ITGB2|NFATC1|NFATC2|P2RX1|PIK3CD|TAL1|GPR132|DEF6|BIN2|RIN3|TMC8|ADAMTS17|SPNS3|FGD2|ZNF710,-0.73,0
1,-2.8,M39040,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX BRAIN ENDOTHELIAL 2,,-2.8,2.9,3.7,30337,303,380,11,2.9,0.86,2034|7078|7171|8519|9828|10044|10160|23180|51477|79652|219699,EPAS1|TIMP3|TPM4|IFITM1|ARHGEF17|SH2D3C|FARP1|RFTN1|ISYNA1|TMEM204|UNC5B,-0.7,0
1,-2.8,M40029,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL MATURE ENTEROCYTES,,-2.8,3.1,3.8,30337,259,380,10,2.6,0.82,3315|4035|5595|6573|9314|23654|79026|79778|201176|284422,HSPB1|LRP1|MAPK3|SLC19A1|KLF4|PLXNB2|AHNAK|MICALL2|ARHGAP27|SMIM24,-0.69,0
1,-2.8,M39203,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW NEUTROPHIL,,-2.8,2.5,3.6,30337,449,380,14,3.7,0.97,240|2548|3142|4035|8291|9314|10043|11033|11078|23352|54453|79026|80790|254102,ALOX5|GAA|HLX|LRP1|DYSF|KLF4|TOM1|ADAP1|TRIOBP|UBR4|RIN2|AHNAK|CMIP|EHBP1L1,-0.69,0
1,-2.8,M39241,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C22 ENDOTHELIAL CELLS GLOMERULAR CAPILLARIES,,-2.8,4.1,4.1,30337,137,380,7,1.8,0.69,2034|4774|5578|5581|7078|23499|85358,EPAS1|NFIA|PRKCA|PRKCE|TIMP3|MACF1|SHANK3,-0.69,0
1,-2.8,M41743,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE ENDOTHELIAL CELLS,,-2.8,4.1,4.1,30337,137,380,7,1.8,0.69,1003|2022|2034|3315|3339|7078|79026,CDH5|ENG|EPAS1|HSPB1|HSPG2|TIMP3|AHNAK,-0.69,0
1,-2.7,M40283,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL PLACENTA VASCULAR ENDOTHELIAL CELLS,,-2.7,4.7,4.2,30337,102,380,6,1.6,0.64,1003|22997|26468|54345|57186|85358,CDH5|IGSF9B|LHX6|SOX18|RALGAPA2|SHANK3,-0.68,0
