Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0050807,regulation of synapse organization,19_GO:0050789 regulation of biological process,-6.4,6.5,7.6,30337,252,221,12,5.4,1.5,575|1855|2049|5048|5802|10160|10458|22883|57622|58504|85358|153090,ADGRB1|DVL1|EPHB3|PAFAH1B1|PTPRS|FARP1|BAIAP2|CLSTN1|LRFN1|ARHGAP22|SHANK3|DAB2IP,-4
MyList,Canonical Pathways,11,M272,PID CD8 TCR DOWNSTREAM PATHWAY,,-6.3,15,9.5,30337,65,221,7,3.2,1.2,3559|4772|4773|5578|5581|5595|5605,IL2RA|NFATC1|NFATC2|PRKCA|PRKCE|MAPK3|MAP2K2,-4
MyList,GO Biological Processes,19,GO:0050803,regulation of synapse structure or activity,19_GO:0065007 biological regulation,-6.3,6.4,7.4,30337,258,221,12,5.4,1.5,575|1855|2049|5048|5802|10160|10458|22883|57622|58504|85358|153090,ADGRB1|DVL1|EPHB3|PAFAH1B1|PTPRS|FARP1|BAIAP2|CLSTN1|LRFN1|ARHGAP22|SHANK3|DAB2IP,-4
MyList,Reactome Gene Sets,6,R-HSA-422475,Axon guidance,,-6.2,4.3,6.6,30337,548,221,17,7.7,1.8,1298|1759|1969|2049|2817|3983|3985|5293|5361|5578|5595|5605|6196|6586|23396|116986|219699,COL9A2|DNM1|EPHA2|EPHB3|GPC1|ABLIM1|LIMK2|PIK3CD|PLXNA1|PRKCA|MAPK3|MAP2K2|RPS6KA2|SLIT3|PIP5K1C|AGAP2|UNC5B,-3.9
MyList,GO Biological Processes,19,GO:0030036,actin cytoskeleton organization,19_GO:0009987 cellular process,-6.1,4.2,6.6,30337,552,221,17,7.7,1.8,832|2314|3985|5048|5154|7171|9828|9922|10160|10458|11078|23136|23396|26053|54961|81873|116986,CAPZB|FLII|LIMK2|PAFAH1B1|PDGFA|TPM4|ARHGEF17|IQSEC1|FARP1|BAIAP2|TRIOBP|EPB41L3|PIP5K1C|AUTS2|SSH3|ARPC5L|AGAP2,-3.8
MyList,GO Biological Processes,19,GO:0030029,actin filament-based process,19_GO:0009987 cellular process,-6.1,4,6.4,30337,621,221,18,8.1,1.8,832|2314|3985|5048|5154|7171|9828|9922|10160|10458|11078|23136|23327|23396|26053|54961|81873|116986,CAPZB|FLII|LIMK2|PAFAH1B1|PDGFA|TPM4|ARHGEF17|IQSEC1|FARP1|BAIAP2|TRIOBP|EPB41L3|NEDD4L|PIP5K1C|AUTS2|SSH3|ARPC5L|AGAP2,-3.8
MyList,GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-6.1,3.8,6.3,30337,688,221,19,8.6,1.9,639|1855|1969|2022|2034|2049|3202|3339|4035|5154|5578|6886|8642|9394|23654|57007|58504|153090|219699,PRDM1|DVL1|EPHA2|ENG|EPAS1|EPHB3|HOXA5|HSPG2|LRP1|PDGFA|PRKCA|TAL1|DCHS1|HS6ST1|PLXNB2|ACKR3|ARHGAP22|DAB2IP|UNC5B,-3.8
MyList,GO Biological Processes,19,GO:0048514,blood vessel morphogenesis,19_GO:0032502 developmental process,-6.1,4.7,6.7,30337,437,221,15,6.8,1.7,639|1969|2022|2034|2049|3339|4035|5154|5578|6886|9394|57007|58504|153090|219699,PRDM1|EPHA2|ENG|EPAS1|EPHB3|HSPG2|LRP1|PDGFA|PRKCA|TAL1|HS6ST1|ACKR3|ARHGAP22|DAB2IP|UNC5B,-3.8
MyList,GO Biological Processes,19,GO:0031175,neuron projection development,19_GO:0032502 developmental process,-6,3.8,6.3,30337,694,221,19,8.6,1.9,575|886|1855|2049|5048|5361|5590|6586|7465|9922|10160|10458|11078|23136|26053|85358|153090|219699|494470,ADGRB1|CCKAR|DVL1|EPHB3|PAFAH1B1|PLXNA1|PRKCZ|SLIT3|WEE1|IQSEC1|FARP1|BAIAP2|TRIOBP|EPB41L3|AUTS2|SHANK3|DAB2IP|UNC5B|ARK2C,-3.8
MyList,GO Biological Processes,19,GO:0090066,regulation of anatomical structure size,19_GO:0065007 biological regulation,-6,4.4,6.5,30337,501,221,16,7.2,1.7,832|1759|2314|5023|5048|5581|5802|10458|11078|23369|23499|54961|56262|79890|81873|85358,CAPZB|DNM1|FLII|P2RX1|PAFAH1B1|PRKCE|PTPRS|BAIAP2|TRIOBP|PUM2|MACF1|SSH3|LRRC8A|RIN3|ARPC5L|SHANK3,-3.7
MyList,GO Biological Processes,19,GO:1905475,regulation of protein localization to membrane,19_GO:0051179 localization,-6,7.5,7.5,30337,184,221,10,4.5,1.4,1969|2817|3689|4035|5581|5590|10160|10815|26119|342667,EPHA2|GPC1|ITGB2|LRP1|PRKCE|PRKCZ|FARP1|CPLX1|LDLRAP1|STAC2,-3.7
MyList,Reactome Gene Sets,6,R-HSA-372790,Signaling by GPCR,,-5.9,3.7,6.2,30337,709,221,19,8.6,1.9,115|886|1269|2779|2862|5578|5581|5595|5998|6196|7434|9828|10636|26960|29933|51764|53637|57007|389337,ADCY9|CCKAR|CNR2|GNAT1|MLNR|PRKCA|PRKCE|MAPK3|RGS3|RPS6KA2|VIPR2|ARHGEF17|RGS14|NBEA|GPR132|GNG13|S1PR5|ACKR3|ARHGEF37,-3.7
MyList,GO Biological Processes,19,GO:0051960,regulation of nervous system development,19_GO:0032502 developmental process,-5.8,4.5,6.4,30337,459,221,15,6.8,1.7,575|2049|5048|5361|5605|5802|7161|8140|8553|10458|10636|22883|23499|23654|85358,ADGRB1|EPHB3|PAFAH1B1|PLXNA1|MAP2K2|PTPRS|TP73|SLC7A5|BHLHE40|BAIAP2|RGS14|CLSTN1|MACF1|PLXNB2|SHANK3,-3.6
MyList,GO Biological Processes,19,GO:0001525,angiogenesis,19_GO:0032502 developmental process,-5.8,5.2,6.7,30337,344,221,13,5.9,1.6,1969|2022|2034|2049|3339|5154|5578|6886|9394|57007|58504|153090|219699,EPHA2|ENG|EPAS1|EPHB3|HSPG2|PDGFA|PRKCA|TAL1|HS6ST1|ACKR3|ARHGAP22|DAB2IP|UNC5B,-3.6
MyList,WikiPathways,27,WP4747,Netrin UNC5B signaling,,-5.7,16,9.2,30337,52,221,6,2.7,1.1,1003|5578|5595|5605|116986|219699,CDH5|PRKCA|MAPK3|MAP2K2|AGAP2|UNC5B,-3.5
MyList,GO Biological Processes,19,GO:0010632,regulation of epithelial cell migration,19_GO:0040011 locomotion,-5.6,5.5,6.7,30337,299,221,12,5.4,1.5,575|1969|3315|5293|5578|5581|9314|9922|23499|54453|83481|153090,ADGRB1|EPHA2|HSPB1|PIK3CD|PRKCA|PRKCE|KLF4|IQSEC1|MACF1|RIN2|EPPK1|DAB2IP,-3.5
MyList,KEGG Pathway,24,hsa04148,Efferocytosis,,-5.6,7.9,7.4,30337,156,221,9,4.1,1.3,240|575|1788|4035|4772|4773|5595|5605|29933,ALOX5|ADGRB1|DNMT3A|LRP1|NFATC1|NFATC2|MAPK3|MAP2K2|GPR132,-3.5
MyList,Canonical Pathways,11,M113,PID NFAT 3PATHWAY,,-5.6,16,9.1,30337,53,221,6,2.7,1.1,4772|4773|5578|5581|5590|5595,NFATC1|NFATC2|PRKCA|PRKCE|PRKCZ|MAPK3,-3.4
MyList,WikiPathways,27,WP437,EGF EGFR signaling,,-5.6,7.8,7.3,30337,159,221,9,4.1,1.3,1759|3985|5578|5590|5605|5753|6196|9922|58513,DNM1|LIMK2|PRKCA|PRKCZ|MAP2K2|PTK6|RPS6KA2|IQSEC1|EPS15L1,-3.4
MyList,CORUM,33,CORUM:6802,VEGFR2-S1PR5-ERK1/2-PKC-alpha complex,,-5.4,82,16,30337,5,221,3,1.4,0.78,5578|5595|53637,PRKCA|MAPK3|S1PR5,-3.3
MyList,KEGG Pathway,24,hsa04015,Rap1 signaling pathway,,-5.4,6.5,6.9,30337,212,221,10,4.5,1.4,115|1969|3689|5154|5293|5578|5590|5595|5605|10636,ADCY9|EPHA2|ITGB2|PDGFA|PIK3CD|PRKCA|PRKCZ|MAPK3|MAP2K2|RGS14,-3.3
MyList,Reactome Gene Sets,6,R-HSA-194315,Signaling by Rho GTPases,,-5.3,3.5,5.8,30337,706,221,18,8.1,1.8,832|1855|1969|3985|5048|5361|5578|5590|5595|7171|9828|10160|10458|23526|50619|58504|147179|399693,CAPZB|DVL1|EPHA2|LIMK2|PAFAH1B1|PLXNA1|PRKCA|PRKCZ|MAPK3|TPM4|ARHGEF17|FARP1|BAIAP2|ARHGAP45|DEF6|ARHGAP22|WIPF2|CCDC187,-3.2
MyList,Canonical Pathways,11,M186,PID PDGFRB PATHWAY,,-5.3,8.5,7.3,30337,129,221,8,3.6,1.3,4035|5293|5578|5581|5595|5605|5771|10458,LRP1|PIK3CD|PRKCA|PRKCE|MAPK3|MAP2K2|PTPN2|BAIAP2,-3.2
MyList,KEGG Pathway,24,hsa04370,VEGF signaling pathway,,-5.3,14,8.5,30337,60,221,6,2.7,1.1,3315|4773|5293|5578|5595|5605,HSPB1|NFATC2|PIK3CD|PRKCA|MAPK3|MAP2K2,-3.2
MyList,Reactome Gene Sets,6,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",,-5.2,3.4,5.6,30337,722,221,18,8.1,1.8,832|1855|1969|3985|5048|5361|5578|5590|5595|7171|9828|10160|10458|23526|50619|58504|147179|399693,CAPZB|DVL1|EPHA2|LIMK2|PAFAH1B1|PLXNA1|PRKCA|PRKCZ|MAPK3|TPM4|ARHGEF17|FARP1|BAIAP2|ARHGAP45|DEF6|ARHGAP22|WIPF2|CCDC187,-3.1
MyList,KEGG Pathway,24,hsa04650,Natural killer cell mediated cytotoxicity,,-5.2,8.1,7.1,30337,135,221,8,3.6,1.3,3689|4772|4773|5293|5578|5595|5605|6452,ITGB2|NFATC1|NFATC2|PIK3CD|PRKCA|MAPK3|MAP2K2|SH3BP2,-3.1
MyList,KEGG Pathway,24,hsa04666,Fc gamma R-mediated phagocytosis,,-5.1,9.8,7.5,30337,98,221,7,3.2,1.2,3985|5293|5578|5581|5595|23396|81873,LIMK2|PIK3CD|PRKCA|PRKCE|MAPK3|PIP5K1C|ARPC5L,-3
MyList,KEGG Pathway,24,hsa04810,Regulation of actin cytoskeleton,,-5.1,6,6.5,30337,230,221,10,4.5,1.4,3689|3985|5154|5293|5595|5605|10458|23396|54961|81873,ITGB2|LIMK2|PDGFA|PIK3CD|MAPK3|MAP2K2|BAIAP2|PIP5K1C|SSH3|ARPC5L,-3
MyList,KEGG Pathway,24,hsa05231,Choline metabolism in cancer,,-5.1,9.7,7.4,30337,99,221,7,3.2,1.2,5154|5293|5578|5595|5605|23396|57153,PDGFA|PIK3CD|PRKCA|MAPK3|MAP2K2|PIP5K1C|SLC44A2,-3
MyList,WikiPathways,27,WP4871,Kisspeptin kisspeptin receptor system in the ovary,,-5,18,8.9,30337,39,221,5,2.3,1,5293|5578|5581|5595|5605,PIK3CD|PRKCA|PRKCE|MAPK3|MAP2K2,-3
MyList,Reactome Gene Sets,6,R-HSA-112316,Neuronal System,,-5,4.4,5.9,30337,410,221,13,5.9,1.6,115|1312|5578|5595|5802|6196|8224|10815|23136|26960|51422|51764|57622,ADCY9|COMT|PRKCA|MAPK3|PTPRS|RPS6KA2|SYN3|CPLX1|EPB41L3|NBEA|PRKAG2|GNG13|LRFN1,-2.9
MyList,GO Biological Processes,19,GO:0016310,phosphorylation,19_GO:0008152 metabolic process,-4.9,3.8,5.6,30337,547,221,15,6.8,1.7,864|1487|2049|3985|5209|5293|5578|5581|5590|5595|5605|5753|6196|7465|51422,RUNX3|CTBP1|EPHB3|LIMK2|PFKFB3|PIK3CD|PRKCA|PRKCE|PRKCZ|MAPK3|MAP2K2|PTK6|RPS6KA2|WEE1|PRKAG2,-2.8
MyList,GO Biological Processes,19,GO:0045765,regulation of angiogenesis,19_GO:0032502 developmental process,-4.9,4.6,5.9,30337,357,221,12,5.4,1.5,240|575|1003|1969|2022|3202|3315|3339|5293|5578|9314|153090,ALOX5|ADGRB1|CDH5|EPHA2|ENG|HOXA5|HSPB1|HSPG2|PIK3CD|PRKCA|KLF4|DAB2IP,-2.8
MyList,GO Biological Processes,19,GO:0099175,regulation of postsynapse organization,19_GO:0050789 regulation of biological process,-4.9,9,7.1,30337,107,221,7,3.2,1.2,1855|5048|5802|10458|57622|58504|85358,DVL1|PAFAH1B1|PTPRS|BAIAP2|LRFN1|ARHGAP22|SHANK3,-2.8
MyList,GO Biological Processes,19,GO:0022604,regulation of cell morphogenesis,19_GO:0032502 developmental process,-4.8,5.6,6.2,30337,246,221,10,4.5,1.4,832|1855|3689|5048|5361|10458|23136|23327|23499|23654,CAPZB|DVL1|ITGB2|PAFAH1B1|PLXNA1|BAIAP2|EPB41L3|NEDD4L|MACF1|PLXNB2,-2.8
MyList,GO Biological Processes,19,GO:0050769,positive regulation of neurogenesis,19_GO:0032502 developmental process,-4.8,5.6,6.2,30337,246,221,10,4.5,1.4,5048|5361|5605|7161|8140|10458|10636|23499|23654|85358,PAFAH1B1|PLXNA1|MAP2K2|TP73|SLC7A5|BAIAP2|RGS14|MACF1|PLXNB2|SHANK3,-2.8
MyList,KEGG Pathway,24,hsa04072,Phospholipase D signaling pathway,,-4.8,7.4,6.7,30337,149,221,8,3.6,1.3,115|1759|5154|5293|5578|5595|5605|23396,ADCY9|DNM1|PDGFA|PIK3CD|PRKCA|MAPK3|MAP2K2|PIP5K1C,-2.8
MyList,Canonical Pathways,11,M222,PID CXCR3 PATHWAY,,-4.8,16,8.4,30337,43,221,5,2.3,1,1759|3689|5293|5595|5605,DNM1|ITGB2|PIK3CD|MAPK3|MAP2K2,-2.8
MyList,GO Biological Processes,19,GO:0050905,neuromuscular process,19_GO:0032501 multicellular organismal process,-4.8,7.3,6.6,30337,150,221,8,3.6,1.3,1312|1855|2395|2548|5048|85358|143187|342667,COMT|DVL1|FXN|GAA|PAFAH1B1|SHANK3|VTI1A|STAC2,-2.8
MyList,GO Biological Processes,19,GO:0031346,positive regulation of cell projection organization,19_GO:0048518 positive regulation of biological process,-4.8,4.6,5.8,30337,361,221,12,5.4,1.5,1855|5048|5361|5605|5753|10458|10801|23369|23499|23654|26053|153090,DVL1|PAFAH1B1|PLXNA1|MAP2K2|PTK6|BAIAP2|SEPTIN9|PUM2|MACF1|PLXNB2|AUTS2|DAB2IP,-2.8
MyList,GO Biological Processes,19,GO:0032940,secretion by cell,19_GO:0051179 localization,-4.8,4.2,5.7,30337,423,221,13,5.9,1.6,379|1312|1855|2022|2779|4053|5023|5048|5293|5581|8224|10815|23396,ARL4D|COMT|DVL1|ENG|GNAT1|LTBP2|P2RX1|PAFAH1B1|PIK3CD|PRKCE|SYN3|CPLX1|PIP5K1C,-2.8
MyList,GO Biological Processes,19,GO:0140352,export from cell,19_GO:0051179 localization,-4.8,3.9,5.6,30337,488,221,14,6.3,1.6,379|1312|1855|2022|2779|4053|5023|5048|5293|5581|8224|10815|23396|376497,ARL4D|COMT|DVL1|ENG|GNAT1|LTBP2|P2RX1|PAFAH1B1|PIK3CD|PRKCE|SYN3|CPLX1|PIP5K1C|SLC27A1,-2.8
MyList,WikiPathways,27,WP4666,Hepatitis B infection,,-4.8,7.3,6.6,30337,151,221,8,3.6,1.3,3339|3665|4772|4773|5293|5578|5595|5605,HSPG2|IRF7|NFATC1|NFATC2|PIK3CD|PRKCA|MAPK3|MAP2K2,-2.8
MyList,GO Biological Processes,19,GO:0006468,protein phosphorylation,19_GO:0008152 metabolic process,-4.8,3.9,5.6,30337,489,221,14,6.3,1.6,864|1487|2049|3985|5293|5578|5581|5590|5595|5605|5753|6196|7465|51422,RUNX3|CTBP1|EPHB3|LIMK2|PIK3CD|PRKCA|PRKCE|PRKCZ|MAPK3|MAP2K2|PTK6|RPS6KA2|WEE1|PRKAG2,-2.8
