Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
DEGs,Reactome Gene Sets,6,R-HSA-372790,Signaling by GPCR,,-26,7.6,16,30337,709,254,45,18,2.4,133|719|728|1230|1268|1839|1901|1903|2015|2357|2358|2828|2865|2867|3274|3576|3577|3579|3640|3678|4923|5138|5142|5473|5997|6347|6354|6364|6374|6753|7852|8477|8698|8843|10235|23533|30817|53829|53831|54331|57580|60675|64407|84658|134864,ADM|C3AR1|C5AR1|CCR1|CNR1|HBEGF|S1PR1|S1PR3|ADGRE1|FPR1|FPR2|GPR4|FFAR3|FFAR2|HRH2|CXCL8|CXCR1|CXCR2|INSL3|ITGA5|NTSR1|PDE2A|PDE4B|PPBP|RGS2|CCL2|CCL7|CCL20|CXCL5|SSTR3|CXCR4|GPR65|S1PR4|HCAR3|RASGRP2|PIK3R5|ADGRE2|P2RY13|GPR84|GNG2|PREX1|PROK2|RGS18|ADGRE3|TAAR1,-23
DEGs,GO Biological Processes,19,GO:0002697,regulation of immune effector process,19_GO:0002376 immune system process,-25,11,18,30337,396,254,35,14,2.2,383|722|1378|2219|2268|2865|2867|3142|3383|3553|3586|3598|3684|3689|3718|5650|5788|5880|6280|6688|7099|7133|7454|8807|8809|8993|9437|11314|25818|30817|57126|64581|114548|115727|653361,ARG1|C4BPA|CR1|FCN1|FGR|FFAR3|FFAR2|HLX|ICAM1|IL1B|IL10|IL13RA2|ITGAM|ITGB2|JAK3|KLK7|PTPRC|RAC2|S100A9|SPI1|TLR4|TNFRSF1B|WAS|IL18RAP|IL18R1|PGLYRP1|NCR1|CD300A|KLK5|ADGRE2|CD177|CLEC7A|NLRP3|RASGRP4|NCF1,-22
DEGs,GO Biological Processes,19,GO:0050727,regulation of inflammatory response,19_GO:0050896 response to stimulus,-24,9.9,17,30337,433,254,36,14,2.2,101|240|241|838|1268|2268|2358|2828|2865|2867|3055|3553|3586|4210|4317|4318|5008|5138|5743|5788|6279|6280|7099|7130|7133|7538|8993|9021|9173|58484|91662|114548|140885|171389|199713|653361,ADAM8|ALOX5|ALOX5AP|CASP5|CNR1|FGR|FPR2|GPR4|FFAR3|FFAR2|HCK|IL1B|IL10|MEFV|MMP8|MMP9|OSM|PDE2A|PTGS2|PTPRC|S100A8|S100A9|TLR4|TNFAIP6|TNFRSF1B|ZFP36|PGLYRP1|SOCS3|IL1RL1|NLRC4|NLRP12|NLRP3|SIRPA|NLRP6|NLRP7|NCF1,-22
DEGs,GO Biological Processes,19,GO:0002764,immune response-regulating signaling pathway,19_GO:0002376 immune system process,-24,10,17,30337,387,254,34,13,2.1,719|728|929|1378|2204|2207|2212|2215|2219|2268|2357|2358|2867|3055|3656|3684|3937|4210|5142|5788|7099|7462|9437|10288|11027|26253|51311|58484|64581|81793|114548|126014|171389|338339,C3AR1|C5AR1|CD14|CR1|FCAR|FCER1G|FCGR2A|FCGR3B|FCN1|FGR|FPR1|FPR2|FFAR2|HCK|IRAK2|ITGAM|LCP2|MEFV|PDE4B|PTPRC|TLR4|LAT2|NCR1|LILRB2|LILRA2|CLEC4E|TLR8|NLRC4|CLEC7A|TLR10|NLRP3|OSCAR|NLRP6|CLEC4D,-21
DEGs,GO Biological Processes,19,GO:0001775,cell activation,19_GO:0032501 multicellular organismal process,-23,7,15,30337,730,254,43,17,2.4,399|728|820|944|2207|2316|3142|3383|3553|3576|3579|3586|3684|3689|3718|3936|3937|5270|5341|5788|6556|6688|7099|7454|7462|8291|8740|8807|8809|9021|9437|9839|11027|22918|26253|50856|54518|57580|64581|79865|83706|222487|338339,RHOH|C5AR1|CAMP|TNFSF8|FCER1G|FLNA|HLX|ICAM1|IL1B|CXCL8|CXCR2|IL10|ITGAM|ITGB2|JAK3|LCP1|LCP2|SERPINE2|PLEK|PTPRC|SLC11A1|SPI1|TLR4|WAS|LAT2|DYSF|TNFSF14|IL18RAP|IL18R1|SOCS3|NCR1|ZEB2|LILRA2|CD93|CLEC4E|CLEC4A|APBB1IP|PREX1|CLEC7A|TREML2|FERMT3|ADGRG3|CLEC4D,-21
DEGs,GO Biological Processes,19,GO:0002237,response to molecule of bacterial origin,19_GO:0044419 biological process involved in interspecies interaction between organisms,-23,11,17,30337,354,254,32,13,2.1,133|728|820|929|1268|1439|2353|3055|3552|3553|3576|3586|3656|4317|4318|5142|5473|5743|6279|6280|6347|6374|6556|7056|7099|7133|7538|10288|81793|114548|140885|199713,ADM|C5AR1|CAMP|CD14|CNR1|CSF2RB|FOS|HCK|IL1A|IL1B|CXCL8|IL10|IRAK2|MMP8|MMP9|PDE4B|PPBP|PTGS2|S100A8|S100A9|CCL2|CXCL5|SLC11A1|THBD|TLR4|TNFRSF1B|ZFP36|LILRB2|TLR10|NLRP3|SIRPA|NLRP7,-20
DEGs,GO Biological Processes,19,GO:0019221,cytokine-mediated signaling pathway,19_GO:0050896 response to stimulus,-23,10,17,30337,385,254,33,13,2.1,1230|1439|1441|2069|2180|2207|3055|3552|3553|3576|3577|3579|3586|3598|3624|3656|3718|5008|5473|6347|6354|6364|6374|6688|7133|7850|7852|8807|8809|9173|10288|10581|11027,CCR1|CSF2RB|CSF3R|EREG|ACSL1|FCER1G|HCK|IL1A|IL1B|CXCL8|CXCR1|CXCR2|IL10|IL13RA2|INHBA|IRAK2|JAK3|OSM|PPBP|CCL2|CCL7|CCL20|CXCL5|SPI1|TNFRSF1B|IL1R2|CXCR4|IL18RAP|IL18R1|IL1RL1|LILRB2|IFITM2|LILRA2,-20
DEGs,Reactome Gene Sets,6,R-HSA-500792,GPCR ligand binding,,-22,8.9,16,30337,468,254,35,14,2.2,133|719|728|1230|1268|1901|1903|2015|2357|2358|2828|2865|2867|3274|3576|3577|3579|3640|4923|5473|6347|6354|6364|6374|6753|7852|8477|8698|8843|30817|53829|54331|60675|84658|134864,ADM|C3AR1|C5AR1|CCR1|CNR1|S1PR1|S1PR3|ADGRE1|FPR1|FPR2|GPR4|FFAR3|FFAR2|HRH2|CXCL8|CXCR1|CXCR2|INSL3|NTSR1|PPBP|CCL2|CCL7|CCL20|CXCL5|SSTR3|CXCR4|GPR65|S1PR4|HCAR3|ADGRE2|P2RY13|GNG2|PROK2|ADGRE3|TAAR1,-20
DEGs,Reactome Gene Sets,6,R-HSA-388396,GPCR downstream signalling,,-22,7.3,15,30337,634,254,39,15,2.3,133|719|728|1230|1268|1839|1903|2357|2358|2828|2865|2867|3274|3576|3577|3579|3640|3678|4923|5138|5142|5473|5997|6364|6374|6753|7852|8477|8698|8843|10235|23533|53829|53831|54331|57580|60675|64407|134864,ADM|C3AR1|C5AR1|CCR1|CNR1|HBEGF|S1PR3|FPR1|FPR2|GPR4|FFAR3|FFAR2|HRH2|CXCL8|CXCR1|CXCR2|INSL3|ITGA5|NTSR1|PDE2A|PDE4B|PPBP|RGS2|CCL20|CXCL5|SSTR3|CXCR4|GPR65|S1PR4|HCAR3|RASGRP2|PIK3R5|P2RY13|GPR84|GNG2|PREX1|PROK2|RGS18|TAAR1,-19
DEGs,KEGG Pathway,24,hsa04060,Cytokine-cytokine receptor interaction,,-22,12,17,30337,298,254,29,11,2,654|943|944|1230|1439|1441|3552|3553|3557|3576|3577|3579|3586|3598|3624|4050|5008|5473|6347|6354|6364|6374|7133|7850|7852|8740|8807|8809|9173,BMP6|TNFRSF8|TNFSF8|CCR1|CSF2RB|CSF3R|IL1A|IL1B|IL1RN|CXCL8|CXCR1|CXCR2|IL10|IL13RA2|INHBA|LTB|OSM|PPBP|CCL2|CCL7|CCL20|CXCL5|TNFRSF1B|IL1R2|CXCR4|TNFSF14|IL18RAP|IL18R1|IL1RL1,-19
DEGs,GO Biological Processes,19,GO:0032496,response to lipopolysaccharide,19_GO:0044419 biological process involved in interspecies interaction between organisms,-21,11,16,30337,333,254,30,12,2,133|820|929|1268|1439|2353|3055|3552|3553|3576|3586|3656|4317|4318|5142|5473|5743|6279|6280|6347|6374|6556|7056|7099|7133|7538|10288|114548|140885|199713,ADM|CAMP|CD14|CNR1|CSF2RB|FOS|HCK|IL1A|IL1B|CXCL8|IL10|IRAK2|MMP8|MMP9|PDE4B|PPBP|PTGS2|S100A8|S100A9|CCL2|CXCL5|SLC11A1|THBD|TLR4|TNFRSF1B|ZFP36|LILRB2|NLRP3|SIRPA|NLRP7,-19
DEGs,Reactome Gene Sets,6,R-HSA-373076,Class A/1 (Rhodopsin-like receptors),,-21,11,16,30337,334,254,30,12,2,719|728|1230|1268|1901|1903|2357|2358|2828|2865|2867|3274|3576|3577|3579|3640|4923|5473|6347|6354|6364|6374|6753|7852|8477|8698|8843|53829|60675|134864,C3AR1|C5AR1|CCR1|CNR1|S1PR1|S1PR3|FPR1|FPR2|GPR4|FFAR3|FFAR2|HRH2|CXCL8|CXCR1|CXCR2|INSL3|NTSR1|PPBP|CCL2|CCL7|CCL20|CXCL5|SSTR3|CXCR4|GPR65|S1PR4|HCAR3|P2RY13|PROK2|TAAR1,-19
DEGs,GO Biological Processes,19,GO:0097529,myeloid leukocyte migration,19_GO:0002376 immune system process,-21,19,20,30337,137,254,22,8.7,1.8,728|1230|1441|2207|2321|3553|3576|3577|3579|3689|5142|5473|6279|6280|6347|6354|6374|30817|54210|57126|57580|140885,C5AR1|CCR1|CSF3R|FCER1G|FLT1|IL1B|CXCL8|CXCR1|CXCR2|ITGB2|PDE4B|PPBP|S100A8|S100A9|CCL2|CCL7|CXCL5|ADGRE2|TREM1|CD177|PREX1|SIRPA,-19
DEGs,GO Biological Processes,19,GO:0001819,positive regulation of cytokine production,19_GO:0032501 multicellular organismal process,-21,8.3,15,30337,505,254,35,14,2.2,101|719|728|929|943|2069|2207|2212|2219|2268|2865|2867|3162|3552|3553|3586|4050|4210|4317|5008|5142|5743|5788|6556|7099|8809|9173|10288|11027|26253|51311|58484|64581|91662|114548,ADAM8|C3AR1|C5AR1|CD14|TNFRSF8|EREG|FCER1G|FCGR2A|FCN1|FGR|FFAR3|FFAR2|HMOX1|IL1A|IL1B|IL10|LTB|MEFV|MMP8|OSM|PDE4B|PTGS2|PTPRC|SLC11A1|TLR4|IL18R1|IL1RL1|LILRB2|LILRA2|CLEC4E|TLR8|NLRC4|CLEC7A|NLRP12|NLRP3,-19
DEGs,Reactome Gene Sets,6,R-HSA-1280215,Cytokine Signaling in Immune system,,-21,6.4,14,30337,786,254,42,17,2.3,240|943|944|1230|1439|1441|1901|2316|2353|2357|3055|3162|3383|3552|3553|3557|3576|3586|3598|3656|3684|3687|3689|3718|3936|4001|4050|4318|5008|5743|6347|6364|6503|7133|7850|8740|8807|8809|9021|9173|10437|10581,ALOX5|TNFRSF8|TNFSF8|CCR1|CSF2RB|CSF3R|S1PR1|FLNA|FOS|FPR1|HCK|HMOX1|ICAM1|IL1A|IL1B|IL1RN|CXCL8|IL10|IL13RA2|IRAK2|ITGAM|ITGAX|ITGB2|JAK3|LCP1|LMNB1|LTB|MMP9|OSM|PTGS2|CCL2|CCL20|SLA|TNFRSF1B|IL1R2|TNFSF14|IL18RAP|IL18R1|SOCS3|IL1RL1|IFI30|IFITM2,-19
DEGs,Reactome Gene Sets,6,R-HSA-449147,Signaling by Interleukins,,-21,8.6,15,30337,473,254,34,13,2.1,240|1230|1439|1441|1901|2353|2357|3055|3162|3383|3552|3553|3557|3576|3586|3598|3656|3684|3687|3689|3718|3936|4001|4318|5008|5743|6347|6364|7133|7850|8807|8809|9021|9173,ALOX5|CCR1|CSF2RB|CSF3R|S1PR1|FOS|FPR1|HCK|HMOX1|ICAM1|IL1A|IL1B|IL1RN|CXCL8|IL10|IL13RA2|IRAK2|ITGAM|ITGAX|ITGB2|JAK3|LCP1|LMNB1|MMP9|OSM|PTGS2|CCL2|CCL20|TNFRSF1B|IL1R2|IL18RAP|IL18R1|SOCS3|IL1RL1,-19
DEGs,Reactome Gene Sets,6,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,,-21,22,20,30337,108,254,20,7.9,1.7,240|1901|2353|3162|3383|3552|3553|3576|3586|3598|3684|3687|3689|3718|4318|5008|5743|6347|7133|9021,ALOX5|S1PR1|FOS|HMOX1|ICAM1|IL1A|IL1B|CXCL8|IL10|IL13RA2|ITGAM|ITGAX|ITGB2|JAK3|MMP9|OSM|PTGS2|CCL2|TNFRSF1B|SOCS3,-18
DEGs,GO Biological Processes,19,GO:0050865,regulation of cell activation,19_GO:0032501 multicellular organismal process,-21,7.1,14,30337,639,254,38,15,2.2,101|383|399|944|1268|1378|1960|2207|2268|2316|3142|3552|3553|3586|3624|3718|4317|5270|5341|5788|5880|6347|6688|7056|7099|7133|8740|8993|9173|10288|10326|11027|11314|55824|64581|114548|140885|338339,ADAM8|ARG1|RHOH|TNFSF8|CNR1|CR1|EGR3|FCER1G|FGR|FLNA|HLX|IL1A|IL1B|IL10|INHBA|JAK3|MMP8|SERPINE2|PLEK|PTPRC|RAC2|CCL2|SPI1|THBD|TLR4|TNFRSF1B|TNFSF14|PGLYRP1|IL1RL1|LILRB2|SIRPB1|LILRA2|CD300A|PAG1|CLEC7A|NLRP3|SIRPA|CLEC4D,-18
DEGs,GO Biological Processes,19,GO:0045321,leukocyte activation,19_GO:0002376 immune system process,-21,7.3,14,30337,604,254,37,15,2.2,399|728|820|944|2207|3142|3383|3576|3579|3586|3684|3689|3718|3936|3937|5788|6556|6688|7099|7454|7462|8291|8740|8807|8809|9021|9437|11027|22918|26253|50856|54518|57580|64581|79865|222487|338339,RHOH|C5AR1|CAMP|TNFSF8|FCER1G|HLX|ICAM1|CXCL8|CXCR2|IL10|ITGAM|ITGB2|JAK3|LCP1|LCP2|PTPRC|SLC11A1|SPI1|TLR4|WAS|LAT2|DYSF|TNFSF14|IL18RAP|IL18R1|SOCS3|NCR1|LILRA2|CD93|CLEC4E|CLEC4A|APBB1IP|PREX1|CLEC7A|TREML2|ADGRG3|CLEC4D,-18
DEGs,GO Biological Processes,19,GO:0097530,granulocyte migration,19_GO:0002376 immune system process,-20,24,20,30337,96,254,19,7.5,1.7,728|1441|2207|3553|3576|3577|3579|3689|5142|5473|6279|6280|6347|6354|6374|30817|54210|57126|57580,C5AR1|CSF3R|FCER1G|IL1B|CXCL8|CXCR1|CXCR2|ITGB2|PDE4B|PPBP|S100A8|S100A9|CCL2|CCL7|CXCL5|ADGRE2|TREM1|CD177|PREX1,-18
DEGs,GO Biological Processes,19,GO:0071621,granulocyte chemotaxis,19_GO:0040011 locomotion,-20,26,21,30337,82,254,18,7.1,1.6,728|1441|2207|3553|3576|3577|3579|3689|5142|5473|6279|6280|6347|6354|6374|30817|54210|57580,C5AR1|CSF3R|FCER1G|IL1B|CXCL8|CXCR1|CXCR2|ITGB2|PDE4B|PPBP|S100A8|S100A9|CCL2|CCL7|CXCL5|ADGRE2|TREM1|PREX1,-18
DEGs,GO Biological Processes,19,GO:0002703,regulation of leukocyte mediated immunity,19_GO:0002376 immune system process,-20,12,17,30337,251,254,26,10,1.9,383|722|1378|2268|3383|3553|3586|3598|3684|3689|3718|5788|5880|6688|7099|7133|7454|8807|8809|9437|11314|30817|57126|64581|114548|115727,ARG1|C4BPA|CR1|FGR|ICAM1|IL1B|IL10|IL13RA2|ITGAM|ITGB2|JAK3|PTPRC|RAC2|SPI1|TLR4|TNFRSF1B|WAS|IL18RAP|IL18R1|NCR1|CD300A|ADGRE2|CD177|CLEC7A|NLRP3|RASGRP4,-18
DEGs,WikiPathways,27,WP5473,Cytokine cytokine receptor interaction,,-20,12,16,30337,255,254,26,10,1.9,654|943|1230|1439|1441|3552|3557|3576|3577|3579|3586|3598|3624|4050|5473|6347|6354|6364|6374|7133|7850|7852|8740|8807|8809|9173,BMP6|TNFRSF8|CCR1|CSF2RB|CSF3R|IL1A|IL1RN|CXCL8|CXCR1|CXCR2|IL10|IL13RA2|INHBA|LTB|PPBP|CCL2|CCL7|CCL20|CXCL5|TNFRSF1B|IL1R2|CXCR4|TNFSF14|IL18RAP|IL18R1|IL1RL1,-18
